segdesc   = VCRC2H_F
2020-05-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 2/2022        5.168     5.065     5.171     6.448     8.416     4.829     4.394     3.819     4.749     4.701     4.062     4.846     4.640     6.122     2.981     5.500     4.834     5.398     3.175     4.110     2.060     3.355     5.305     5.448     4.909     4.096     4.755     3.297     3.560     4.012     2.829     3.757     5.811     4.019     3.574
 3/2022        7.020     6.355    14.006    14.957    12.171     6.145    11.047     5.716     5.093     6.256     6.553     7.691    13.319     6.985    12.449     8.180     7.342     6.496     5.776     4.782     3.676    10.874    11.050     6.683    16.984     4.974     7.538     3.688     5.702     7.657     3.884     8.569    11.368     4.956     4.254
 4/2022       14.622    17.392    34.970    37.403    37.772    14.646    42.442    17.072    16.798    31.350    26.425    23.285    21.297    11.434    24.888    19.351    11.915    21.751    22.794     8.915     8.398    37.444    33.315    22.701    25.020    20.300    13.535    12.475    15.205    25.614     7.361    19.152    15.054    12.208     8.940
 5/2022       58.223    92.168   100.169    83.225   104.139    42.008    68.317    56.466    57.344    84.988    87.569    74.787    58.799    56.516    91.755    69.699    61.265    57.948   110.708    17.189    44.519    89.566   104.569    56.946    76.603    77.071    88.245    36.106    46.520    54.929    20.356    56.098    46.382    40.460    53.412
 6/2022      129.188   111.949   155.441   130.838   125.419    78.100    54.090    67.643    93.995    55.336   123.642    65.176   131.730    28.907   138.257    61.090   111.561    31.285    62.089     9.088    40.464    48.261   131.059    30.260    50.613   106.304    49.126    61.059    92.292    29.974    29.119    72.907    88.149    49.778    90.048
 7/2022       69.446    39.443    43.478    59.222    38.111    29.015    19.774    32.640    35.664    24.071    40.206    18.994    82.665    12.109    35.697    27.502    62.953    11.535    18.598     4.826    13.245    16.736    45.492    16.718    19.541    32.360    16.600    17.284    28.201    12.799    10.356    20.258    29.981    25.664    40.894
 8/2022       26.099    28.393    17.504    23.930    20.867    32.820    18.281    23.366    18.513    19.043    19.110    13.436    27.399     9.230    27.762    15.314    51.182     9.875    23.660     3.772    10.127    10.229    22.908    13.552    26.665    15.416     9.766    14.279    13.466     7.884    10.359    15.051    13.419    15.972    31.898
 9/2022       12.723    20.821    19.302    24.362    12.903    23.034    10.060    17.858    32.954    15.604    18.539    14.969    16.517     8.954    33.129    12.782    33.292     8.088    11.345     7.608    14.673    14.034    16.275    12.901    16.960    15.432     8.841     9.993    10.194     6.181    23.907    14.702    10.666     8.613    32.627
10/2022       17.704    15.360    21.907    25.793    10.683    17.315    11.514    18.653    12.898     9.410    11.463     9.620    12.217     9.750    23.828     9.898    13.765     7.859     8.437     5.575     8.995    13.609    23.934    37.257    13.523    10.778     8.374    11.075    12.316     5.361    14.489    19.985     7.596    16.423    19.470
11/2022        9.117     9.695    12.498    15.156    10.118    10.281     7.041    11.553     8.371     7.402     8.485     7.540     8.523     6.032    11.445     8.946     9.046     6.452     6.973     3.555     5.887     9.641    13.245    14.036     7.767     8.444     6.521     7.431     7.913     4.467     6.926    10.262     6.703     8.317    10.554
12/2022        7.577     7.944     8.694    10.416     7.624     7.169     5.781     7.764     6.960     6.192     7.145     5.993     7.445     5.049     8.426     7.280     7.707     4.871     6.069     2.845     4.906     6.694     8.593     7.971     6.498     6.785     5.235     5.437     6.330     4.049     5.134     6.931     5.834     5.685     7.936
 1/2023        6.447     6.820     7.167     7.599     6.208     5.807     4.892     5.947     5.857     5.242     6.152     5.087     6.399     4.104     7.011     5.589     6.602     4.091     5.210     2.415     3.995     6.236     6.943     6.095     5.271     5.740     4.421     4.511     5.306     3.461     4.204     5.678     5.168     4.542     6.563
 2/2023        5.095     5.255     6.427     8.479     4.852     4.516     3.828     4.797     4.711     4.099     4.878     4.794     6.136     3.183     5.519     4.918     5.443     3.221     4.116     2.222     3.153     5.290     5.471     5.083     4.072     4.751     3.448     3.579     4.039     2.880     3.712     5.738     4.041     3.506     5.139
 3/2023        6.388    14.164    14.668    12.247     6.173    11.236     5.638     5.141     6.266     6.591     7.647    13.563     7.000    12.789     8.036     7.426     6.548     5.822     4.712     3.851    10.583    11.020     6.688    17.264     4.943     7.530     3.776     5.712     7.687     3.931     8.536    11.274     4.976     4.179     7.062
 4/2023       17.434    35.123    36.965    37.876    14.675    42.673    16.470    16.859    31.363    26.469    23.057    21.502    11.447    25.195    18.946    12.006    21.826    22.853     8.940     8.570    37.068    33.270    22.156    25.234    20.220    13.527    12.198    15.214    25.650     7.404    19.053    14.984    12.231     8.822    13.643
 5/2023       92.235   100.308    81.488   104.207    42.036    68.461    55.663    57.424    85.010    87.657    72.863    59.015    56.532    92.131    67.613    61.398    57.996   110.826    16.952    44.778    89.228   104.562    56.758    76.847    77.037    88.246    34.906    46.563    54.967    20.416    52.960    46.305    40.494    53.270    54.496
 6/2023      111.979   155.502   130.498   125.443    78.124    54.159    68.221    94.057    55.345   123.691    66.794   131.908    28.915   138.468    62.716   111.653    31.307    62.122     9.310    40.608    48.150   131.063    30.625    50.702   106.297    49.125    62.497    92.344    29.991    29.170    75.456    88.094    49.800    90.005   129.832
 7/2023       39.450    43.486    61.632    38.117    29.024    19.807    33.022    35.681    24.074    40.214    19.419    82.708    12.115    35.733    28.105    62.986    11.551    18.606     4.851    13.315    16.688    45.493    16.806    19.590    32.355    16.598    17.749    28.205    12.808    10.378    20.511    29.954    25.673    40.874    72.561
 8/2023       28.398    17.507    24.223    20.871    32.830    18.312    23.341    18.522    19.045    19.113    13.503    27.414     9.234    27.787    15.507    51.208     9.889    23.668     3.787    10.183    10.194    22.907    13.568    26.717    15.411     9.763    14.439    13.466     7.890    10.377    15.369    13.399    15.976    31.878    26.690
 9/2023       20.824    19.305    24.559    12.907    23.041    10.081    17.588    32.965    15.605    18.542    14.994    16.527     8.957    33.151    12.946    33.308     8.100    11.349     7.534    14.733    13.999    16.275    12.852    16.994    15.428     8.839    10.051    10.193     6.186    23.940    12.999    10.648     8.617    32.608    12.905
10/2023       15.362    21.910    25.979    10.686    17.320    11.535    18.949    12.904     9.411    11.464     9.654    12.226     9.754    23.843     9.854    13.774     7.870     8.440     5.635     9.035    13.577    23.934    37.176    13.551    10.774     8.372    11.287    12.313     5.366    14.495    21.756     7.581    16.426    19.458    17.889
11/2023        9.697    12.500    15.578    10.122    10.285     7.057    11.873     8.376     7.402     8.486     7.665     8.530     6.035    11.455     9.054     9.054     6.461     6.976     3.589     5.920     9.617    13.245    14.607     7.789     8.441     6.519     7.609     7.911     4.471     6.932    10.525     6.690     8.319    10.543     9.259
12/2023        7.946     8.696    10.609     7.627     7.172     5.795     7.923     6.964     6.193     7.146     6.024     7.451     5.051     8.434     7.370     7.714     4.879     6.071     2.867     4.934     6.675     8.593     8.126     6.519     6.782     5.233     5.518     6.329     4.052     5.139     7.018     5.822     5.686     7.928     7.636
 1/2024        6.821     7.168     7.676     6.210     5.810     4.904     5.997     5.861     5.242     6.154     5.113     6.404     4.106     7.018     5.624     6.608     4.097     5.212     2.416     4.019     6.218     6.943     6.159     5.288     5.738     4.420     4.572     5.305     3.464     4.208     5.704     5.158     4.543     6.556     6.487
