segdesc   = VCRC2H_F
2021-04-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1/2023,6.538,6.388,6.704,7.117,7.531,6.179,5.597,4.829,5.803,5.867,5.140,6.100,4.867,6.385,3.824,6.965,5.467,6.514,4.083,5.133,2.174,4.136,6.196,6.879,5.848,5.251,5.717,4.151,4.435,5.204,3.371,4.076,5.707,5.072,4.525
2/2023,5.135,5.048,5.163,6.443,8.399,4.830,4.349,3.788,4.681,4.719,4.018,4.831,4.601,6.124,2.964,5.482,4.817,5.369,3.215,4.065,2.028,3.264,5.260,5.451,4.877,4.056,4.731,3.236,3.520,3.960,2.808,3.644,5.762,3.967,3.493
3/2023,6.980,6.330,13.969,14.941,12.151,6.145,10.969,5.676,5.020,6.276,6.490,7.673,13.229,6.986,12.371,8.157,7.325,6.445,5.819,4.736,3.636,10.721,10.981,6.686,16.929,4.927,7.507,3.622,5.647,7.580,3.857,8.428,11.305,4.898,4.163
4/2023,14.558,17.347,34.933,37.393,37.744,14.645,42.354,17.018,16.690,31.383,26.299,23.253,21.231,11.436,24.819,19.319,11.894,21.709,22.855,8.873,8.369,37.249,33.221,22.703,24.985,20.201,13.505,12.365,15.143,25.542,7.334,19.011,15.010,12.151,8.800
5/2023,58.149,92.141,100.183,83.225,104.133,42.012,68.275,56.425,57.250,85.020,87.496,74.761,58.759,56.520,91.763,69.677,61.249,57.927,110.804,17.150,44.515,89.443,104.507,56.952,76.577,77.004,88.219,36.034,46.473,54.886,20.346,55.962,46.334,40.405,53.254
6/2023,129.160,111.939,155.451,130.837,125.418,78.104,54.069,67.626,93.934,55.347,123.614,65.164,131.719,28.908,138.269,61.081,111.555,31.272,62.115,9.061,40.451,48.219,131.036,30.262,50.599,106.277,49.113,61.016,92.267,29.947,29.113,72.816,88.113,49.743,89.992
7/2023,69.438,39.439,43.479,59.221,38.109,29.015,19.761,32.626,35.643,24.076,40.201,18.990,82.660,12.110,35.694,27.497,62.947,11.525,18.606,4.803,13.233,16.713,45.489,16.719,19.529,32.350,16.591,17.259,28.185,12.776,10.344,20.222,29.963,25.635,40.868
8/2023,26.095,28.389,17.504,23.929,20.865,32.819,18.268,23.354,18.496,19.047,19.107,13.432,27.395,9.230,27.757,15.310,51.174,9.865,23.667,3.753,10.116,10.212,22.906,13.553,26.652,15.409,9.758,14.256,13.453,7.864,10.347,15.021,13.405,15.947,31.873
9/2023,12.720,20.818,19.301,24.361,12.902,23.033,10.051,17.849,32.935,15.607,18.537,14.965,16.513,8.953,33.124,12.779,33.287,8.080,11.349,7.588,14.661,14.016,16.274,12.901,16.951,15.426,8.835,9.975,10.183,6.164,23.892,14.676,10.653,8.595,32.603
10/2023,17.701,15.357,21.907,25.792,10.682,17.314,11.505,18.645,12.886,9.413,11.461,9.618,12.214,9.750,23.824,9.895,13.761,7.850,8.440,5.558,8.987,13.592,23.933,37.258,13.515,10.773,8.368,11.058,12.302,5.346,14.479,19.961,7.585,16.403,19.455
