segdesc   = RBPC2H_F
2019-04-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 1/2021        1.344     1.244     1.439     1.574     1.502     1.228     1.057     1.077     1.117     1.230     1.162     1.351     1.250     1.335     1.132     1.334     1.294     1.142     1.005     1.096     0.854     1.036     1.323     1.295     1.241     1.160     1.283     1.091     1.204     1.200     0.969     1.014     1.035     1.213     1.078
 2/2021        1.164     1.086     1.170     1.725     1.572     1.065     0.927     0.930     1.035     1.113     0.998     1.167     1.494     1.654     0.985     1.147     1.204     1.073     0.910     0.989     0.774     0.915     1.123     1.168     1.185     0.958     1.257     0.926     1.106     1.009     0.907     1.074     1.262     1.111     0.908
 3/2021        1.763     1.630     2.773     6.291     3.542     1.832     2.998     2.031     1.226     1.779     1.942     3.770     5.681     2.232     3.214     2.819     3.119     1.812     1.847     1.599     1.432     3.834     1.856     2.216     7.859     1.742     3.265     1.443     2.721     3.809     1.735     2.801     3.523     1.448     1.345
 4/2021        4.218     4.756    14.509    17.217    16.026     7.845    14.477     9.257     6.791    11.545     7.471    12.991     9.450     8.176     9.184     6.929     8.703     8.508     9.740     5.573     4.626    10.150    10.092    11.783    11.625     9.177     9.135     8.993     9.520    12.501     4.629     8.371     5.436     7.663     4.828
 5/2021       21.946    29.799    37.638    27.344    26.032    13.511    16.549    13.407    22.776    27.407    33.954    27.114    26.177    15.264    29.164    23.070    24.311    13.356    31.744     6.428    13.099    20.585    36.892    16.292    18.379    28.807    29.305    18.429    16.334    13.673     9.603    13.232    13.592    12.079    22.594
 6/2021       33.444    23.919    34.669    29.081    19.524    15.523    10.665    11.643    27.450    16.201    29.637    18.453    36.160     5.510    26.022    15.554    21.042     4.112    14.246     2.539     7.924    10.562    32.193     6.277    11.841    26.717    14.545    17.209    17.414     6.378     7.215    10.888    17.243     8.859    25.407
 7/2021       14.503     7.496    11.495    11.733     5.771     5.885     3.688     5.105    10.643     5.392     8.555     3.824    19.461     2.871     7.406     6.758     8.364     1.535     3.074     1.222     2.043     2.883     9.891     2.926     3.378     6.536     4.400     4.673     5.123     2.098     3.244     2.849     4.363     4.696    12.165
 8/2021        4.647     6.078     5.594     4.321     3.895     3.350     2.151     4.015     5.090     5.147     7.040     3.256     7.094     1.888     6.628     2.460     6.217     1.223     2.425     1.024     1.556     1.614     3.536     3.727     2.297     2.414     1.728     3.612     2.719     1.303     2.578     1.566     1.906     2.908     7.286
 9/2021        1.997     3.262     5.033     6.140     2.167     2.580     1.838     2.754     3.187     3.370     6.782     4.691     4.082     1.974     5.182     1.684     3.054     1.126     1.449     0.958     2.969     2.250     1.972     3.649     2.867     2.228     2.121     2.571     2.469     1.580     4.046     1.141     1.563     3.128     6.564
10/2021        2.219     3.352     7.177     9.610     1.617     1.824     3.284     3.450     1.612     1.662     2.422     2.138     2.554     1.979     4.998     1.997     1.722     1.796     1.303     1.428     1.303     2.112     3.994     6.993     3.289     1.951     1.903     1.688     4.092     1.176     2.832     1.782     1.288     3.634     3.011
11/2021        1.446     1.759     2.890     3.505     1.942     1.228     1.459     2.248     1.353     1.342     1.573     1.843     1.604     1.450     2.606     2.009     1.275     1.280     1.261     1.028     1.146     1.797     2.077     3.233     1.325     1.657     1.640     1.465     1.776     1.000     1.471     1.147     1.557     1.919     1.755
12/2021        1.339     1.483     1.731     1.833     1.365     1.188     1.139     1.332     1.268     1.255     1.395     1.397     1.481     1.255     1.516     1.658     1.209     1.000     1.145     0.867     1.080     1.200     1.433     1.569     1.693     1.365     1.241     1.297     1.250     0.975     1.104     1.034     1.241     1.190     1.429
 1/2022        1.250     1.439     1.568     1.504     1.226     1.066     1.035     1.098     1.169     1.170     1.344     1.261     1.326     1.143     1.310     1.278     1.133     0.933     1.071     0.814     0.965     1.263     1.292     1.251     1.119     1.252     1.116     1.172     1.175     0.926     0.961     0.976     1.163     1.003     1.310
 2/2022        1.091     1.170     1.667     1.575     1.062     0.935     0.888     1.017     1.056     1.005     1.161     1.509     1.643     0.994     1.127     1.189     1.064     0.844     0.962     0.740     0.854     1.075     1.148     1.194     0.924     1.225     0.946     1.076     0.988     0.867     1.008     1.206     1.069     0.844     1.129
 3/2022        1.639     2.773     6.051     3.554     1.828     3.017     1.934     1.204     1.676     1.958     3.709     5.726     2.218     3.242     2.701     3.104     1.799     1.733     1.486     1.383     3.667     1.775     2.192     7.884     1.674     3.199     1.415     2.664     3.773     1.678     2.693     3.394     1.395     1.246     1.695
 4/2022        4.771    14.508    16.870    16.035     7.839    14.489     8.952     6.746    11.405     7.497    12.739     9.476     8.168     9.216     6.600     8.685     8.494     9.552     5.484     4.575     9.938     9.912    11.502    11.642     9.034     9.070     8.828     9.475    12.472     4.574     8.216     5.319     7.583     4.640     3.687
 5/2022       29.811    37.640    27.222    26.035    13.507    16.555    13.411    22.742    27.340    33.972    26.710    26.188    15.258    29.181    22.612    24.291    13.347    31.636     6.418    13.043    20.411    36.758    16.345    18.390    28.743    29.272    18.193    16.302    13.654     9.556    12.722    13.470    12.015    22.353    20.987
 6/2022       23.923    34.669    29.166    19.525    15.521    10.671    11.638    27.436    16.163    29.642    18.925    36.165     5.505    26.028    15.980    21.032     4.106    14.204     2.634     7.893    10.515    32.167     6.417    11.847    26.693    14.528    17.573    17.395     6.363     7.185    11.207    17.187     8.826    25.339    33.948
 7/2022        7.499    11.495    12.279     5.772     5.883     3.694     5.156    10.633     5.359     8.559     3.984    19.464     2.866     7.411     6.984     8.355     1.530     3.039     1.214     2.020     2.856     9.882     2.934     3.382     6.518     4.385     4.639     5.106     2.083     3.217     2.870     4.329     4.663    12.131    15.049
 8/2022        6.082     5.594     4.209     3.895     3.348     2.156     3.979     5.080     5.099     7.043     3.252     7.096     1.883     6.634     2.490     6.207     1.218     2.391     1.010     1.534     1.589     3.530     3.699     2.302     2.398     1.714     3.768     2.701     1.289     2.552     1.574     1.877     2.881     7.249     4.824
 9/2022        3.265     5.033     6.233     2.168     2.578     1.843     2.706     3.179     3.338     6.784     4.695     4.084     1.969     5.187     1.699     3.047     1.121     1.419     0.940     2.942     2.222     1.970     3.594     2.872     2.212     2.108     2.655     2.454     1.566     4.018     1.122     1.537     3.102     6.528     1.845
10/2022        3.355     7.177     9.568     1.618     1.823     3.289     3.471     1.604     1.636     2.423     2.130     2.556     1.974     5.002     1.942     1.714     1.791     1.273     1.420     1.283     2.087     3.990     7.008     3.293     1.936     1.890     1.712     4.073     1.164     2.808     1.760     1.263     3.605     2.986     2.382
11/2022        1.762     2.890     3.676     1.942     1.227     1.463     2.293     1.345     1.317     1.575     1.872     1.605     1.444     2.609     2.019     1.268     1.275     1.235     1.018     1.126     1.775     2.074     3.364     1.329     1.643     1.629     1.494     1.763     0.989     1.450     1.138     1.532     1.898     1.726     1.445
12/2022        1.486     1.731     1.856     1.365     1.187     1.143     1.328     1.261     1.232     1.396     1.395     1.482     1.251     1.519     1.664     1.202     0.995     1.119     0.858     1.061     1.180     1.429     1.598     1.698     1.352     1.230     1.308     1.238     0.964     1.083     1.018     1.215     1.170     1.407     1.333
 1/2023        1.442     1.568     1.501     1.226     1.065     1.039     1.084     1.162     1.149     1.345     1.264     1.328     1.139     1.313     1.273     1.127     0.929     1.046     0.803     0.949     1.241     1.289     1.254     1.122     1.239     1.105     1.186     1.163     0.916     0.943     0.955     1.142     0.985     1.290     1.243
 2/2023        1.172     1.667     1.591     1.063     0.935     0.891     0.998     1.050     0.986     1.162     1.465     1.645     0.991     1.130     1.173     1.058     0.840     0.939     0.733     0.839     1.058     1.145     1.190     0.927     1.210     0.937     1.082     0.978     0.857     0.990     1.193     1.051     0.829     1.112     1.085
 3/2023        2.778     6.051     3.583     1.829     3.015     1.940     1.179     1.666     1.914     3.712     5.734     2.220     3.230     2.706     2.951     1.791     1.726     1.456     1.345     3.639     1.746     2.188     7.742     1.679     3.171     1.401     2.617     3.756     1.664     2.669     3.199     1.372     1.221     1.665     1.609
 4/2023       14.516    16.870    15.163     7.840    14.487     8.956     6.659    11.392     7.434    12.744     9.157     8.169     9.210     6.606     8.196     8.488     9.543     5.462     4.397     9.918     9.846    11.497    11.271     9.044     9.047     8.806     9.295    12.461     4.564     8.196     5.292     7.553     4.597     3.641     4.739
