segdesc   = GRNU1L_F
2020-12-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
9/2022,121.010,113.943,76.442,49.240,79.037,46.331,23.620,49.630,41.204,73.232,27.058,80.908,28.628,77.229,62.686,108.564,67.312,96.461,51.058,22.739,34.773,40.064,60.064,55.673,39.885,28.103,56.054,59.025,46.113,95.791,33.087,27.995,77.684,42.133,24.765
10/2022,174.228,108.464,85.535,56.792,87.820,39.607,26.164,49.085,54.340,48.580,26.825,66.578,57.201,67.814,60.914,101.842,68.337,65.550,50.998,26.865,39.517,32.400,58.886,54.220,62.241,57.242,47.711,60.397,39.372,86.459,37.626,52.262,129.827,48.164,39.345
11/2022,88.038,91.072,63.124,59.214,78.773,43.637,35.045,47.145,51.092,58.205,33.566,60.604,48.595,64.597,66.507,74.370,61.416,61.848,45.980,40.011,36.245,37.445,81.830,54.121,52.479,46.913,52.420,62.796,46.011,76.967,49.910,39.687,73.570,50.307,48.942
12/2022,69.563,72.553,53.238,42.858,65.101,38.526,29.354,41.514,39.607,49.247,29.221,51.010,37.524,64.188,64.386,61.501,54.947,55.595,36.898,32.354,29.888,32.447,48.241,48.513,44.607,33.416,43.458,51.136,40.221,65.896,41.121,29.870,57.281,46.097,41.960
1/2023,63.852,63.927,47.376,36.729,56.069,33.964,25.800,37.197,33.741,42.642,26.690,46.118,34.840,54.169,77.894,54.170,48.440,50.344,32.693,27.339,26.821,29.474,42.134,49.536,41.659,28.003,40.018,44.772,37.021,61.130,34.999,26.861,53.305,50.377,38.043
2/2023,61.276,58.422,44.959,90.992,54.940,33.628,28.514,34.484,39.625,42.147,28.662,43.645,51.854,65.291,60.148,50.346,48.073,54.550,32.663,27.904,39.270,31.364,41.533,45.894,44.878,27.857,39.655,42.065,38.067,58.059,35.083,36.667,62.931,44.617,40.438
3/2023,116.279,83.761,72.541,213.689,85.604,77.155,101.834,72.945,60.419,118.797,85.893,106.550,113.497,100.251,114.045,92.555,87.554,80.154,67.243,52.222,65.087,95.484,86.827,72.977,101.588,49.661,80.290,66.851,65.604,112.548,67.565,68.679,106.693,77.998,81.268
4/2023,166.527,149.913,145.866,322.850,144.473,122.048,152.322,126.423,83.152,118.683,162.855,132.455,97.013,156.293,138.902,163.494,108.373,115.382,101.303,83.905,91.984,154.071,126.109,133.630,102.368,54.195,117.821,85.144,199.292,191.534,71.107,88.661,111.101,85.955,91.311
5/2023,371.239,371.709,341.340,500.868,390.235,165.293,167.176,100.981,129.564,191.814,303.023,232.220,155.925,241.973,465.503,251.762,342.590,198.110,168.511,60.356,78.341,132.015,257.290,280.099,216.816,130.773,186.733,64.866,336.522,243.230,96.611,182.687,237.491,148.618,277.406
6/2023,1010.315,588.639,294.260,1122.721,284.133,185.641,274.470,291.366,473.911,87.274,498.918,214.917,598.324,697.033,873.383,476.771,770.698,263.994,171.354,200.340,272.010,258.372,465.648,360.966,87.417,330.174,548.237,280.171,668.376,228.818,115.563,513.028,367.301,231.718,556.588
7/2023,601.630,320.816,109.114,390.684,103.557,32.740,165.076,210.566,218.700,44.712,281.478,45.040,604.825,336.405,370.793,466.947,420.836,80.765,46.519,96.882,108.321,195.575,338.719,94.761,13.217,256.347,419.872,240.005,844.828,90.527,44.822,318.683,164.363,90.658,566.210
8/2023,209.240,117.168,55.264,134.981,73.038,30.021,69.043,67.230,96.301,28.234,212.414,36.053,191.379,105.548,177.650,157.955,140.756,44.203,27.288,39.827,42.839,75.242,102.675,52.098,32.188,74.012,132.687,74.099,225.853,45.411,27.837,112.002,61.661,39.995,255.799
9/2023,114.648,80.285,52.687,80.820,49.099,25.883,49.042,40.810,73.495,28.243,83.175,29.496,77.904,63.399,109.598,69.767,97.537,51.986,23.222,35.643,39.473,60.164,56.578,41.399,28.806,56.681,58.576,46.606,95.981,34.192,30.495,78.459,42.416,26.485,117.254
10/2023,109.117,89.153,60.048,88.832,42.039,28.271,48.572,56.316,48.743,27.578,68.662,57.647,68.435,61.645,102.748,70.078,66.428,52.067,27.339,40.510,32.102,58.884,55.051,64.364,57.867,48.204,59.958,39.295,86.629,38.623,55.123,129.435,48.410,40.997,179.108
