segdesc   = TPIC2L_F
2021-01-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
10/2022,7.118,6.325,9.156,13.431,10.330,6.031,4.840,5.400,6.832,5.375,5.026,8.459,6.067,11.221,8.045,9.024,5.491,6.406,4.881,4.438,4.265,5.545,4.736,6.505,8.365,5.861,7.729,7.146,5.134,8.209,3.586,6.426,10.170,5.489,4.361
11/2022,5.480,5.437,7.568,9.212,7.863,5.386,3.854,4.542,6.421,4.623,4.292,7.083,5.533,8.701,6.727,7.271,4.329,5.300,4.134,4.553,2.874,4.276,4.249,5.699,6.223,4.694,6.733,6.452,5.168,6.666,3.047,4.443,6.610,5.302,4.206
12/2022,4.977,4.982,6.969,6.599,6.323,4.930,3.532,4.120,4.703,4.293,3.904,6.044,4.812,7.806,6.300,6.516,4.084,4.885,3.830,3.852,2.507,3.895,3.659,4.412,4.871,3.816,6.023,5.417,4.229,5.955,2.804,3.778,5.303,4.784,3.585
1/2023,4.511,4.468,6.263,5.793,5.706,4.427,3.167,3.704,3.862,3.859,3.499,5.415,4.265,6.870,5.536,5.885,3.486,4.386,3.442,3.359,2.227,3.488,3.251,3.822,4.307,3.367,5.434,4.787,3.696,5.348,2.518,3.436,4.695,4.416,3.138
2/2023,3.697,3.654,5.166,4.744,4.692,3.635,2.583,3.042,3.118,3.151,2.888,4.432,3.503,5.618,4.525,4.826,2.837,3.606,2.816,2.742,1.814,2.844,2.663,3.113,3.535,2.771,4.461,3.915,3.020,4.399,2.072,2.837,3.954,3.646,2.561
3/2023,4.502,3.665,5.526,5.298,4.904,3.678,3.242,3.858,3.451,3.396,3.098,4.899,4.372,5.576,4.954,5.151,3.588,3.645,3.009,2.731,2.092,4.642,2.626,3.067,6.570,2.743,4.985,3.879,3.184,5.690,2.107,2.743,5.912,3.895,2.558
4/2023,4.376,3.557,8.676,11.825,8.828,6.248,8.843,8.988,4.821,8.866,5.688,7.428,5.020,8.146,6.065,6.013,4.917,7.290,5.396,6.550,4.290,9.767,4.512,7.387,8.920,2.614,5.709,5.820,4.704,14.310,3.089,3.691,11.902,8.225,3.290
5/2023,15.414,34.328,49.019,42.551,44.195,19.342,26.353,18.883,23.795,29.768,29.219,27.219,17.292,52.131,34.374,22.905,19.431,31.127,25.105,14.208,19.723,27.478,23.429,29.131,28.215,19.864,33.896,15.322,15.666,21.039,16.288,22.800,24.089,23.026,17.742
6/2023,50.393,90.415,62.998,61.120,38.825,27.112,30.879,31.783,40.611,25.756,63.503,40.429,82.015,58.853,77.900,29.488,45.516,25.529,26.462,11.949,35.536,21.436,34.650,36.090,25.628,72.225,45.588,39.636,68.386,9.500,26.791,50.071,45.862,24.221,44.231
7/2023,32.665,49.134,23.727,30.917,16.361,12.280,13.099,12.900,17.238,11.586,36.888,15.997,84.955,26.799,34.617,14.014,29.929,9.893,10.185,5.258,12.863,8.853,15.591,12.797,10.660,39.725,26.119,14.026,42.890,6.356,10.862,18.089,16.342,9.211,28.312
8/2023,13.104,18.506,11.301,12.726,9.698,6.638,7.955,6.802,8.016,8.197,13.000,7.937,28.344,11.053,14.397,7.440,11.683,6.567,6.597,3.731,6.585,5.818,8.201,7.634,6.939,13.652,10.409,8.300,14.722,4.972,6.905,9.132,8.101,5.921,11.199
9/2023,7.509,10.677,8.993,10.408,7.542,5.875,5.756,5.286,5.960,6.833,8.908,6.247,14.106,8.175,9.766,5.634,7.382,5.223,5.021,3.266,6.995,5.009,5.627,6.455,5.946,8.625,7.207,5.843,8.424,4.408,5.958,8.259,6.382,4.692,8.726
10/2023,6.465,9.133,14.117,10.710,6.384,5.106,5.332,6.849,5.319,5.081,8.542,6.080,11.321,8.043,9.159,6.104,6.466,4.798,4.416,4.275,5.479,4.704,6.552,8.340,6.064,7.764,7.252,5.420,8.201,3.992,6.434,10.070,5.637,4.514,7.058
11/2023,5.560,7.547,9.727,8.188,5.697,4.083,4.484,6.566,4.574,4.340,7.154,5.561,8.784,6.726,7.387,4.883,5.352,4.062,4.532,2.882,4.220,4.219,5.740,6.251,4.866,6.762,6.547,5.424,6.666,3.401,4.450,6.617,5.436,4.343,5.377
12/2023,5.097,6.949,7.050,6.535,5.221,3.746,4.066,4.799,4.247,3.949,6.108,4.833,7.883,6.298,6.624,4.605,4.934,3.762,3.835,2.500,3.843,3.632,4.448,4.865,3.971,6.050,5.505,4.476,5.956,3.136,3.785,5.214,4.908,3.711,4.870
1/2024,4.573,6.245,6.199,5.884,4.691,3.361,3.655,3.919,3.818,3.539,5.473,4.274,6.939,5.534,5.983,3.943,4.431,3.380,3.344,2.219,3.441,3.226,3.854,4.277,3.507,5.458,4.866,3.907,5.349,2.819,3.443,4.603,4.529,3.251,4.411
2/2024,3.868,5.326,5.250,5.000,3.984,2.837,3.103,3.268,3.223,3.021,4.632,3.630,5.867,4.677,5.073,3.319,3.767,2.860,2.821,1.868,2.902,2.732,3.245,3.626,2.983,4.632,4.115,3.301,4.549,2.399,2.938,4.011,3.888,2.743,3.736
3/2024,3.739,5.521,5.776,5.036,3.908,3.450,3.899,3.485,3.380,3.216,4.958,4.376,5.617,4.981,5.287,3.974,3.690,2.980,2.733,2.080,4.764,2.595,3.082,6.530,2.849,5.028,3.931,3.356,5.894,2.353,2.737,5.851,3.965,2.651,4.404
4/2024,3.655,9.023,12.462,8.994,6.638,9.315,9.132,4.876,9.365,5.853,7.621,5.020,8.338,6.118,6.154,5.294,7.812,5.629,6.689,4.284,9.809,4.616,7.695,8.904,2.754,5.860,6.060,4.879,14.570,3.422,3.793,11.886,8.817,3.476,4.289
5/2024,37.415,50.873,44.839,44.626,20.372,27.549,19.504,23.958,30.084,31.071,28.344,17.380,54.122,36.127,24.058,20.050,32.054,25.688,14.703,19.758,27.931,24.590,30.164,28.203,21.703,35.370,16.371,15.959,21.030,17.287,24.539,24.059,23.709,19.041,15.407
6/2024,90.369,62.149,61.387,39.061,27.176,30.687,31.508,40.799,25.414,63.684,40.243,82.120,58.551,78.292,29.080,46.171,24.691,26.018,11.570,35.553,21.096,34.320,35.828,25.659,73.362,45.602,39.370,68.888,9.323,26.950,49.418,45.806,23.763,44.939,50.419
7/2024,47.837,23.127,30.542,16.473,12.106,12.985,12.580,17.327,11.449,35.808,15.607,84.967,26.092,33.464,13.867,30.294,9.791,9.941,5.202,12.862,8.721,15.135,12.571,10.659,38.419,25.373,13.684,43.104,6.342,10.863,17.652,16.304,9.136,27.555,32.647
8/2024,18.132,11.186,12.681,9.773,6.720,7.945,6.723,8.056,8.188,12.783,7.868,28.344,10.913,14.229,7.431,11.889,6.545,6.533,3.719,6.583,5.763,8.106,7.663,6.924,13.461,10.282,8.286,14.815,4.965,6.930,9.053,8.071,5.926,11.090,13.077
9/2024,10.586,9.015,10.648,7.604,6.007,5.838,5.290,5.989,6.705,8.884,6.250,14.107,8.188,9.720,5.661,7.541,5.221,4.967,3.283,6.993,5.010,5.635,6.479,5.931,8.619,7.183,5.841,8.489,4.395,6.188,8.289,6.357,4.730,8.757,7.482
10/2024,9.123,14.203,10.694,6.440,5.169,5.382,6.878,5.346,5.046,8.554,6.087,11.322,8.014,9.110,6.158,6.612,4.789,4.390,4.246,5.477,4.664,6.528,8.321,6.049,7.795,7.254,5.437,8.249,3.976,6.397,9.996,5.613,4.564,7.017,6.439
11/2024,7.541,9.539,8.159,5.747,4.163,4.536,6.461,4.597,4.319,7.106,5.551,8.785,6.741,7.346,4.895,5.479,4.067,4.498,2.859,4.219,4.187,5.667,6.185,4.853,6.757,6.519,5.446,6.717,3.391,4.462,6.476,5.414,4.357,5.395,5.537
12/2024,6.949,7.001,6.590,5.268,3.825,4.118,4.737,4.269,3.931,6.102,4.828,7.885,6.289,6.609,4.619,5.053,3.769,3.793,2.493,3.842,3.607,4.413,4.838,3.959,6.066,5.490,4.477,6.006,3.131,3.830,5.184,4.888,3.726,4.897,5.075
1/2025,6.247,6.177,5.948,4.734,3.434,3.706,3.892,3.838,3.524,5.472,4.280,6.940,5.537,5.974,3.962,4.540,3.387,3.317,2.215,3.440,3.209,3.835,4.277,3.496,5.476,4.862,3.919,5.394,2.815,3.503,4.588,4.511,3.273,4.438,4.553
2/2025,5.153,5.064,4.892,3.888,2.804,3.044,3.142,3.133,2.907,4.481,3.516,5.676,4.527,4.899,3.228,3.733,2.771,2.709,1.803,2.805,2.629,3.126,3.510,2.876,4.494,3.979,3.204,4.437,2.317,2.895,3.866,3.724,2.675,3.637,3.724
3/2025,5.539,5.793,5.111,3.935,3.521,3.954,3.476,3.378,3.212,4.976,4.386,5.634,4.998,5.296,4.003,3.774,2.991,2.722,2.081,4.600,2.592,3.081,6.540,2.849,5.056,3.944,3.372,5.732,2.358,2.803,5.817,3.975,2.681,4.438,3.735
4/2025,9.034,12.483,9.061,6.522,9.373,9.179,4.845,8.845,5.846,7.628,5.032,8.212,6.131,6.161,5.319,7.433,5.631,6.683,4.280,9.722,4.608,7.663,8.893,2.708,5.882,6.055,4.891,14.364,3.426,3.848,11.797,8.308,3.501,4.319,3.620
5/2025,50.716,44.695,44.628,19.661,27.594,19.517,23.840,29.740,30.982,28.233,17.316,52.281,36.071,23.930,20.029,31.314,25.667,14.646,19.709,27.414,24.529,30.065,28.189,20.035,35.286,16.329,15.926,21.093,17.257,24.548,23.967,23.121,19.032,15.337,34.468
6/2025,62.092,61.201,39.054,27.366,30.747,31.511,40.659,25.744,63.616,40.174,82.060,58.932,78.221,29.020,46.131,25.650,26.012,11.516,35.515,21.393,34.260,35.706,25.606,72.566,45.568,39.330,68.812,9.532,26.927,49.400,45.716,24.300,44.911,50.298,90.631
7/2025,23.117,30.453,16.486,12.461,13.027,12.596,17.258,11.574,35.783,15.589,84.971,26.835,33.453,13.844,30.277,9.977,9.944,5.181,12.856,8.827,15.103,12.535,10.642,39.861,25.365,13.676,43.068,6.383,10.857,17.659,16.283,9.262,27.531,32.616,49.207
8/2025,11.184,12.657,9.794,6.780,7.979,6.745,8.028,8.187,12.774,7.867,28.349,11.075,14.227,7.424,11.889,6.638,6.537,3.705,6.580,5.798,8.094,7.644,6.924,13.698,10.286,8.285,14.811,4.995,6.928,9.068,8.060,5.963,11.083,13.073,18.533
9/2025,9.014,10.634,7.623,6.001,5.867,5.310,5.970,6.824,8.878,6.248,14.109,8.195,9.720,5.657,7.544,5.284,4.971,3.271,6.991,4.992,5.628,6.464,5.932,8.658,7.190,5.842,8.489,4.428,6.186,8.305,6.349,4.729,8.759,7.484,10.694
10/2025,14.202,10.683,6.459,5.222,5.409,6.898,5.329,5.073,8.547,6.084,11.323,8.062,9.110,6.155,6.615,4.855,4.393,4.235,5.476,4.688,6.521,8.307,6.050,7.794,7.258,5.437,8.250,4.011,6.396,10.012,5.605,4.549,7.022,6.442,9.148
11/2025,9.538,8.150,5.764,4.184,4.560,6.479,4.583,4.333,7.101,5.549,8.786,6.742,7.347,4.893,5.482,4.112,4.501,2.850,4.217,4.205,5.661,6.172,4.854,6.788,6.523,5.446,6.717,3.418,4.461,6.489,5.407,4.373,5.399,5.540,7.561
12/2025,7.001,6.583,5.284,3.841,4.140,4.753,4.255,3.943,6.096,4.826,7.885,6.314,6.609,4.617,5.056,3.809,3.796,2.484,3.840,3.618,4.408,4.827,3.961,6.074,5.494,4.478,6.006,3.151,3.828,5.196,4.882,3.739,4.901,5.078,6.962
