segdesc   = NAVC2H_F
2020-01-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
11/2021        2.978     2.413     3.009     3.655     4.521     3.020     1.744     2.052     3.130     2.426     2.260     2.521     2.974     2.574     2.406     3.184     3.399     2.064     1.959     2.099     1.710     1.837     2.651     2.821     3.065     2.054     2.576     2.426     2.107     2.482     1.631     1.968     1.746     2.227     2.667
12/2021        2.389     2.264     2.471     2.772     3.024     2.312     1.856     1.812     2.037     2.247     2.074     2.352     2.389     2.475     2.017     2.464     2.645     1.986     1.639     1.936     1.371     1.767     1.980     2.355     2.106     2.453     2.192     1.965     2.032     1.943     1.563     1.652     1.636     1.977     1.816
 1/2022        2.207     2.113     2.371     2.839     2.554     2.064     1.608     1.686     1.697     2.055     1.916     2.346     2.122     2.266     1.872     2.206     2.174     1.884     1.535     1.819     1.337     1.499     2.268     2.250     1.893     1.823     2.133     1.780     1.797     1.942     1.492     1.488     1.599     1.796     1.589
 2/2022        1.953     1.798     2.072     3.200     3.126     1.801     1.438     1.474     1.735     1.905     1.641     2.034     3.006     2.890     1.671     1.944     2.250     1.908     1.464     1.687     1.193     1.406     1.921     2.067     2.045     1.524     2.241     1.512     1.789     1.617     1.431     1.755     1.898     1.593     1.346
 3/2022        3.569     3.341     6.082     9.927     7.291     3.432     5.238     3.317     2.293     3.827     4.235     6.024    10.120     3.968     6.174     4.636     3.425     3.147     3.542     2.732     2.409     5.004     3.687     3.696     8.917     3.625     5.766     2.663     4.526     4.517     2.952     3.324     3.972     2.280     2.408
 4/2022        7.889     8.269    19.127    20.840    19.892     7.522    14.930     8.260     9.345    14.198    12.303    15.489    12.201     8.060    10.197     9.794     8.460     8.232    10.905     5.265     4.075     8.109    13.089    11.412    11.487    13.518    10.475    10.096     8.337    11.953     4.132     6.855     3.872     6.839     7.934
 5/2022       24.535    33.234    40.504    31.019    29.634    13.785    18.678    14.577    23.731    30.460    36.375    30.049    27.043    19.094    30.413    26.024    25.624    15.397    32.672     6.992    12.029    21.401    39.995    19.448    21.348    29.511    31.827    18.188    16.643    17.176     9.086    13.804    13.654    12.668    23.855
 6/2022       36.970    28.539    43.201    37.299    26.066    20.204    13.930    15.964    32.933    19.807    35.306    25.016    41.187     6.264    31.147    19.665    26.689     5.215    18.048     3.357     8.794    13.871    38.675     9.054    16.807    33.237    18.536    22.534    22.378     7.742     8.752    14.245    22.435    11.230    28.995
 7/2022       20.186     9.486    15.963    17.356     7.632     7.279     4.484     6.084    14.311     6.546    11.497     5.249    26.625     3.614     9.006     8.908    11.428     2.215     4.036     1.791     2.435     3.512    14.961     4.208     4.680     9.597     5.968     5.707     6.241     2.722     3.699     3.451     5.244     5.509    16.689
 8/2022        5.859     8.275     7.844     5.832     5.174     4.380     3.056     5.219     6.823     7.056     9.500     4.300     8.834     2.701     8.863     3.538     8.498     1.891     3.509     1.575     2.042     2.310     5.014     4.680     3.088     3.586     2.731     3.611     3.789     1.981     2.840     2.173     2.512     3.610     9.606
 9/2022        3.071     4.543     7.193     8.651     3.092     3.453     2.855     3.381     4.391     4.709     9.092     5.961     5.634     2.911     7.019     2.636     4.111     1.752     2.300     1.458     3.603     3.098     3.047     4.404     3.902     3.449     3.368     3.429     3.437     2.365     4.938     1.707     2.228     3.974     8.563
10/2022        3.519     4.606     8.150    10.278     2.608     2.410     3.709     4.433     2.514     2.606     3.337     3.182     3.824     2.767     6.523     3.064     2.587     2.733     2.118     2.020     1.850     3.038     4.800     8.121     4.255     3.053     2.898     2.416     5.111     1.830     3.606     2.523     1.934     4.573     4.011
11/2022        2.441     3.090     3.685     4.700     3.059     1.875     2.061     3.275     2.327     2.341     2.536     3.117     2.577     2.503     3.171     3.582     2.082     1.987     2.040     1.723     1.795     2.550     2.822     3.248     2.018     2.599     2.554     2.188     2.521     1.620     1.974     1.699     2.189     2.578     2.929
12/2022        2.291     2.538     2.801     3.072     2.343     1.995     1.820     2.100     2.157     2.147     2.367     2.468     2.478     2.099     2.452     2.792     2.004     1.663     1.879     1.393     1.727     1.895     2.356     2.201     2.411     2.214     2.084     2.094     1.978     1.552     1.654     1.583     1.939     1.738     2.360
 1/2023        2.137     2.435     2.867     2.542     2.092     1.729     1.693     1.740     1.973     1.983     2.361     2.208     2.269     1.946     2.195     2.263     1.900     1.558     1.765     1.349     1.463     2.179     2.251     1.972     1.790     2.154     1.889     1.848     1.975     1.482     1.490     1.532     1.763     1.517     2.171
 2/2023        1.819     2.124     3.231     3.272     1.825     1.544     1.480     1.762     1.830     1.699     2.047     3.016     2.893     1.734     1.935     2.329     1.923     1.483     1.637     1.209     1.375     1.848     2.067     2.109     1.496     2.261     1.605     1.830     1.646     1.420     1.753     1.856     1.566     1.284     1.911
