segdesc   = BMDC2L_F
2019-03-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
12/2020       28.820    28.215    41.652    34.404    35.404    26.413    21.103    22.544    27.597    25.845    23.096    32.723    24.630    38.733    31.840    33.314    27.069    26.607    22.326    23.349    14.803    23.535    23.032    27.854    28.061    22.635    31.235    26.915    23.828    28.179    15.391    22.241    28.857    25.289    18.797
 1/2021       25.789    27.031    37.308    29.807    30.044    23.466    18.918    20.246    22.087    22.748    21.041    29.324    21.956    33.852    27.374    29.941    23.394    25.919    20.016    20.709    13.526    20.928    23.856    24.187    25.267    19.668    28.138    23.683    21.121    25.467    13.863    19.658    25.520    23.058    16.358
 2/2021       21.743    20.814    31.019    39.743    27.556    19.260    15.572    17.246    19.214    19.452    19.302    23.951    22.329    30.421    22.358    25.872    22.867    25.840    19.640    16.998    16.231    17.487    20.393    19.506    23.241    16.056    23.781    19.375    17.485    21.076    11.526    18.740    23.993    19.440    13.677
 3/2021       33.718    21.288    45.131    71.523    32.336    28.110    42.130    27.646    27.834    30.185    33.751    42.456    48.832    40.502    39.612    39.697    32.003    29.469    30.060    21.117    26.096    46.576    23.489    27.135    56.621    16.617    43.488    23.251    31.278    39.578    18.408    20.440    43.331    21.174    23.819
 4/2021       41.384    45.253    98.154   121.953    90.983    64.564   103.185    58.933    52.689    76.060    94.997    80.769    62.302    89.658    79.572    58.413    42.699    74.625    57.583    52.676    51.745    92.263    58.794    83.807    80.711    52.420    68.729    55.708    68.812    81.312    40.452    51.138    76.356    48.986    41.251
 5/2021      147.516   449.617   381.558   329.842   290.147   145.243   180.809   118.322   166.839   202.602   276.140   222.339   192.357   352.356   311.941   195.397   195.778   223.860   239.204    75.088   158.504   212.517   245.575   210.551   216.060   248.030   274.289   113.469   148.895   120.573   103.930   236.010   188.730   108.525   146.449
 6/2021      368.170   679.509   398.187   400.990   277.692   173.361   149.988   172.820   274.584   169.891   414.925   219.230   553.952   312.652   512.574   193.752   337.138   155.527   197.029    52.140   214.934   140.561   283.958   194.273   170.692   480.996   276.352   245.422   429.635    48.053   144.902   324.990   322.185   110.912   292.001
 7/2021      210.107   322.287   128.841   162.869    91.904    67.962    64.739    70.928   128.304    67.140   198.480    70.155   489.804   122.061   189.342    96.021   207.970    49.635    58.440    21.751    63.361    53.116   116.823    74.441    62.533   210.968   145.589    73.455   208.732    24.819    51.551   103.438    97.845    43.171   172.661
 8/2021       81.211   120.581    59.297    63.206    52.998    40.354    48.425    37.366    54.983    52.025    66.984    41.219   130.800    51.856    80.048    45.779    79.698    40.309    44.679    17.521    37.684    33.518    54.460    51.312    43.628    74.320    54.502    43.544    63.931    23.803    35.907    51.272    42.455    27.968    88.219
 9/2021       41.252    67.985    56.828    62.725    40.843    38.892    32.680    31.843    34.581    42.041    56.151    36.997    62.717    40.389    56.510    32.223    44.075    32.868    30.575    19.570    53.537    33.213    35.964    38.478    41.025    44.671    37.951    28.424    38.642    21.606    53.024    46.119    34.582    24.025    72.129
10/2021       34.541    57.469    86.414    67.170    32.531    29.923    30.541    46.737    29.117    28.812    47.896    33.104    55.928    45.121    58.297    37.725    35.471    27.883    27.065    26.426    33.755    31.038    48.554    58.000    37.268    38.914    37.202    28.617    37.054    20.006    47.610    56.530    29.311    23.991    45.218
11/2021       29.503    46.417    50.466    45.975    30.528    23.341    24.625    38.580    26.788    24.286    37.129    30.030    42.677    35.430    41.326    30.594    28.397    24.313    26.726    16.477    24.203    26.267    36.726    38.753    28.010    33.522    33.974    27.985    30.605    16.899    27.611    34.512    27.415    22.081    31.043
12/2021       28.325    40.866    36.437    35.502    27.468    21.356    22.226    27.575    24.351    22.420    32.220    25.960    38.552    31.636    34.485    28.640    26.204    21.896    23.044    14.079    22.505    22.288    27.908    28.170    22.519    30.814    28.635    23.733    27.617    15.762    21.837    27.348    25.827    17.975    27.229
 1/2022       27.127    36.601    31.511    30.151    24.430    19.152    19.922    22.073    21.395    20.427    28.838    23.171    33.695    27.197    30.978    24.803    25.545    19.601    20.369    12.873    19.983    23.175    24.149    25.363    19.561    27.762    25.204    21.027    24.957    14.202    19.212    24.150    23.567    15.615    24.314
 2/2022       20.906    30.433    40.299    27.615    20.001    15.768    16.885    19.202    18.359    18.791    23.505    23.373    30.290    22.211    26.632    24.060    25.510    19.291    16.696    15.682    16.714    19.843    19.463    23.303    15.966    23.468    20.592    17.403    20.676    11.806    18.194    22.817    19.826    13.062    20.351
 3/2022       21.370    44.414    71.579    32.364    28.940    42.281    26.763    27.834    28.814    33.158    41.395    50.330    40.353    39.373    39.773    33.349    29.124    29.643    20.318    25.477    45.542    22.906    26.757    56.727    16.519    43.143    24.082    31.143    39.042    18.689    20.068    41.876    21.569    23.114    32.011
 4/2022       45.292    97.300   122.575    91.202    65.652   103.565    57.536    52.682    74.264    94.084    78.608    63.759    89.428    79.331    57.830    44.015    74.192    57.124    51.284    51.088    91.110    57.941    81.532    80.900    52.178    68.280    55.975    68.728    80.759    40.750    49.385    74.846    49.484    40.507    38.597
 5/2022      449.802   380.435   326.577   290.645   146.438   181.284   113.997   166.726   200.603   274.749   214.621   194.694   352.084   311.819   190.284   198.292   223.389   238.579    72.887   157.529   211.014   244.247   206.122   216.329   247.777   273.526   109.041   148.735   120.122   104.391   222.433   186.575   109.048   145.512   134.362
 6/2022      679.773   397.663   402.819   277.861   174.119   150.225   174.247   274.490   168.691   414.060   224.032   556.597   312.548   512.456   198.527   338.782   155.265   196.719    54.312   214.147   139.807   283.244   197.373   170.788   480.986   276.018   250.043   429.604    47.847   145.272   332.515   320.709   111.255   291.184   366.627
 7/2022      322.353   128.490   169.541    91.939    68.512    64.859    72.338   128.295    66.425   198.145    72.138   490.764   121.987   189.245    99.221   208.840    49.453    58.231    21.855    63.014    52.684   116.480    75.585    62.578   210.930   145.400    76.808   208.697    24.570    51.767   106.260    97.119    43.462   172.227   216.622
 8/2022      120.600    59.000    64.908    53.008    40.834    48.524    37.638    54.982    51.346    66.789    41.326   131.220    51.786    79.963    46.997    80.294    40.147    44.493    17.458    37.425    33.147    54.175    51.599    43.666    74.256    54.350    44.783    63.879    23.543    36.072    51.867    41.872    28.238    87.885    82.593
 9/2022       67.998    56.553    62.431    40.845    39.322    32.777    31.058    34.584    41.468    55.957    36.822    63.053    40.325    56.442    32.797    44.576    32.727    30.422    19.250    53.275    32.887    35.728    38.217    41.050    44.609    37.822    29.223    38.570    21.372    53.181    45.945    34.068    24.252    71.825    41.190
10/2022       57.479    86.136    68.518    32.531    30.288    30.628    46.901    29.117    28.343    47.715    33.027    56.240    45.057    58.232    37.983    35.942    27.759    26.925    26.556    33.564    30.748    48.316    58.656    37.289    38.853    37.079    29.177    37.003    19.786    47.749    56.873    28.842    24.225    44.948    34.166
11/2022       46.423    50.248    47.253    30.519    23.673    24.698    39.246    26.788    23.849    36.978    30.068    42.946    35.377    41.267    31.158    28.767    24.208    26.625    16.540    24.051    26.013    36.526    39.429    28.021    33.468    33.865    28.650    30.549    16.704    27.709    35.142    27.045    22.291    30.831    29.132
12/2022       40.871    36.236    36.321    27.466    21.680    22.299    27.880    24.353    22.004    32.082    25.937    38.809    31.587    34.429    29.223    26.594    21.786    22.916    14.038    22.348    22.033    27.723    28.425    22.547    30.761    28.533    24.313    27.573    15.576    21.935    27.463    25.441    18.173    27.019    27.770
 1/2023       36.604    31.326    30.641    24.428    19.449    19.990    22.118    21.397    20.044    28.712    23.093    33.929    27.152    30.927    25.194    25.914    19.500    20.251    12.682    19.832    22.924    23.979    25.477    19.587    27.713    25.112    21.635    24.916    14.030    19.306    24.161    23.189    15.798    24.115    26.895
 2/2023       30.435    40.081    27.985    19.995    16.016    16.940    19.114    18.361    18.469    23.400    22.949    30.498    22.174    26.586    24.301    25.831    19.202    16.598    15.653    16.588    19.646    19.325    23.277    15.988    23.425    20.517    17.801    20.631    11.662    18.266    22.835    19.536    13.215    20.194    20.637
 3/2023       44.409    71.326    32.771    28.901    42.560    26.826    27.609    28.818    32.717    41.251    49.634    40.610    39.320    39.689    32.961    29.470    29.538    20.214    24.970    45.381    22.690    26.608    55.850    16.542    43.070    24.009    31.115    38.984    18.524    20.148    40.049    21.269    23.268    31.813    21.035
 4/2023       97.296   122.369    84.339    65.643   103.988    57.639    51.848    74.258    93.375    78.456    61.090    89.799    79.274    57.764    43.040    74.672    57.017    51.167    49.378    90.923    57.676    81.300    77.423    52.181    68.222    55.866    68.160    80.721    40.542    49.509    74.777    49.137    40.757    38.406    44.816
 5/2023      380.461   326.371   293.032   146.482   181.643   114.125   158.862   200.589   273.847   214.484   188.264   352.496   311.720   190.243   190.423   223.872   238.439    72.805   147.337   210.822   243.834   205.906   214.675   247.932   273.431   108.927   142.327   120.090   104.191   222.599   181.092   108.720   145.834   134.123   446.845
 6/2023      397.678   402.697   277.482   174.127   150.439   174.332   275.802   168.687   413.607   223.944   544.008   312.725   512.402   198.492   338.174   155.523   196.644    54.272   221.820   139.692   282.984   197.245   173.714   481.088   275.980   249.976   426.155    47.833   145.136   332.659   322.119   111.039   291.416   366.422   674.530
 7/2023      128.491   169.442    96.526    68.507    65.021    72.383   132.717    66.426   197.943    72.068   502.215   122.107   189.221    99.191   215.464    49.654    58.175    21.807    65.002    52.602   116.351    75.478    64.147   210.947   145.371    76.757   217.366    24.553    51.664   106.314   100.307    43.252   172.345   216.493   319.904
 8/2023       58.998    64.818    53.356    40.829    48.672    37.671    56.077    51.347    66.645    41.265   136.118    51.891    79.944    46.968    82.905    40.335    44.442    17.397    37.618    33.078    54.070    51.511    44.262    74.262    54.325    44.734    65.699    23.518    35.978    51.904    42.317    28.030    87.972    82.487   119.991
 9/2023       56.548    62.347    41.605    39.312    32.905    31.089    34.818    41.469    55.820    36.769    63.792    40.423    56.428    32.772    45.224    32.890    30.380    19.191    52.922    32.829    35.639    38.139    40.914    44.614    37.798    29.183    39.019    21.350    53.079    45.978    34.206    24.062    71.903    41.100    67.758
10/2023       86.131    68.440    32.791    30.279    30.738    46.932    29.216    28.344    47.586    32.976    56.816    45.150    58.215    37.958    36.379    27.899    26.884    26.503    34.145    30.695    48.225    58.576    37.738    38.857    37.055    29.144    37.222    19.764    47.662    56.906    28.929    24.045    45.018    34.083    57.293
11/2023       50.244    47.179    30.715    23.665    24.784    39.272    26.795    23.850    36.867    30.021    43.153    35.461    41.253    31.133    28.974    24.324    26.593    16.490    24.133    25.966    36.449    39.361    28.617    33.471    33.843    28.618    30.852    16.684    27.645    35.169    27.038    22.131    30.869    29.063    46.261
12/2023       36.232    36.254    27.696    21.672    22.398    27.904    24.456    22.006    31.978    25.892    38.988    31.664    34.416    29.202    26.748    21.916    22.881    13.990    22.378    21.983    27.652    28.364    22.708    30.765    28.512    24.282    27.781    15.557    21.873    27.488    25.439    18.021    27.068    27.698    40.721
 1/2024       31.323    30.583    24.618    19.442    20.083    22.140    21.429    20.045    28.617    23.052    33.985    27.222    30.915    25.172    25.912    19.621    20.218    12.637    19.854    22.875    23.913    25.421    19.676    27.716    25.092    21.605    25.122    14.013    19.247    24.184    23.346    15.657    24.168    26.822    36.467
 2/2024       42.306    28.878    20.812    16.675    17.694    19.878    18.988    19.203    24.159    23.965    31.496    22.984    27.559    25.149    26.816    20.088    17.145    16.122    17.150    20.342    19.923    24.070    16.608    24.462    21.195    18.419    21.500    12.044    18.938    23.637    20.190    13.599    21.077    21.272    31.422
