segdesc   = MPSC2L_F
2021-04-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1/2023,26.784,27.637,39.305,30.840,31.002,25.085,19.119,21.031,23.201,23.643,20.903,30.145,22.402,35.826,27.862,31.867,25.365,27.176,21.226,21.091,13.518,21.891,24.958,25.572,26.612,20.922,30.223,24.536,22.021,27.000,13.963,20.958,26.743,24.481,17.427
2/2023,22.447,21.214,32.591,40.235,28.509,20.621,15.660,17.908,20.120,20.235,19.074,24.579,22.708,31.922,22.710,27.401,24.726,27.099,20.640,17.286,16.601,18.109,21.257,20.640,24.442,17.083,25.570,20.161,18.034,22.331,11.621,20.005,26.041,20.323,14.481
3/2023,35.842,21.621,47.880,75.763,33.869,29.775,43.825,29.063,29.463,32.159,33.011,44.624,51.972,43.167,42.393,42.837,35.282,31.480,31.930,21.427,27.339,50.011,25.482,28.965,63.053,17.628,49.153,24.051,32.894,42.313,18.455,22.925,46.685,22.996,25.071
4/2023,43.196,47.306,105.491,133.282,98.033,70.429,113.040,64.833,57.582,80.889,100.078,86.361,65.312,98.200,90.833,67.082,48.763,80.549,63.154,56.893,55.447,103.813,65.013,92.938,91.498,59.239,80.530,62.876,76.593,91.898,44.353,56.527,85.466,51.951,44.527
5/2023,151.590,477.591,405.765,347.942,326.604,151.071,189.317,126.249,174.942,213.251,284.455,229.306,208.861,369.331,332.987,211.172,221.671,239.946,259.303,77.534,158.246,226.939,254.218,223.699,241.067,270.777,287.010,119.682,166.141,131.940,108.618,244.572,201.577,112.330,156.251
6/2023,397.891,738.232,435.845,423.157,303.175,187.074,161.921,189.424,296.325,186.629,437.229,237.020,570.545,328.664,546.112,216.686,371.922,173.763,219.230,58.207,234.597,154.473,307.918,211.240,195.368,518.993,293.692,268.732,457.882,55.372,155.064,358.584,350.204,122.769,312.742
7/2023,228.883,348.689,139.438,176.000,103.099,76.106,68.760,76.886,139.933,72.838,213.038,75.938,523.140,132.226,206.090,105.222,228.941,54.203,64.629,23.543,68.493,57.645,127.708,79.928,70.124,231.781,159.433,80.816,226.494,27.454,54.970,112.254,107.744,47.525,188.665
8/2023,86.911,130.573,63.896,67.402,56.547,43.205,51.177,40.214,58.963,55.180,70.786,43.485,141.509,55.376,86.550,49.897,88.755,42.974,47.930,18.699,39.964,36.141,58.074,54.867,48.502,80.835,58.751,46.897,69.216,26.046,38.879,55.642,45.710,30.219,96.697
9/2023,43.871,73.770,61.025,66.008,44.071,41.996,34.448,33.018,36.743,45.951,59.173,39.544,66.685,42.831,61.137,34.835,48.693,35.505,32.992,20.478,57.560,36.145,37.263,40.524,45.037,48.210,40.495,30.361,41.450,23.164,54.347,49.172,36.739,25.528,79.384
10/2023,36.679,62.362,92.467,72.287,34.950,32.514,32.815,50.442,30.926,30.807,50.217,35.188,59.785,50.028,65.028,40.850,38.726,30.271,28.897,29.066,36.636,34.911,52.482,64.209,41.932,41.933,39.715,30.583,39.906,21.553,52.425,61.640,31.217,26.017,49.409
11/2023,31.189,50.810,54.717,49.930,32.776,25.001,26.140,42.451,28.358,25.776,39.154,32.007,45.253,38.232,45.544,34.005,31.004,26.388,28.482,17.810,25.801,29.983,39.452,42.764,31.555,36.371,36.639,29.974,33.130,18.165,30.386,37.680,29.055,24.354,33.150
12/2023,29.703,44.088,39.073,38.206,29.551,22.812,23.461,29.996,25.945,23.799,33.869,27.479,41.150,34.033,37.167,31.593,28.574,23.543,24.644,15.019,23.917,24.569,29.677,30.595,24.725,33.257,30.699,25.432,29.683,16.931,23.488,29.457,27.444,19.642,29.044
1/2024,28.757,39.423,33.680,32.121,26.281,20.462,20.985,23.725,22.719,21.652,30.298,24.474,35.799,29.181,33.269,27.136,27.611,21.061,21.760,13.512,21.188,25.148,25.566,27.370,21.396,30.042,26.947,22.581,26.973,15.252,20.466,25.933,25.493,16.911,25.979
2/2024,22.861,33.880,44.305,30.436,22.316,17.414,18.479,21.361,20.194,20.477,25.546,25.621,33.212,24.600,29.524,27.162,28.487,21.309,18.442,17.131,18.261,22.213,21.318,25.960,18.068,26.551,22.814,19.156,23.147,13.119,20.197,26.201,21.988,14.581,22.548
3/2024,22.525,48.581,79.537,34.746,31.612,46.616,28.886,30.146,31.770,35.658,44.696,55.100,43.502,45.373,44.121,37.793,32.306,32.313,21.935,27.783,50.898,25.634,28.934,65.202,18.322,49.626,26.033,34.037,43.933,20.313,22.438,48.197,23.758,25.069,34.994
4/2024,49.747,109.603,137.478,108.629,73.352,116.930,64.657,58.845,83.590,104.087,86.568,70.540,100.104,94.378,68.515,52.213,85.425,66.010,57.477,57.215,105.058,67.476,93.021,97.223,62.576,82.912,65.518,78.743,92.589,46.590,56.291,84.696,55.604,45.348,42.300
5/2024,509.646,419.333,353.153,327.542,158.161,196.165,126.360,184.372,216.017,298.326,230.224,219.589,377.562,346.753,213.987,234.613,245.755,265.623,78.389,169.400,228.965,266.530,224.229,244.432,285.165,294.526,122.675,175.391,132.542,113.604,244.764,206.661,116.190,163.170,150.797
6/2024,734.284,427.845,426.249,305.524,187.374,159.715,189.810,296.489,182.686,436.585,237.739,589.741,327.966,549.315,218.417,376.030,167.880,213.998,58.854,226.808,151.237,303.760,211.838,193.278,520.768,294.127,271.834,463.573,54.122,155.217,358.362,348.428,120.881,315.773,398.018
7/2024,338.196,136.249,177.999,99.719,73.253,68.731,77.313,136.625,71.301,206.058,76.378,513.532,127.649,199.784,106.441,223.707,53.538,63.124,24.060,66.706,56.738,123.079,80.408,69.302,222.768,153.068,82.624,218.688,27.393,55.315,112.270,104.379,47.659,183.204,228.996
8/2024,128.421,62.968,68.722,57.048,43.859,51.249,40.372,58.341,55.331,70.437,43.729,137.380,54.752,85.285,50.732,87.087,43.429,47.848,19.160,39.886,35.709,57.529,55.072,48.432,79.266,57.837,48.304,67.988,26.131,38.756,55.647,45.093,30.468,95.157,86.755
9/2024,72.976,62.084,67.107,43.935,42.564,35.121,33.059,36.777,44.478,59.111,39.644,66.527,42.864,61.577,35.452,48.767,35.298,32.709,20.856,57.972,36.507,37.898,40.574,45.626,48.052,40.360,31.421,41.426,23.216,56.353,49.081,36.362,25.909,77.693,43.632
10/2024,62.168,92.034,73.284,35.211,32.592,32.985,50.432,31.012,30.313,50.088,35.235,59.724,49.797,64.670,41.426,38.971,30.296,28.878,29.380,35.981,34.163,51.894,64.226,41.749,41.972,39.614,31.500,40.037,21.426,51.239,61.508,30.880,26.530,47.964,36.414
11/2024,50.699,53.490,50.792,33.033,25.342,26.429,42.436,28.520,25.443,38.993,32.042,45.488,38.132,45.251,34.448,31.331,26.373,28.348,18.077,25.683,29.671,38.910,42.760,31.109,36.301,36.400,30.766,33.082,18.113,30.158,37.565,28.859,24.550,32.762,30.960
12/2024,44.114,38.807,38.971,29.762,23.182,23.801,29.982,25.991,23.488,33.953,27.516,41.369,33.804,37.275,32.061,28.991,23.615,24.491,15.268,23.848,24.252,29.515,30.591,24.800,33.283,30.527,26.253,29.765,16.899,23.637,29.358,27.243,19.850,28.783,29.468
1/2025,39.462,33.575,32.794,26.484,20.811,21.327,23.708,22.833,21.388,30.406,24.503,36.105,29.088,33.428,27.551,28.155,21.138,21.673,13.740,21.130,24.928,25.530,27.363,21.536,30.065,26.847,23.334,27.034,15.232,20.716,25.835,25.094,17.160,25.760,28.524
2/2025,32.828,42.990,30.024,21.742,17.131,18.150,20.539,19.653,19.605,24.797,24.491,32.487,23.717,28.709,26.574,27.912,20.730,17.768,16.787,17.635,21.314,20.609,25.051,17.593,25.712,21.978,19.113,22.413,12.655,19.806,25.253,21.100,14.341,21.627,21.943
3/2025,48.735,79.147,35.487,31.819,46.967,29.348,29.951,32.070,35.374,44.874,54.551,44.058,45.253,44.420,37.404,32.808,32.481,21.941,27.541,50.812,25.558,28.956,64.007,18.516,49.736,26.049,34.211,44.116,20.331,22.742,45.712,23.655,25.324,34.840,22.358
4/2025,109.728,136.932,100.589,73.741,117.185,65.183,58.112,83.885,103.664,86.743,67.727,100.796,94.325,68.880,50.866,86.030,66.254,57.543,55.708,104.857,67.359,92.905,92.517,62.920,83.229,65.553,78.411,92.678,46.755,56.322,84.421,55.544,45.779,42.207,48.111
5/2025,417.922,352.245,330.080,158.152,196.310,126.627,175.670,215.920,297.331,229.959,212.983,376.992,345.974,213.534,225.920,245.444,265.331,78.046,158.719,228.450,265.798,223.659,242.526,285.264,294.073,122.396,168.134,132.446,113.596,244.050,200.068,115.902,163.480,150.068,481.023
6/2025,427.033,425.240,304.637,187.187,159.798,189.683,297.008,182.558,435.641,237.310,575.704,327.348,548.362,217.936,374.608,167.869,213.672,58.518,234.944,150.987,302.979,211.205,195.988,520.195,293.602,270.989,459.988,54.062,154.915,358.123,349.185,120.565,315.342,396.557,740.869
7/2025,135.769,177.306,103.964,73.112,68.616,77.063,140.232,71.085,205.458,76.064,525.054,127.355,199.222,106.067,230.273,53.470,62.768,23.830,68.575,56.411,122.563,79.893,70.489,222.298,152.567,82.122,227.311,27.277,54.984,112.135,107.274,47.257,182.697,228.237,349.282
8/2025,62.802,68.462,57.280,43.810,51.247,40.365,59.169,55.235,70.148,43.602,142.247,54.717,85.052,50.628,89.637,43.468,47.710,18.986,40.052,35.511,57.249,54.860,48.827,79.120,57.678,48.059,69.741,26.041,38.579,55.558,45.339,30.180,95.027,86.421,130.815
9/2025,62.044,66.993,44.712,42.627,35.210,33.156,36.915,44.498,58.949,39.637,67.285,42.949,61.487,35.472,49.429,35.422,32.691,20.746,57.665,36.427,37.758,40.509,45.333,48.040,40.328,31.333,41.885,23.214,56.270,49.102,36.413,25.752,77.724,43.474,73.940
10/2025,92.043,73.226,35.523,32.679,33.091,50.585,31.061,30.355,49.981,35.277,60.356,49.924,64.635,41.498,39.418,30.433,28.903,29.321,36.708,34.126,51.806,64.210,42.181,42.009,39.633,31.456,40.307,21.466,51.218,61.570,30.923,26.422,48.048,36.315,62.514
11/2025,53.506,50.745,33.280,25.432,26.523,42.566,28.488,25.500,38.908,32.087,45.708,38.255,45.226,34.515,31.539,26.500,28.379,18.035,25.860,29.654,38.843,42.751,31.758,36.338,36.423,30.744,33.452,18.164,30.155,37.622,28.820,24.468,32.809,30.883,50.943
12/2025,38.817,38.925,30.040,23.273,23.915,30.103,26.071,23.543,33.867,27.555,41.583,33.913,37.249,32.129,29.143,23.761,24.526,15.230,23.975,24.233,29.449,30.583,24.945,33.314,30.544,26.231,30.032,16.948,23.628,29.404,27.201,19.774,28.846,29.390,44.207
1/2026,33.589,32.759,26.727,20.895,21.433,23.824,22.844,21.439,30.333,24.545,36.192,29.192,33.408,27.619,28.152,21.273,21.706,13.706,21.244,24.910,25.474,27.364,21.598,30.101,26.866,23.315,27.299,15.278,20.707,25.885,25.252,17.090,25.831,28.452,39.530
2/2026,43.009,29.991,21.915,17.202,18.229,20.635,19.568,19.647,24.735,24.529,32.248,23.805,28.692,26.637,27.949,20.848,17.797,16.759,17.575,21.301,20.564,25.055,17.642,25.744,21.993,19.099,22.556,12.693,19.799,25.297,20.926,14.283,21.670,21.887,32.770
3/2026,79.168,35.448,31.212,47.046,29.451,30.066,31.352,35.435,44.778,54.610,43.560,45.393,44.396,37.471,32.430,32.621,21.974,27.510,49.293,25.542,28.903,64.013,18.196,49.780,26.064,34.207,42.631,20.376,22.733,45.765,23.618,25.261,34.919,22.298,48.050
