segdesc   = DLAC2L_F
2020-04-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 1/2022       10.919    11.447    13.526    12.197    11.209    10.837     9.552     9.131     9.239    10.097    10.117    11.931     9.627    11.812    11.083    12.781    11.435    10.737     9.517     9.547     8.200     9.323    12.373    12.082    10.952    11.638    11.901    10.129    10.505    11.040     8.403     9.393    10.631     9.747     9.113
 2/2022        9.023     9.208    10.920    11.760     9.897     8.697     7.851     7.269     7.478     8.098     8.260     9.539     8.800    10.511     8.971    10.418    10.299     9.476     7.964     7.571     7.247     7.568    10.265     9.714    10.201     9.400    10.614     8.001     8.458     8.952     6.651     8.335     8.894     7.868     7.354
 3/2022       12.242     9.944    13.998    15.621    10.810    11.372    15.174     7.912     8.969    11.251    11.287    13.380    14.190    11.291    16.438    13.833    11.670    10.769     9.780     7.600     9.029    15.060    12.952    10.684    18.933    10.046    16.799     8.108    12.182    12.054     7.915     8.670     9.853     7.242     9.122
 4/2022       14.222    21.376    26.809    19.267    21.772    14.612    23.125    11.786    11.295    18.947    21.206    17.184    11.401    15.506    27.632    19.396    11.502    17.041    13.923    11.224    10.696    23.737    37.679    18.740    25.751    20.035    24.983    15.049    14.184    19.419     9.649    12.711     9.744     9.938     8.287
 5/2022       29.753    90.864    62.832    37.856    43.957    17.477    20.750     9.126    18.706    35.231    61.799    28.385    32.580    48.483    66.459    40.423    33.310    29.513    42.096     2.475    16.860    34.762    63.544    29.409    48.934    45.434    39.673    17.262    37.063    13.804     5.028    31.211    17.358     4.947    16.906
 6/2022       76.460   114.322    75.200    56.177    52.242    26.233     9.861    18.659    36.442    31.892    60.494    30.319    74.473    30.643    84.896    35.059    62.132    14.951    27.871     2.527    17.723    18.813    55.009    23.243    48.175    83.197    33.294    38.839    76.465     4.902     5.323    43.442    48.802    13.641    45.379
 7/2022       60.912    54.392    25.040    28.842    16.958     4.392     1.409     4.105    19.265    11.309    24.450     1.620    72.333     5.118    30.825    14.527    41.966     1.082     1.334     1.290     1.085     3.583    18.543     4.195    11.278    30.881    18.030     5.991    39.176     1.116     1.901     7.426    13.597     4.579    38.477
 8/2022       26.013    33.901    15.329    13.949    17.554     9.780     6.924     8.450    11.023    15.880    15.287     7.851    25.024     8.141    22.714    12.139    26.032     7.399     9.428     4.031     6.466     8.713    16.491    17.281    13.767    18.688    11.574    14.810    15.163     6.503     9.716    14.385     9.962     8.387    26.933
 9/2022       22.278    28.773    28.408    26.231    21.367    23.995    16.781    16.593    19.706    20.912    23.870    20.584    24.621    19.089    29.413    19.821    27.238    17.648    17.750    16.494    22.911    25.783    21.182    21.906    24.873    23.534    19.362    18.288    21.007    15.249    25.671    22.754    16.884    17.241    34.550
10/2022       25.762    35.161    35.274    29.352    23.875    25.589    22.506    25.479    22.601    23.492    26.444    24.039    29.059    29.768    36.757    25.597    25.122    23.226    22.616    23.112    23.021    31.372    31.194    36.508    32.245    26.569    24.546    23.478    25.811    20.473    29.398    32.948    21.439    22.081    28.943
11/2022       17.607    21.889    21.626    19.555    17.367    15.856    14.907    16.827    15.404    15.971    18.250    16.087    18.426    17.799    22.136    18.149    16.716    15.392    15.519    13.973    14.673    19.951    19.800    20.069    20.633    18.785    17.383    16.252    17.353    13.697    16.470    19.435    14.893    15.379    17.840
12/2022       13.706    16.161    15.193    14.236    12.942    11.800    11.010    11.673    11.720    12.248    14.237    12.004    14.288    13.702    15.561    14.289    12.826    11.251    11.601    10.127    10.944    13.402    14.519    13.692    14.270    14.273    12.777    12.358    13.198    10.219    11.502    12.985    11.186    11.109    12.940
 1/2023       11.540    13.663    12.690    11.442    10.822     9.848     9.146     9.373     9.816    10.300    12.083    10.091    11.809    11.277    12.853    11.822    10.936     9.391     9.704     8.197     9.121    12.385    12.192    11.446    11.646    12.001    10.590    10.547    11.101     8.533     9.376    10.502     9.812     8.897    10.780
 2/2023        9.284    11.032    12.043    10.092     8.685     8.094     7.260     7.589     7.869     8.408     9.660     9.194    10.509     9.127    10.462    10.626     9.643     7.861     7.692     7.243     7.403    10.273     9.786    10.621     9.407    10.694     8.374     8.492     9.001     6.757     8.244     8.781     7.923     7.177     8.858
 3/2023       10.022    14.151    15.818    11.027    11.355    15.514     7.798     9.108    10.993    11.455    13.369    14.675    11.289    16.645    13.706    12.054    10.954     9.650     7.562     9.022    14.837    12.961    10.685    19.529    10.050    16.903     8.325    12.216    12.114     8.026     8.697     9.712     7.296     8.912    12.009
 4/2023       21.478    27.007    19.619    22.079    14.597    23.559    11.424    11.441    18.541    21.434    17.189    11.819    15.495    27.855    19.150    11.854    17.314    13.774    11.422    10.690    23.463    37.676    18.354    26.263    20.011    25.083    15.137    14.238    19.499     9.767    12.609     9.605    10.020     8.074    13.558
 5/2023       91.165    63.040    37.828    44.234    17.474    21.050     8.930    18.899    34.838    62.226    27.249    33.214    48.459    66.887    38.898    33.799    29.697    41.938     2.386    16.859    34.370    63.519    28.901    49.433    45.484    39.752    16.625    37.153    13.847     5.129    29.153    17.168     4.981    16.597    26.491
 6/2023      114.422    75.274    55.830    52.368    26.230    10.009    18.499    36.587    31.689    60.639    31.270    74.881    30.641    85.046    35.745    62.418    15.025    27.808     2.615    17.733    18.608    54.991    23.888    48.434    83.239    33.344    40.030    76.532     4.918     5.372    44.798    48.669    13.683    45.233    76.841
 7/2023       54.418    25.091    30.341    17.051     4.389     1.421     4.498    19.345    11.192    24.518     1.873    72.542     5.119    30.893    15.855    42.146     1.082     1.324     1.315     1.085     3.535    18.548     4.374    11.472    30.887    18.074     6.645    39.195     1.116     1.906     7.830    13.535     4.599    38.380    62.696
 8/2023       33.920    15.372    14.474    17.635     9.775     7.030     8.590    11.082    15.787    15.339     7.999    25.168     8.143    22.773    12.418    26.178     7.460     9.387     4.112     6.464     8.647    16.500    17.423    13.934    18.690    11.612    15.296    15.174     6.525     9.775    14.937     9.916     8.414    26.845    27.121
 9/2023       28.788    28.447    26.291    21.436    23.991    16.878    16.477    19.758    20.837    23.915    20.569    24.741    19.091    29.461    19.911    27.360    17.716    17.714    16.514    22.906    25.714    21.191    21.723    25.025    23.536    19.395    18.546    21.016    15.271    25.735    22.700    16.847    17.264    34.469    22.436
10/2023       35.177    35.312    29.656    23.938    25.585    22.597    25.503    22.648    23.424    26.485    24.147    29.170    29.770    36.806    25.579    25.233    23.291    22.583    23.257    23.018    31.315    31.201    36.806    32.385    26.571    24.576    23.630    25.820    20.493    29.448    33.095    21.404    22.103    28.877    25.806
11/2023       21.902    21.656    19.844    17.425    15.853    14.984    16.993    15.445    15.912    18.285    16.221    18.520    17.801    22.171    18.207    16.812    15.448    15.490    14.078    14.671    19.905    19.806    20.393    20.750    18.786    17.409    16.428    17.359    13.714    16.507    19.635    14.862    15.399    17.782    17.609
12/2023       16.173    15.221    14.476    12.994    11.797    11.081    11.747    11.758    12.194    14.270    12.066    14.375    13.704    15.593    14.392    12.915    11.302    11.574    10.226    10.942    13.365    14.525    13.801    14.389    14.274    12.801    12.460    13.204    10.235    11.535    13.046    11.157    11.126    12.888    13.716
 1/2024       13.673    12.715    11.589    10.867     9.846     9.210     9.397     9.850    10.251    12.113    10.139    11.886    11.279    12.882    11.849    11.017     9.437     9.680     8.256     9.119    12.351    12.198    11.526    11.743    12.002    10.611    10.708    11.106     8.548     9.405    10.521     9.785     8.911    10.734    11.538
 2/2024       11.396    12.618    10.535     9.032     8.418     7.554     7.839     8.144     8.639     9.992     9.510    10.967     9.417    10.830    10.999    10.052     8.170     7.914     7.519     7.654    10.588    10.106    10.981     9.807    11.164     8.648     8.853     9.306     6.974     8.594     9.067     8.177     7.453     9.141     9.570
 3/2024       14.340    16.218    11.157    11.543    15.672     7.968     9.140    11.274    11.742    13.545    14.727    11.411    17.346    13.944    12.048    11.303     9.849     7.705     9.080    15.175    13.058    10.790    19.677    10.502    16.878     8.516    12.307    12.422     8.272     8.685     9.734     7.283     9.016    12.011     9.989
 4/2024       27.912    19.648    22.075    14.644    23.591    11.629    11.316    19.348    22.132    17.118    11.661    15.632    28.239    19.310    11.662    17.974    14.373    11.166    10.569    23.919    38.416    18.661    26.259    20.256    25.931    15.366    14.144    19.358     9.717    12.633     9.502    10.326     8.098    13.830    21.258
 5/2024       64.320    38.075    44.152    18.224    21.451     8.956    18.765    34.927    63.623    28.369    33.042    49.038    68.081    40.406    33.667    30.049    42.637     2.422    16.781    34.294    65.067    29.246    49.176    47.724    39.763    17.535    37.094    13.707     5.020    31.097    16.928     4.712    17.518    29.335    91.082
 6/2024       74.485    56.617    52.640    26.321     9.733    18.812    36.864    31.542    60.485    30.564    75.096    31.195    85.658    35.286    62.703    14.109    26.845     2.544    17.889    18.369    54.373    23.342    48.673    83.286    34.714    39.376    76.880     4.838     5.451    43.587    48.840    13.705    46.893    76.517   114.662
 7/2024       24.592    29.629    17.684     3.765     1.250     4.345    19.953    11.222    23.192     1.712    73.179     4.251    29.892    15.139    42.753     1.085     1.312     1.315     1.084     3.460    17.560     4.516    12.074    29.420    16.519     6.542    39.792     1.117     2.305     7.979    14.072     4.699    37.052    61.414    54.948
 8/2024       15.351    14.487    18.023    10.024     7.204     8.795    11.405    15.965    15.781     8.244    25.527     8.350    22.427    12.501    26.494     7.740     9.649     4.208     6.689     8.816    16.627    17.633    14.286    18.580    11.640    15.327    15.541     6.674     9.902    14.714    10.221     8.535    26.934    26.299    34.225
 9/2024       28.859    26.472    21.537    24.129    16.930    16.668    19.819    20.675    23.573    20.693    24.799    19.222    29.564    19.899    27.415    17.733    17.729    16.597    22.992    26.257    21.255    21.985    25.096    23.530    19.402    18.493    21.093    15.301    25.707    22.807    16.887    17.149    33.870    22.286    28.832
10/2024       35.040    29.553    24.021    25.370    22.612    25.539    22.693    23.421    26.469    24.125    29.208    29.761    36.629    25.655    25.275    23.347    22.647    23.197    23.079    30.886    31.139    36.579    32.438    26.644    24.594    23.659    25.878    20.509    29.033    32.983    21.429    22.100    28.597    25.754    35.204
11/2024       21.427    19.714    17.474    15.798    14.958    16.854    15.458    15.918    18.261    16.139    18.529    17.782    21.990    18.177    16.823    15.417    15.457    14.019    14.698    19.778    19.659    20.101    20.769    18.737    17.399    16.385    17.386    13.707    16.391    19.439    14.858    15.359    17.682    17.577    21.903
12/2024       15.169    14.379    13.037    11.786    11.072    11.697    11.771    12.200    14.264    12.051    14.383    13.644    15.543    14.315    12.925    11.311    11.578    10.169    10.967    13.310    14.469    13.719    14.406    14.268    12.774    12.480    13.229    10.229    11.493    12.988    11.153    11.079    12.844    13.679    16.173
 1/2025       12.708    11.565    10.906     9.842     9.206     9.394     9.861    10.258    12.110    10.134    11.893    11.258    12.869    11.844    11.026     9.449     9.688     8.234     9.142    12.355    12.168    11.471    11.758    12.015    10.603    10.655    11.129     8.542     9.385    10.504     9.782     8.881    10.714    11.516    13.673
 2/2025       12.227    10.198     8.754     8.167     7.331     7.607     7.907     8.392     9.684     9.229    10.580     9.127    10.490    10.644     9.722     7.941     7.686     7.274     7.420    10.226     9.784    10.642     9.498    10.859     8.386     8.580     9.023     6.765     8.325     8.783     7.898     7.215     8.853     9.265    11.040
 3/2025       16.188    11.153    11.447    15.646     7.984     9.128    11.036    11.763    13.541    14.716    11.364    17.242    13.922    12.075    11.045     9.870     7.724     9.057    14.860    13.009    10.763    19.559    10.153    16.898     8.524    12.324    12.141     8.274     8.661     9.717     7.270     8.982    12.008    10.000    14.162
