segdesc   = NVRN5L_F
2021-01-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
10/2022,47.214,53.838,67.761,109.878,86.946,19.231,32.027,34.165,48.904,22.965,19.226,32.872,30.057,34.667,28.434,82.685,43.475,26.059,30.248,14.764,22.193,18.887,44.269,78.964,125.817,38.712,27.844,24.115,30.698,54.737,14.696,42.692,43.250,12.658,63.312
11/2022,38.304,30.453,39.665,54.712,70.827,46.695,27.407,21.904,39.565,37.978,26.197,32.531,43.926,27.559,29.050,43.382,60.851,22.650,26.235,21.024,24.222,22.322,41.509,40.255,46.761,21.568,31.219,22.372,23.924,30.916,14.524,27.646,24.414,20.273,31.311
12/2022,29.359,25.783,40.872,35.698,38.083,26.235,20.662,17.868,23.511,25.229,22.035,28.652,29.887,25.028,27.560,29.936,39.616,20.972,17.185,20.680,13.777,20.713,25.358,27.523,26.102,46.089,26.617,18.363,26.997,22.371,13.932,19.303,20.163,20.243,18.168
1/2023,25.877,21.724,40.714,31.623,28.135,20.043,18.015,16.506,17.467,20.048,26.043,24.780,23.451,23.191,22.137,26.885,24.571,22.057,15.927,18.673,11.726,16.681,53.755,24.102,22.219,31.706,25.154,17.122,20.332,22.491,18.411,15.527,19.867,16.997,15.200
2/2023,27.561,23.393,38.205,58.477,45.112,21.375,21.607,15.437,24.130,29.331,31.280,28.543,50.191,32.920,24.162,27.408,28.659,21.127,19.000,16.551,14.843,18.589,84.015,20.792,41.147,23.515,34.372,14.891,23.851,23.909,18.029,21.283,30.778,14.083,15.374
3/2023,75.644,76.308,186.820,141.320,117.208,57.632,89.111,38.771,61.956,89.273,162.393,74.723,216.512,43.711,147.090,69.981,53.647,43.137,67.157,25.427,41.940,91.218,141.427,39.913,131.039,104.596,74.054,49.252,54.465,65.586,34.515,53.633,62.646,28.739,72.148
4/2023,135.634,137.966,291.549,308.573,232.517,93.773,207.560,111.791,116.490,226.838,282.855,169.566,180.059,77.264,194.056,130.848,108.251,116.522,173.106,44.801,55.376,189.912,258.646,136.848,137.228,266.928,114.821,183.159,116.960,141.531,48.788,99.758,56.802,62.646,111.599
5/2023,275.236,372.877,477.128,316.390,357.169,140.074,227.042,199.950,220.626,309.483,429.699,286.211,321.362,182.228,379.785,268.071,268.410,165.465,418.100,50.836,139.938,272.473,485.743,206.605,273.286,349.190,352.526,176.428,174.463,188.060,88.791,165.163,155.732,132.786,264.446
6/2023,400.120,318.855,488.364,418.309,319.368,201.070,142.979,181.059,313.580,158.283,383.338,207.581,433.783,52.149,387.388,198.944,318.591,47.178,186.096,25.362,96.076,119.311,407.777,63.774,147.168,346.034,164.288,216.592,244.502,60.955,77.665,179.988,211.074,116.491,278.198
7/2023,187.647,78.571,115.619,166.297,69.105,42.635,22.028,58.793,97.306,44.648,94.029,26.895,255.313,9.847,74.892,64.650,143.105,0.000,23.066,17.555,3.548,16.448,109.700,27.554,22.418,74.462,27.911,31.369,45.673,10.944,31.252,18.128,37.321,37.750,106.656
8/2023,54.928,65.855,45.224,34.758,35.883,55.620,26.694,35.310,39.610,52.792,66.167,20.150,72.807,3.262,66.170,27.653,122.899,1.105,39.488,16.030,21.434,4.692,34.909,36.801,39.076,30.768,6.121,36.156,14.607,17.422,30.344,12.368,8.289,25.958,65.332
9/2023,17.136,43.730,72.125,57.118,18.653,36.418,17.177,26.501,68.835,39.825,86.197,41.521,37.483,26.451,89.555,15.471,76.573,8.162,11.458,23.258,43.120,34.081,24.512,35.645,29.741,35.139,10.618,42.333,14.408,19.839,76.496,9.894,9.771,26.631,82.426
10/2023,54.545,70.347,111.081,89.485,20.283,33.300,34.715,52.039,22.606,20.132,33.465,31.097,35.154,29.656,83.036,43.775,27.052,31.235,14.600,22.561,19.425,44.207,79.180,127.190,39.526,28.318,22.953,32.658,55.886,15.647,43.620,47.388,12.788,63.200,48.767
11/2023,30.828,41.824,55.555,74.865,48.485,28.654,22.290,41.232,37.628,27.092,33.061,46.569,27.984,30.725,43.614,63.874,23.524,27.245,20.874,25.648,22.953,41.439,40.397,49.375,22.280,31.547,23.871,25.720,31.657,15.662,28.304,24.636,21.107,31.273,38.498
12/2023,26.119,42.902,36.559,40.074,27.270,21.900,18.226,24.320,24.906,22.797,29.181,31.203,25.457,29.105,30.169,42.548,21.807,18.004,20.536,14.639,21.338,25.284,27.648,27.031,47.573,26.992,19.724,28.617,22.914,15.153,19.870,20.132,21.058,18.186,29.695
1/2024,22.019,42.618,32.440,28.509,20.857,19.097,16.883,17.899,19.782,26.966,25.217,24.808,23.601,23.440,27.105,25.815,22.863,16.687,18.538,12.303,17.215,53.548,24.217,22.809,32.767,25.486,18.495,21.817,23.216,19.659,16.037,19.076,17.772,15.174,25.430
2/2024,24.495,42.118,64.940,48.732,24.636,24.660,16.496,25.451,30.416,33.408,30.985,53.655,34.631,26.326,28.663,30.774,22.668,20.949,17.104,15.926,20.999,87.054,21.804,43.194,25.848,36.913,16.784,26.251,26.169,19.836,22.956,32.002,15.789,16.308,28.983
3/2024,79.895,195.797,144.831,121.346,59.378,93.700,40.637,63.844,92.196,175.036,75.536,221.806,44.313,156.020,72.779,54.884,46.736,70.374,25.911,43.009,94.252,143.611,41.390,132.661,115.079,74.335,55.070,56.855,68.970,37.282,55.555,62.786,29.472,74.386,76.228
