segdesc   = DRGC2H_F
2020-11-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 8/2022       75.154    46.363    65.084    37.491    45.974    46.337    32.580    29.013    30.883    30.493    37.550    38.480    20.945    57.197    20.626    69.125    27.276    90.160    19.325    33.495     8.508    17.577    20.010    41.966    27.530    40.071    30.914    22.447    31.218    31.901    15.182    22.248    26.308    28.947    24.739
 9/2022       68.588    23.760    36.826    44.711    48.988    31.307    24.137    17.175    19.972    42.077    24.986    40.213    29.090    31.400    18.611    57.951    21.544    59.187    18.343    18.134    18.675    26.404    29.489    22.277    22.968    36.656    33.255    16.488    16.088    21.859    11.779    34.932    32.106    18.297    13.673
10/2022       35.093    26.014    29.946    46.598    50.205    20.497    23.053    19.633    27.346    20.281    16.614    23.472    21.527    28.185    26.384    50.316    20.187    24.552    19.018    15.083    15.111    15.024    28.556    33.600    67.969    39.899    20.895    16.097    19.126    26.712    10.919    27.223    41.589    13.322    23.239
11/2022       21.410    17.199    22.150    26.476    33.454    23.829    15.045    13.302    19.687    16.075    14.028    18.267    18.128    18.724    17.800    25.399    21.557    16.617    15.768    13.738     9.731    10.177    21.249    20.847    25.010    19.438    17.126    14.030    14.495    19.583     9.699    13.982    21.993    11.690    13.696
12/2022       17.464    15.807    18.671    20.170    22.239    17.752    12.220    11.320    13.644    14.056    12.760    16.581    15.319    17.172    15.425    18.582    19.072    14.825    12.500    12.450     8.431     9.608    15.172    16.518    14.877    15.534    15.288    12.185    12.158    15.755     9.255    10.448    14.352    11.861    10.114
 1/2023       14.500    14.752    17.305    17.244    16.981    14.960    10.588    10.153    10.787    12.032    11.509    15.094    13.202    15.239    12.485    16.026    14.513    13.463    10.992    11.403     7.751     8.488    15.780    15.022    12.020    12.992    13.497    11.044    11.133    14.262     8.547     8.546    12.214    11.255     8.509
 2/2023       11.863    12.071    13.358    16.345    21.019    12.314     8.693     8.449     9.526    10.183     9.589    12.750    13.499    15.923     9.892    13.261    13.167    11.897     8.887     9.571     7.328     6.958    13.244    12.726    11.801    10.057    12.201     9.209     8.893    11.392     7.161     8.630    14.410     9.314     7.004
 3/2023       15.972    15.653    25.863    35.435    32.214    18.068    19.605    13.649    11.123    16.743    16.575    22.335    36.077    20.365    31.964    22.496    19.118    16.242    14.336    11.913    12.083    20.184    26.090    17.075    37.257    13.040    22.693     9.727    15.425    23.230    10.548    13.142    23.019    11.914     8.966
 4/2023       29.720    34.710    95.979    94.766   102.531    34.344    71.915    32.672    31.735    64.978    61.438    47.990    51.551    40.016    69.182    47.965    31.194    53.881    49.000    22.856    21.740    67.502    90.506    46.695    60.988    42.951    35.953    30.609    34.066    55.658    23.801    36.474    31.648    25.110    19.278
 5/2023      133.802   209.560   226.593   183.950   207.634    91.072   121.849    86.587    98.937   143.611   219.918   154.198   140.993   149.997   200.882   146.341   150.172   128.046   195.928    45.854    82.274   155.379   218.562   120.367   156.030   173.270   188.300    76.622   122.961    99.813    49.384   112.628    97.178    67.830   122.281
 6/2023      248.248   241.190   260.754   244.311   189.356   142.922    93.651   109.465   174.111   114.577   235.250   135.582   257.522    98.223   263.832   129.173   207.353    74.884   123.838    32.506    85.497    96.259   231.173    83.848   131.071   226.948   126.087   124.536   235.604    54.186    47.421   166.514   206.528    96.555   188.638
