segdesc   = NVRN5L_F
2018-10-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 8/2020       56.187    51.594    60.045    48.909    35.651    38.353    44.635    31.758    34.957    45.894    56.977    77.297    32.203    70.858    19.749    58.451    35.782    88.090    17.339    40.095    12.238    18.209    19.735    36.679    47.455    35.600    39.444    21.596    39.454    27.903    15.746    26.821    21.038    20.579    27.396
 9/2020       66.394    26.260    40.265    71.028    47.048    22.462    29.718    26.173    30.224    50.719    39.880    71.691    44.623    41.355    26.243    71.869    21.629    57.046    14.065    19.126    19.126    36.995    39.336    29.773    40.071    31.197    36.741    21.195    37.373    23.409    16.472    59.124    21.496    18.241    23.377
10/2020       35.543    39.713    61.138    95.984    67.597    18.807    24.238    31.710    38.811    19.079    20.041    29.238    29.583    28.246    24.709    65.079    43.312    21.243    26.219    16.130    18.554    15.426    37.290    59.148    94.675    33.877    26.792    22.176    26.888    50.728    12.132    35.450    28.522    14.423    53.307
11/2020       25.483    21.019    29.327    39.968    48.513    33.984    17.048    14.824    27.390    27.616    18.169    22.780    33.535    18.910    22.198    30.368    49.283    13.819    18.126    14.051    20.248    16.817    30.414    25.759    31.430    14.130    22.439    17.521    17.327    23.201    10.972    19.777    14.189    14.193    22.644
12/2020       18.389    16.673    30.842    24.572    24.201    17.086    12.234    11.104    14.592    15.686    14.861    19.223    22.412    16.267    20.200    19.269    28.185    12.124    11.054    13.155    10.058    14.768    18.128    17.229    16.711    35.168    18.107    12.992    21.529    15.215     9.852    12.635    12.042    13.516    11.243
 1/2021       17.456    13.912    30.181    22.968    19.727    12.895    10.955    10.729    10.618    12.615    19.546    16.690    16.781    15.487    16.303    17.812    17.784    14.404    10.814    12.089     8.657    11.796    39.411    15.615    14.923    23.066    17.933    12.992    15.580    16.414    15.080    10.433    14.148    10.719     9.729
 2/2021       20.781    16.410    31.403    50.786    31.645    16.428    16.544    10.976    18.347    21.560    25.224    22.580    42.395    24.750    18.673    19.477    22.178    14.447    14.705    11.419    12.037    15.302    73.323    14.109    34.250    17.518    27.952    11.804    19.987    18.418    14.493    16.449    21.096     9.969    11.175
 3/2021       60.153    63.529   162.297   120.421    90.896    46.800    71.712    30.900    52.739    75.271   133.807    60.877   188.763    33.355   116.800    55.823    44.645    34.274    54.081    19.377    35.388    73.534   123.690    31.542   110.485    97.389    61.167    46.417    47.235    53.458    29.482    42.237    47.245    20.780    65.107
 4/2021      112.084   110.528   253.522   257.201   189.092    79.606   159.942    95.566    93.686   184.073   226.096   143.372   156.579    66.345   155.303   106.489    98.073    92.577   149.810    36.212    47.195   134.950   212.358   113.985   115.086   232.126   102.313   171.979   101.659   115.531    41.427    79.730    41.838    53.002   100.758
 5/2021      229.298   305.757   384.983   259.094   265.870   123.341   184.462   165.058   190.720   244.007   348.608   236.619   269.499   149.454   302.810   221.047   229.809   130.048   326.319    47.861   121.873   203.687   399.921   172.283   218.019   288.785   289.041   164.288   152.189   155.613    86.969   140.083   132.350   115.167   228.882
 6/2021      294.097   229.840   359.268   318.409   227.305   153.209   116.068   142.657   249.924   129.310   283.046   168.915   335.162    56.143   277.273   160.611   236.064    46.090   148.866    21.580    82.018   101.046   297.910    64.119   125.469   265.253   143.190   181.089   180.948    63.063    73.045   131.313   152.892    97.067   217.718
 7/2021      142.141    68.012   101.966   127.066    57.130    43.438    33.494    55.364    88.467    48.390    77.434    37.571   195.099    28.943    67.944    66.755   105.790    17.833    35.566    14.212    21.181    29.911    90.531    42.118    34.770    70.533    41.131    45.588    48.270    30.618    28.144    30.069    37.101    43.692    92.113
 8/2021       51.649    60.897    49.039    36.489    39.010    46.975    31.956    35.060    46.034    57.596    77.689    32.559    71.384    20.234    59.163    36.886    89.569    18.153    40.129    12.706    18.768    19.596    36.688    49.308    36.738    39.819    21.554    40.309    27.982    16.395    27.627    21.226    20.921    27.417    56.773
 9/2021       26.321    40.866    71.192    47.812    22.937    31.516    26.250    29.262    50.882    40.303    72.038    44.750    41.767    26.792    72.574    22.106    58.140    14.797    19.110    19.110    37.764    39.200    29.769    39.787    32.117    37.083    21.144    39.054    23.443    17.043    60.232    18.530    18.559    23.376    66.103
10/2021       39.874    62.181    96.201    68.946    19.246    25.571    31.839    39.729    19.225    20.311    29.476    29.905    28.568    25.178    65.692    41.452    22.090    27.122    16.161    19.454    15.906    37.237    59.208    95.483    34.787    27.113    22.181    27.997    50.860    12.639    36.265    31.052    14.760    53.352    36.583
11/2021       21.086    30.081    40.096    50.877    34.751    18.349    14.871    28.100    27.822    18.416    22.970    34.269    19.176    22.724    30.732    50.225    14.536    18.893    14.046    20.724    17.281    30.319    25.783    32.860    14.875    22.611    17.497    18.263    23.266    11.456    20.341    14.144    14.495    22.657    25.275
12/2021       16.729    31.642    24.703    25.328    17.540    13.549    11.147    14.821    15.812    15.062    19.419    22.729    16.557    20.703    19.622    30.745    12.820    11.687    13.153    10.556    15.224    18.024    17.251    17.133    36.571    18.337    12.973    22.169    15.261    10.306    13.122    11.913    13.804    11.242    18.891
 1/2022       13.947    30.841    23.092    19.579    13.209    12.107    10.804    10.646    12.719    19.861    16.851    17.315    15.768    16.704    18.150    18.149    15.079    11.411    12.087     8.921    12.183    39.066    15.636    15.145    24.099    18.138    12.969    16.241    16.484    15.652    10.887    12.719    10.992     9.718    17.416
 2/2022       16.451    32.148    51.016    33.597    16.835    17.890    11.084    18.056    21.745    25.602    22.820    41.837    25.076    19.169    19.850    22.300    15.112    15.374    11.419    12.123    15.697    72.709    14.130    34.360    18.378    28.250    11.782    20.641    18.520    15.124    16.971    22.034    10.195    11.153    19.586
 3/2022       63.776   164.114   120.704    92.528    47.946    75.149    31.084    52.092    75.697   134.998    61.241   190.872    33.725   118.177    56.602    44.332    35.253    55.661    19.385    35.543    74.645   123.296    31.571   109.803   100.315    61.630    46.366    47.649    53.579    30.453    43.074    45.789    21.099    64.732    57.301
 4/2022      110.715   254.869   257.518   182.003    80.364   162.495    95.907    95.257   184.489   227.312   143.819   152.335    66.607   156.484   107.282    94.424    93.525   151.777    36.222    46.682   135.908   212.203   114.052   112.252   235.706   102.735   171.835   101.545   115.667    41.986    80.849    42.200    53.487   100.718   110.498
 5/2022      305.837   385.561   259.180   272.684   123.702   185.566   165.251   184.643   244.137   349.245   236.805   270.020   149.645   303.427   221.452   226.362   130.594   327.470    47.856   117.519   204.058   399.772   172.310   218.062   289.672   289.284   164.272   148.567   155.653    87.321   140.775   128.194   115.498   229.198   222.949
 6/2022      229.857   359.432   318.469   225.983   153.554   116.704   142.691   250.515   129.370   283.155   169.000   331.785    56.338   277.441   160.806   238.322    46.534   149.158    21.571    87.545   101.225   297.863    64.135   128.700   265.503   143.288   181.075   184.391    63.076    73.333   131.641   155.065    97.237   217.719   298.588
 7/2022       68.020   102.068   127.124    60.571    43.606    34.108    55.481    92.706    48.436    77.482    37.646   201.839    29.170    68.076    66.907   109.616    18.263    35.779    14.204    21.648    30.069    90.498    42.127    35.341    70.741    41.202    45.576    49.986    30.654    28.509    30.262    37.813    43.843    92.083   147.858
 8/2022       60.916    49.136    36.541    39.174    47.293    32.721    35.122    47.284    57.655    77.725    32.660    71.884    20.422    59.371    37.024    90.286    18.581    40.403    12.697    18.490    19.743    36.653    49.316    37.181    40.005    21.610    40.296    28.734    16.417    27.964    21.410    20.965    27.570    56.737    53.068
 9/2022       40.871    71.298    47.873    23.678    31.753    26.769    29.305    50.996    40.350    72.068    44.836    40.005    26.974    72.789    22.234    59.121    15.177    19.294    19.106    38.255    39.361    29.737    39.805    31.944    37.257    21.216    39.042    23.918    17.061    60.704    18.701    18.465    23.495    66.076    23.416
10/2022       62.211    96.306    69.016    19.276    25.721    32.398    39.774    19.589    20.346    29.489    29.989    31.934    25.349    65.851    41.659    22.826    27.566    16.334    19.450    16.374    37.397    59.171    95.491    35.509    27.269    22.245    27.988    51.245    12.650    36.569    31.265    14.635    53.529    36.558    43.228
11/2022       30.074    40.176    50.949    35.360    18.530    15.286    28.138    27.579    18.454    22.983    34.383    19.347    22.911    30.821    50.466    14.711    19.295    14.204    20.719    17.361    30.470    25.759    32.872    14.774    22.748    17.541    18.254    23.922    11.470    20.621    14.291    14.440    22.768    25.241    21.401
