segdesc   = MPSC2L_F
2019-06-04
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 3/2021       38.552    23.893    49.924    80.349    35.754    32.692    48.652    32.376    32.511    34.853    37.786    47.425    55.598    45.361    44.980    46.230    38.369    34.390    33.895    24.645    30.864    55.448    28.132    31.352    67.277    20.660    51.964    26.643    35.875    46.616    21.541    25.921    51.212    25.114    27.815
 4/2021       47.224    51.860   111.138   137.478   109.604    74.751   119.263    69.123    61.858    87.547   107.670    90.774    71.245   102.710    94.069    71.832    52.828    88.231    67.772    61.024    60.527   110.402    70.952    98.510    98.953    66.076    85.971    67.123    81.278    95.252    48.181    61.991    87.854    57.401    48.683
 5/2021      167.668   514.619   419.428   356.472   327.577   159.011   197.928   133.708   188.290   219.493   302.162   239.924   220.390   379.126   344.235   221.461   235.038   247.798   267.412    81.925   173.428   234.216   270.899   231.044   246.406   291.759   298.023   129.015   178.137   134.429   114.904   265.135   210.423   117.999   167.185
 6/2021      399.898   736.052   427.766   423.679   305.136   187.778   160.826   190.010   298.340   184.813   438.195   233.272   589.208   328.252   547.149   213.817   375.523   169.069   214.728    57.222   229.757   153.923   305.829   209.473   193.932   524.229   295.530   267.183   465.083    54.989   155.803   354.389   350.552   122.151   318.083
 7/2021      222.343   338.511   136.335   170.799    99.550    73.540    69.318    76.793   137.008    72.556   206.621    74.675   513.211   127.955   198.977   103.579   223.239    54.320    63.510    24.637    67.968    58.350   124.045    79.865    69.787   223.708   153.683    79.454   219.195    28.418    55.674   110.875   105.400    48.393   184.200
 8/2021       85.869   128.722    63.304    67.051    57.204    44.229    51.919    41.132    59.090    56.632    70.944    44.072   137.297    55.243    84.941    50.128    87.068    44.255    48.380    20.052    41.015    37.221    58.488    55.637    49.076    80.027    58.567    47.603    68.509    27.235    39.246    56.170    46.173    31.229    96.222
 9/2021       44.283    73.328    62.526    67.687    44.204    43.006    35.751    34.935    37.560    45.693    59.718    40.351    66.570    43.428    61.410    35.556    48.888    36.106    33.255    22.020    59.294    37.948    38.808    41.733    46.377    48.802    41.098    31.188    41.974    24.295    57.001    50.513    37.427    26.691    78.805
10/2021       37.364    62.552    92.530    72.102    35.500    33.005    33.562    51.415    31.733    31.301    50.691    35.842    59.820    50.420    64.567    41.959    39.135    31.039    29.415    30.080    37.006    35.457    52.872    64.422    42.459    42.730    40.369    31.470    40.615    22.486    51.847    62.286    31.932    27.292    48.991
11/2021       31.813    51.055    53.887    49.653    33.315    25.717    26.882    42.621    29.184    26.394    39.510    32.465    45.570    38.662    45.170    34.469    31.463    27.001    28.788    18.737    26.483    30.847    39.739    42.744    31.692    36.980    37.087    30.573    33.573    19.069    30.620    37.856    29.742    25.229    33.549
12/2021       30.549    44.437    39.173    38.310    30.015    23.559    24.304    30.490    26.678    24.411    34.425    27.976    41.442    34.286    37.197    32.074    29.129    24.273    24.987    16.003    24.690    25.433    30.276    30.971    25.389    33.927    31.166    26.184    30.252    17.811    24.077    30.119    28.115    20.486    29.595
 1/2022       29.253    39.766    33.917    32.475    26.724    21.160    21.819    24.430    23.469    22.239    30.845    24.991    36.182    29.528    33.363    27.730    28.300    21.767    22.135    14.555    21.934    26.076    26.234    27.860    22.079    30.666    27.437    23.195    27.489    16.074    21.137    26.643    25.753    17.743    26.534
 2/2022       22.578    33.084    43.423    29.813    21.931    17.425    18.529    21.265    20.176    20.317    25.163    25.323    32.558    24.085    28.660    26.865    28.056    21.273    18.156    17.414    18.300    22.216    21.181    25.621    18.048    26.228    22.467    19.118    22.768    13.361    20.160    25.964    21.895    14.831    22.236
 3/2022       23.161    49.077    79.651    35.254    32.112    47.477    29.830    30.931    32.736    36.310    45.392    55.798    44.154    45.809    44.420    38.489    32.966    33.123    22.356    28.822    51.735    26.569    29.614    65.665    18.991    50.446    26.567    34.847    44.622    21.137    23.137    48.779    24.278    25.919    35.640
