segdesc   = LEMC2H_F
2020-11-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 8/2022        6.954     7.408     6.106     3.209     5.095     4.630     9.464     4.774     6.481     4.351     4.431     3.767     3.488     6.392     1.729     5.644     3.224    12.662     1.885     5.190     0.528     1.917     1.852     4.414     3.422     5.783     3.164     1.655     3.343     2.440     1.345     1.973     3.146     2.349     3.346
 9/2022        6.956     2.497     4.154     3.764     4.668     2.582     6.539     1.860     4.232     8.417     3.293     3.757     3.425     3.258     2.165     7.397     2.614     6.649     1.429     1.971     1.661     3.555     1.745     4.293     3.413     2.824     3.428     1.688     1.951     1.812     1.001     5.562     2.869     1.905     1.627
10/2022        4.092     3.542     3.254     4.102     5.209     1.956     4.365     2.232     4.292     2.514     1.796     1.978     1.799     2.070     2.308     5.942     1.853     2.299     1.468     1.414     1.079     1.406     2.504     6.115     7.972     1.797     2.225     1.600     2.416     3.074     0.857     2.620     3.714     1.172     4.319
11/2022        1.952     1.755     1.706     2.275     2.402     2.200     2.187     1.325     2.581     1.625     1.348     1.412     1.500     1.410     1.133     2.350     1.910     1.453     1.286     1.117     0.651     0.970     1.972     3.150     2.593     1.086     1.556     1.195     1.430     1.654     0.699     1.264     1.966     1.091     1.885
12/2022        1.338     1.293     1.293     1.415     1.506     1.378     1.299     0.999     1.475     1.228     1.074     1.170     1.072     1.202     0.891     1.471     1.446     1.207     0.834     0.975     0.461     0.814     1.225     1.628     1.342     1.020     1.137     0.860     0.922     1.052     0.611     0.857     1.158     0.910     1.081
 1/2023        1.064     1.069     1.046     1.172     1.143     1.053     1.005     0.819     1.046     0.972     0.882     0.986     0.858     1.022     0.673     1.156     1.039     1.027     0.659     0.827     0.363     0.635     1.252     1.216     0.995     0.791     0.932     0.703     0.745     0.869     0.523     0.670     0.903     0.820     0.792
 2/2023        0.817     0.824     0.817     1.178     1.069     0.800     0.761     0.630     0.853     0.775     0.678     0.773     0.813     1.086     0.502     0.885     0.902     0.860     0.504     0.646     0.360     0.480     0.970     0.932     0.847     0.596     0.761     0.539     0.578     0.647     0.429     0.638     1.037     0.646     0.593
 3/2023        1.124     1.052     1.841     3.004     1.302     1.378     2.920     1.250     0.904     1.289     1.178     1.773     2.374     1.415     2.132     1.668     1.730     1.248     1.097     0.828     0.835     2.721     1.456     1.276     3.551     0.771     1.906     0.560     1.243     1.915     0.668     1.133     2.110     0.911     0.756
 4/2023        1.879     3.366     8.686     9.350    10.848     4.135    13.895     4.712     3.318    10.179     5.264     5.654     4.955     2.928     5.959     3.822     3.088     6.161     6.110     2.219     2.389     9.808     7.993     5.209     6.281     3.312     3.382     2.805     3.380     7.287     1.868     4.068     2.642     3.724     2.067
 5/2023       17.000    29.728    30.631    25.399    33.997    12.222    19.308    15.029    14.857    27.661    29.038    23.062    17.433    13.362    28.310    21.968    18.278    16.187    32.420     3.731    12.502    26.396    30.400    15.578    21.315    20.457    24.767    10.022    12.918    16.266     7.713    14.615    11.673    11.614    16.071
