segdesc   = DRGC2H_F
2021-04-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1/2023,14.825,14.251,16.724,16.949,16.605,14.779,9.932,10.166,10.096,12.410,11.231,14.990,11.895,15.259,11.500,15.960,13.839,13.321,11.471,11.254,7.560,9.042,15.970,14.835,10.904,13.028,13.596,9.950,10.753,13.813,8.249,8.614,12.293,11.222,8.766
2/2023,12.130,11.664,12.913,16.317,20.500,12.166,8.151,8.463,8.946,10.498,9.358,12.650,12.269,15.943,9.113,13.208,12.522,11.775,9.276,9.463,7.164,7.420,13.402,12.650,10.812,10.083,12.286,8.305,8.585,11.025,6.913,8.735,14.483,9.287,7.217
3/2023,16.328,15.165,25.021,35.580,31.543,17.863,18.766,13.925,10.513,17.137,16.265,22.321,33.602,20.387,30.291,22.800,18.480,16.090,14.925,11.994,11.865,20.801,26.267,17.058,35.582,13.075,22.810,8.887,15.047,22.604,10.267,13.233,23.114,11.887,9.183
4/2023,30.067,33.853,94.402,94.617,101.294,33.926,70.773,33.557,30.866,65.703,60.859,48.585,49.390,40.036,67.037,48.709,30.429,53.637,49.885,22.530,21.597,68.482,90.848,47.880,59.424,43.053,36.087,30.183,33.566,55.087,23.461,37.363,31.776,25.070,19.520
5/2023,134.707,208.068,225.616,187.244,207.035,90.748,120.998,87.521,97.382,144.421,218.963,157.853,138.535,150.041,198.851,150.038,148.943,127.857,196.925,47.319,82.213,157.126,219.288,119.924,154.466,173.301,188.555,77.576,122.066,99.476,49.042,119.538,97.401,67.764,123.102
6/2023,248.956,240.641,260.444,243.895,189.172,142.738,93.201,109.192,172.929,114.935,234.870,131.863,255.934,98.246,262.969,127.202,206.802,74.811,124.169,31.128,85.397,97.051,231.606,82.940,130.264,226.953,126.164,121.842,234.995,53.960,47.158,162.496,206.713,96.512,189.129
7/2023,144.298,110.260,92.664,141.529,76.389,57.585,37.848,50.035,92.291,54.789,89.748,39.988,181.652,40.185,80.156,64.132,135.531,25.514,41.334,13.597,26.509,36.776,95.062,37.640,50.741,69.305,52.266,42.161,100.367,21.594,21.191,47.654,78.020,48.507,110.811
8/2023,46.702,65.549,37.545,46.355,46.576,34.290,29.858,31.441,30.714,38.713,38.783,21.227,57.599,21.070,69.563,27.859,91.821,20.250,34.459,9.744,18.021,20.703,42.147,28.540,40.441,31.430,22.764,31.658,32.112,15.478,24.215,26.197,29.505,25.405,76.469
9/2023,23.986,37.130,44.766,49.368,31.471,25.594,17.741,20.332,42.280,25.838,40.486,29.408,31.606,19.032,58.224,22.035,60.047,19.168,18.762,20.126,26.884,30.312,22.385,23.746,36.993,33.759,16.747,16.345,21.988,12.027,36.880,31.997,18.711,14.159,69.971
10/2023,26.239,30.230,46.644,50.604,20.625,24.253,20.216,27.706,20.388,17.331,23.640,21.769,28.363,26.855,50.569,20.716,25.105,19.885,15.675,16.327,15.330,29.252,33.732,69.348,40.187,21.257,16.348,19.392,26.836,11.152,28.657,41.474,13.684,23.790,36.554
