segdesc   = CLSC2L_F
2018-10-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 7/2020      247.584   363.359   146.198   183.013   108.499    77.176    71.340    80.601   146.873    78.689   218.484    78.274   550.870   135.214   215.830   113.543   243.913    55.888    66.474    24.409    69.674    62.510   132.169    83.901    78.640   241.417   164.689    85.480   239.008    29.580    57.132   117.434   112.519    51.584   201.285
 8/2020       93.164   140.555    67.713    71.321    62.122    46.149    53.274    42.518    61.935    60.852    75.758    45.808   146.830    58.707    92.103    54.393    96.261    45.420    50.551    19.965    42.221    39.414    62.004    59.807    53.497    86.789    62.473    52.911    74.335    29.524    40.644    62.279    48.391    32.129   103.861
 9/2020       48.728    81.942    71.609    76.092    48.637    47.923    38.192    37.165    40.929    49.126    64.720    44.356    73.537    48.750    69.682    39.813    55.082    38.633    36.049    24.184    64.783    45.645    41.803    46.014    55.477    54.832    45.063    34.224    47.278    26.654    61.706    58.601    39.935    28.425    86.690
10/2020       41.243    73.184   101.528    78.374    39.414    36.116    36.638    55.890    34.570    34.104    55.636    39.143    67.019    59.408    76.363    47.338    43.306    34.154    32.058    33.733    39.929    41.504    58.859    77.410    51.573    48.332    44.487    34.845    46.447    24.801    57.285    71.625    34.446    29.300    53.458
11/2020       35.086    57.584    59.171    54.426    37.693    27.736    29.222    46.146    31.792    28.733    43.428    35.219    50.310    43.682    51.923    39.389    34.998    29.371    31.144    20.490    28.738    36.113    43.135    48.328    37.741    41.862    41.051    34.020    38.058    21.124    33.790    42.726    32.475    27.628    36.660
12/2020       33.608    49.411    43.313    41.964    33.523    25.356    26.222    32.778    29.076    26.611    37.960    30.311    45.729    38.296    41.926    36.292    32.364    26.315    26.958    17.305    26.796    28.607    32.825    34.526    29.353    38.230    34.257    29.066    34.089    19.747    26.104    33.497    30.683    22.346    32.275
 1/2021       32.140    44.139    37.603    35.465    29.818    22.815    23.512    26.245    25.588    24.240    34.063    27.140    39.966    33.089    37.613    31.645    31.424    23.547    23.924    15.716    23.734    29.192    28.471    30.936    25.515    34.605    30.168    25.723    31.118    17.855    22.741    29.476    28.025    19.073    29.018
 2/2021       24.999    36.784    47.920    32.923    24.569    18.880    20.179    23.039    22.203    22.150    27.848    27.984    36.347    26.883    32.324    30.970    31.201    23.217    19.652    19.044    19.813    24.916    23.065    29.082    20.819    30.353    24.738    21.091    25.979    14.849    22.947    29.618    24.089    16.044    24.500
 3/2021       25.899    55.048    89.829    39.889    36.855    54.136    33.048    34.521    38.770    41.429    51.230    62.954    50.394    54.643    52.305    44.948    38.009    36.753    24.915    32.990    60.466    30.407    33.355    80.527    23.571    60.073    30.146    40.652    53.195    24.060    26.716    56.802    27.397    28.965    39.511
 4/2021       59.810   125.557   155.643   131.629    83.836   136.871    76.627    66.829   100.804   120.145    99.486    79.271   116.910   115.891    83.635    62.010   100.481    76.447    66.196    67.441   128.312    80.191   109.463   121.018    83.423   101.561    78.118    94.759   111.961    54.943    64.716    96.847    66.680    51.415    48.022
 5/2021      601.337   480.155   399.826   385.622   182.405   222.530   144.671   216.316   250.391   348.854   260.975   256.845   430.703   419.630   261.468   283.485   278.132   304.323    84.434   195.425   267.583   312.550   257.699   304.227   352.835   340.563   145.687   223.627   151.383   127.377   278.109   240.243   128.223   190.834   178.245
