segdesc   = NVRN5L_F
2018-04-30
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 2/2020       30.420    23.447    39.595    66.320    45.630    23.604    22.973    16.783    25.277    30.313    32.336    31.315    49.884    33.984    23.119    28.260    29.082    21.749    20.059    17.240    13.899    21.575    88.609    21.806    39.403    25.169    36.514    14.863    25.250    24.595    18.898    23.247    31.914    15.784    17.340
 3/2020       80.264    77.041   189.892   144.925   117.573    57.099    89.399    40.600    63.894    92.075   172.019    74.438   210.657    43.573   146.334    73.593    53.580    45.368    68.645    26.674    40.277    95.376   144.652    41.561   127.515   113.285    73.729    54.257    56.127    66.792    36.076    55.184    64.889    29.544    77.415
 4/2020      139.440   136.193   307.285   313.030   242.483    95.056   204.724   117.249   115.512   229.876   284.609   176.289   182.848    78.611   191.450   135.952   112.072   118.976   180.975    44.551    53.789   193.825   262.635   140.893   138.355   266.693   118.391   186.622   119.240   140.392    49.544   100.317    56.491    70.152   119.412
 5/2020      284.801   384.876   471.041   323.752   349.243   144.085   230.605   204.310   228.439   307.522   435.958   295.095   319.846   182.598   380.750   279.331   273.190   164.799   417.131    51.626   143.704   273.718   497.646   205.460   270.580   356.381   355.384   181.852   179.863   187.016    90.476   181.355   160.652   137.557   274.626
 6/2020      395.547   310.094   482.023   418.761   321.812   199.281   137.919   176.149   312.044   153.871   376.039   195.802   438.265    51.806   382.747   186.449   315.975    43.231   177.885    24.164    87.178   117.746   398.248    59.437   141.828   338.180   160.840   203.720   240.960    58.809    76.265   163.948   208.110   110.214   278.755
 7/2020      179.908    75.232   113.259   149.290    64.103    39.073    21.701    57.154    92.223    43.976    87.087    23.983   245.545     8.194    74.026    60.687   137.784     0.000    22.269    17.544     3.475    16.046   103.026    28.957    20.937    71.849    25.735    29.379    43.854    10.584    31.302    17.089    36.166    37.875    94.765
 8/2020       53.448    64.200    41.436    34.900    36.146    56.371    26.308    35.610    38.451    53.839    76.098    20.338    71.917     3.629    62.021    25.719   121.765     1.832    40.142    16.051    21.487     5.036    34.779    35.625    37.836    29.626     6.120    36.809    14.400    18.062    30.792    11.607     8.382    25.801    64.749
 9/2020       21.000    42.773    74.748    57.463    18.257    36.435    17.958    30.997    69.374    38.478    76.463    42.033    39.673    27.350    91.129    15.180    75.088     8.299    11.346    24.309    41.976    36.979    28.631    37.110    29.449    35.213    11.001    40.638    14.805    19.700    77.677    18.839    10.224    26.162    83.351
10/2020       50.803    69.963   110.529    88.963    20.607    32.559    34.320    48.660    22.184    20.124    33.186    31.627    31.141    29.392    80.361    48.418    25.975    31.822    14.825    22.370    18.645    43.819    75.624   126.616    37.791    28.698    23.078    31.410    56.540    15.460    42.275    39.152    13.367    63.720    45.893
11/2020       30.660    40.837    53.786    71.834    48.158    28.164    22.049    39.427    38.093    26.788    33.013    45.424    27.745    30.960    42.396    62.687    23.262    26.475    21.053    24.959    22.487    40.886    39.426    45.568    21.722    31.337    23.957    24.720    31.503    15.561    28.225    24.103    21.311    30.167    38.695
12/2020       26.102    43.808    35.946    38.729    26.912    21.735    18.116    23.628    24.558    22.799    28.924    31.132    25.199    28.664    29.588    38.465    21.532    17.899    20.589    14.259    20.768    26.745    27.465    26.060    45.907    26.679    19.418    28.365    22.946    14.950    19.716    19.989    21.272    17.981    28.833
