segdesc   = GLDA3L_F
2020-08-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 4/2022      763.721   877.285  1742.007  2287.342  1071.377   717.872  1110.249   690.366   532.771  1029.485  1493.993   948.888   813.331  1014.837  1419.057  1100.339   617.792   748.533   727.416   488.834   534.256  1389.842  1340.711  1123.632  1067.552   772.825   818.637   766.684  1113.680  1053.557   349.360   620.458   647.453   457.711   551.846
 5/2022     2204.457  4076.752  4052.589  3487.912  2839.241  1198.933  1463.132   757.414  1162.917  1893.743  3397.962  2007.650  2264.051  3021.059  3875.250  2697.118  1922.624  1858.758  2115.368   248.341  1252.328  1715.841  2801.967  2393.112  2021.118  2198.884  2584.232   936.923  2297.664  1215.193   663.498  1723.691  1264.330   800.965  1680.078
 6/2022     6227.815  6349.219  3814.410  4618.736  1919.817  1988.706  1258.675  1602.746  2728.211  1326.086  4900.088  1725.137  5045.931  3021.413  5235.271  2737.378  3527.637  1511.132  1652.721   355.214  2400.790  1098.529  3894.790  2151.260  1361.368  4120.482  2805.202  2687.554  5476.318   432.351  1121.461  3257.364  2439.324  1198.731  3300.899
 7/2022     3567.858  2629.083  1217.602  1853.481   644.042   649.972   565.208   756.915  1136.373   496.345  2117.506   434.554  4252.527  1281.644  1955.246  1549.717  1986.816   350.257   407.057    90.796   631.718   499.489  1736.664   580.764   436.876  2082.260  1656.677   966.404  3930.975   170.459   313.857  1052.374   901.407   403.875  2293.120
 8/2022     1110.132  1045.952   543.606   620.027   447.149   333.442   413.192   332.482   460.664   355.158   802.240   285.045  1208.517   459.175   971.080   648.887   872.091   234.304   319.971   114.479   294.647   287.650   613.067   412.484   373.806   645.337   560.546   497.616   976.895   211.939   316.375   494.710   378.211   240.646   921.148
 9/2022      613.767   686.772   552.498   654.691   397.736   385.358   290.427   286.553   477.713   377.535   716.739   367.421   614.144   438.381   814.994   477.144   601.539   305.480   274.329   287.930   484.641   372.865   451.005   421.200   392.493   489.401   383.906   334.953   599.850   224.934   506.297   472.358   338.461   282.681   745.656
10/2022      685.136   771.462   864.684   864.374   372.256   356.961   345.030   406.730   348.272   301.067   619.075   460.127   615.568   555.507   973.262   554.010   426.285   428.943   277.570   321.762   333.875   488.422   627.138  1127.499   540.473   449.498   408.858   456.349   643.581   261.795   576.093   658.394   322.584   439.987   763.305
11/2022      628.732   662.543   702.829   800.127   573.138   360.154   343.597   472.149   446.746   362.852   611.919   494.325   557.396   563.377   666.701   655.127   416.444   411.777   354.818   319.135   360.615   639.187   598.175   640.348   487.430   471.361   477.617   477.945   618.729   318.310   487.558   499.539   382.458   440.986   589.632
12/2022      566.849   602.873   557.203   604.388   421.768   340.672   324.573   375.398   392.709   334.202   514.941   425.617   551.412   604.634   547.917   553.549   404.566   331.338   342.959   266.138   350.454   417.012   484.105   481.219   456.893   471.251   434.534   458.999   545.035   315.904   360.358   417.158   359.738   349.969   514.803
 1/2023      511.681   577.361   463.640   478.926   366.545   312.153   305.168   301.212   342.657   454.859   464.885   396.719   477.053   518.111   489.049   440.454   385.138   315.506   304.431   234.508   314.521   607.987   442.251   415.230   373.807   445.293   398.895   413.976   496.371   292.116   284.138   372.754   352.908   329.853   433.678
