segdesc   = CLSC2L_F
2021-03-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
12/2022,33.702,32.740,50.082,40.808,42.136,32.312,24.375,26.132,32.524,30.278,27.100,38.279,28.366,45.801,37.839,41.155,33.650,32.213,26.317,27.345,17.425,27.766,28.815,32.768,33.963,29.110,38.260,31.600,28.253,34.340,18.112,26.668,34.512,30.031,22.751
1/2023,30.342,31.663,44.719,35.177,35.309,28.680,21.908,23.398,25.751,26.618,24.666,34.320,25.314,39.917,32.552,36.828,29.108,31.120,23.540,24.224,15.648,24.612,29.250,28.302,30.302,25.209,34.622,27.698,25.108,31.360,16.359,23.133,30.276,27.861,19.382
2/2023,25.574,24.510,37.146,44.035,32.777,23.609,18.032,19.966,22.468,22.950,22.356,28.051,25.922,35.959,26.446,31.538,28.697,30.936,23.033,19.882,19.139,20.368,24.877,22.902,28.411,20.564,30.003,22.799,20.453,26.083,13.628,23.019,30.332,23.279,16.202
3/2023,40.792,25.265,54.855,84.500,39.792,34.973,51.613,32.102,33.691,38.985,39.710,50.713,60.107,49.645,52.177,50.173,41.421,37.126,36.033,24.587,32.374,59.603,30.303,32.680,78.679,22.487,59.219,27.399,39.223,51.399,21.744,27.088,55.111,26.945,28.724
4/2023,49.268,57.524,121.833,151.675,120.935,80.546,133.854,74.639,65.313,97.003,117.224,98.209,73.166,114.504,112.752,80.607,57.177,95.092,72.450,65.699,65.547,126.785,77.758,105.620,114.046,79.749,97.921,72.561,91.875,111.549,51.962,63.812,97.765,62.549,49.918
5/2023,180.488,566.683,468.193,388.369,388.320,174.968,216.106,140.762,205.693,247.785,337.195,252.287,246.151,423.063,407.079,251.571,267.845,273.878,297.930,82.433,183.707,266.565,299.683,253.192,301.507,336.812,332.983,134.347,212.028,151.125,122.047,263.110,235.089,124.315,182.722
6/2023,466.299,837.283,489.049,465.225,341.455,209.800,177.371,212.445,331.386,216.463,480.496,266.735,643.030,358.447,614.944,256.365,427.805,190.648,241.193,65.225,255.851,175.349,346.725,238.006,235.460,595.624,325.411,310.216,526.509,64.015,166.998,404.864,388.737,135.896,352.698
7/2023,256.961,377.533,150.525,196.851,113.785,82.368,72.498,84.435,151.455,81.055,227.687,83.965,564.962,140.301,225.731,120.277,252.454,57.548,69.113,24.993,72.182,63.502,138.491,86.475,80.570,253.009,172.538,91.313,249.162,29.658,58.170,123.263,117.420,52.833,208.396
8/2023,95.803,143.753,69.259,74.448,62.860,47.020,54.123,43.454,63.011,61.203,76.778,47.038,152.244,59.448,95.238,56.489,99.289,45.765,51.366,20.528,42.695,39.744,63.330,60.432,54.202,89.171,63.799,53.875,76.245,29.448,42.255,64.028,49.819,33.070,105.431
9/2023,49.506,83.480,70.860,74.411,49.843,48.783,38.267,35.924,41.215,51.063,65.505,44.877,74.232,48.741,70.664,40.426,55.987,39.550,36.955,24.149,64.794,44.994,41.725,45.163,55.264,55.466,45.473,34.648,47.743,26.644,60.936,57.631,40.985,29.093,88.701
