segdesc   = YDLC2L_F
2018-04-30
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 2/2020       24.364    19.868    28.865    70.179    41.800    15.061    17.632    17.196    19.136    19.141    16.094    23.650    34.658    33.301    33.604    30.729    39.175    33.833    18.081    16.879    21.678    21.961    30.096    19.766    30.523    17.367    27.531    20.344    19.545    27.835    12.287    24.322    45.196    21.286    26.133
 3/2020       71.537    35.348    64.459   239.579    56.785    30.846    92.580    63.428    49.613    60.314    65.577    81.341    89.241    78.516   112.803    92.923    94.615    57.561    56.245    35.872    62.206   116.373    46.230    48.889   145.923    35.185   107.689    36.221    84.273    88.957    41.518    62.864    92.599    40.108    75.008
 4/2020      112.826   231.152   342.078   493.721   176.759   171.276   252.698   175.210   127.896   145.347   239.704   179.813   117.564   340.953   299.427   248.540   228.957   194.687   162.925   124.012   206.081   254.358   171.398   339.867   192.116   137.090   268.722   164.523   407.665   174.855   115.643   225.705   115.495    91.656   177.680
 5/2020      477.687  1190.947   805.519   633.848   339.101   466.299   312.244   249.872   437.039   338.003   723.090   411.013   669.391   768.013   938.028   689.428   547.295   488.998   419.051   150.985   540.512   391.683   575.298   662.037   434.899   669.951   719.765   418.676   930.864   218.419   369.752   639.726   337.690   286.650   543.509
 6/2020      823.346  1024.452   454.222   523.138   105.766   441.535   200.728   357.636   407.005   178.988   704.960   221.159   886.502   563.476   833.146   507.950   560.037   311.317   242.406   139.183   491.590   200.963   541.530   349.578   181.443   780.679   546.577   639.326  1277.663    73.961   207.462   530.791   313.519   163.478   601.456
 7/2020      255.460   224.711    88.980   101.274    26.425    59.202    39.746    64.084    69.887    38.113   174.386    42.780   327.703   110.302   153.168   158.293   127.505    39.298    35.148    19.342    74.248    39.361   115.330    50.471    33.787   186.509   117.671   100.722   453.606    19.318    28.027    73.009    47.028    24.959   187.353
 8/2020       38.974    46.245    33.802    28.908    16.704    17.253    19.461    17.141    18.894    14.658    32.007    17.494    41.702    27.653    40.705    35.109    27.828    16.294    15.821    11.284    18.724    16.028    23.268    20.398    16.438    31.191    28.064    23.717    53.944    14.914    14.078    32.147    15.580    10.586    29.288
 9/2020       14.744    27.822    20.753    21.750     9.563    16.322    10.226     8.363    12.171     7.434    17.601     9.820    15.847    16.070   104.754    17.112    15.132    22.591     8.952     5.805    14.647    16.284    14.078    33.415    19.483    18.056    15.549    11.752    29.259     8.376    17.437    27.487     8.392     5.681    20.583
10/2020       33.858    34.952    49.221    53.332    12.463    15.147    12.188    25.532    13.005     9.993    35.668    25.915    37.462    23.518    81.587    41.499    18.267    32.752    13.571    14.392    14.348    29.697    30.259    51.781    41.183    19.670    27.308    20.687    32.607    12.202    46.648    30.273    11.670    37.990    26.711
11/2020       34.777    51.314    46.084    51.383    22.631    20.696    20.402    36.836    23.284    21.125    32.870    26.552    40.398    56.179    40.234    41.681    23.721    22.199    20.182    18.222    23.774    39.696    31.480    51.341    34.070    27.689    37.356    51.070    33.169    20.941    47.366    28.200    22.529    35.009    33.227
