segdesc   = GLDA3L_F
2021-04-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
12/2022,513.850,542.255,568.479,513.773,579.691,385.213,318.977,310.916,355.651,392.264,321.437,504.120,363.378,549.080,572.966,528.159,509.812,379.810,326.604,329.963,249.157,353.952,403.611,474.596,438.384,435.725,462.046,396.022,440.190,530.961,268.764,350.842,417.533,337.885,350.839
1/2023,435.605,488.743,544.429,427.933,457.638,335.504,292.517,293.292,284.806,342.239,442.240,456.254,341.556,474.619,489.607,472.759,402.694,361.868,311.123,293.490,218.968,317.612,593.545,435.484,375.304,354.584,436.552,365.715,397.187,483.965,250.402,280.738,372.966,333.093,330.534
2/2023,391.144,401.857,425.799,498.076,465.298,312.268,281.577,255.543,262.019,347.928,521.734,400.694,346.238,440.010,426.485,439.761,382.644,364.549,284.048,236.434,234.787,275.953,557.658,358.995,364.596,318.840,403.019,382.578,344.467,413.409,251.581,262.577,421.050,264.053,273.767
3/2023,752.260,485.274,730.052,1224.080,704.898,426.323,602.302,377.885,409.501,576.892,625.213,648.800,999.513,628.739,817.601,568.615,516.282,484.291,473.754,274.387,410.376,602.842,771.005,473.860,807.187,422.910,661.533,519.683,515.688,588.739,320.192,420.478,634.098,387.951,504.896
4/2023,758.422,867.103,1751.204,2296.909,1070.770,714.807,1092.468,676.745,515.017,1022.805,1478.911,939.865,808.608,1004.052,1436.458,1090.944,619.584,744.490,741.945,470.043,521.657,1362.685,1327.631,1113.007,1061.292,755.786,807.072,754.006,1104.130,1051.001,356.386,596.651,644.165,447.588,547.383
5/2023,2200.969,4066.111,4071.254,3507.917,2843.544,1199.736,1452.225,747.712,1143.748,1889.404,3384.672,2000.192,2258.814,3008.962,3925.085,2687.813,1927.220,1861.175,2145.765,233.889,1244.305,1694.070,2789.593,2384.095,2017.265,2176.725,2570.041,928.964,2291.630,1216.610,679.722,1697.147,1261.576,792.464,1682.918
6/2023,6238.110,6345.346,3826.452,4631.427,1922.799,1993.374,1253.022,1596.143,2719.540,1324.992,4904.497,1723.823,5053.811,3016.493,5267.292,2733.566,3533.813,1515.731,1670.424,346.494,2394.693,1087.656,3887.606,2149.691,1360.973,4102.446,2793.128,2685.504,5482.048,433.081,1138.288,3237.163,2427.951,1193.699,3311.983
7/2023,3570.388,2630.104,1222.854,1859.556,645.547,652.359,561.026,753.005,1131.939,494.648,2120.340,432.770,4257.869,1280.468,1965.463,1548.382,1990.981,350.577,413.338,84.671,629.350,493.094,1734.266,580.182,435.251,2073.164,1654.089,963.537,3934.601,169.303,319.035,1046.180,899.970,399.791,2297.671
8/2023,1110.992,1045.945,546.806,623.643,447.425,333.610,408.660,328.347,456.077,352.646,802.415,282.354,1209.454,457.461,976.831,648.213,874.621,233.259,324.258,108.697,292.245,281.917,611.953,411.352,371.453,641.730,557.881,495.399,978.253,210.562,318.652,489.763,376.630,236.142,922.352
9/2023,614.041,686.558,554.640,657.269,397.613,385.067,286.394,282.462,472.996,375.015,715.700,364.593,614.006,436.085,820.671,478.083,603.171,304.467,277.946,281.445,482.090,367.033,449.174,419.644,390.245,485.723,381.107,332.012,600.382,223.500,509.999,466.416,336.360,278.892,746.113
