segdesc   = GJNC2L_F
2021-02-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
11/2022,60.704,62.597,75.446,79.091,80.149,57.324,46.343,44.329,46.850,50.041,55.109,68.354,48.578,62.077,56.616,71.625,56.007,46.920,44.195,45.525,43.698,44.737,63.849,66.083,70.901,59.913,54.918,49.810,52.664,55.933,39.276,54.144,52.022,46.819,52.651
12/2022,44.831,53.079,57.330,57.742,56.335,46.033,38.351,36.102,35.233,41.064,43.459,56.117,39.300,52.393,50.328,54.522,48.171,39.281,35.490,36.797,33.867,38.003,45.186,50.783,46.593,44.632,46.418,40.350,50.173,46.056,32.610,39.909,40.089,38.526,38.705
1/2023,38.148,45.329,49.552,48.110,45.218,38.206,32.705,30.895,28.706,34.472,37.699,49.094,33.986,45.083,39.684,46.420,40.166,35.003,30.559,31.346,27.574,32.496,51.732,44.632,38.873,36.852,40.895,34.258,43.246,40.274,27.926,33.526,34.061,34.622,31.647
2/2023,34.026,37.204,41.669,58.655,47.132,31.753,28.030,25.940,25.076,29.420,37.031,41.012,37.323,49.021,33.972,41.058,38.341,36.344,27.531,26.141,25.759,27.533,43.980,37.202,40.044,31.920,38.916,28.343,33.428,34.347,24.335,32.871,33.730,28.650,26.952
3/2023,68.316,46.699,73.615,123.849,63.509,46.069,64.105,38.165,40.089,57.114,70.330,67.863,81.289,60.494,65.459,58.303,50.730,44.065,39.867,31.834,37.720,67.614,57.009,49.693,112.944,40.461,68.162,33.481,53.676,56.915,35.913,44.262,49.709,35.585,50.539
4/2023,125.019,120.696,268.599,274.928,167.610,92.132,145.045,80.689,79.949,164.195,222.201,142.160,123.906,121.323,154.056,142.320,78.619,88.767,78.164,76.830,75.966,168.152,217.965,173.277,174.309,93.388,126.964,94.860,136.702,121.008,65.424,98.355,81.033,88.618,86.270
5/2023,393.456,527.136,504.511,369.455,295.315,160.929,156.982,94.055,164.490,241.439,595.143,232.573,405.676,262.532,451.943,337.256,206.432,171.425,210.828,70.318,189.777,223.413,467.609,243.518,226.229,384.087,327.677,189.911,308.364,115.676,129.667,227.673,153.727,106.910,214.681
6/2023,494.389,510.705,309.499,252.494,146.293,128.902,83.562,73.176,167.251,124.923,448.628,137.526,484.316,132.746,372.048,224.091,211.307,78.140,110.430,30.286,170.302,84.297,302.771,123.798,113.770,391.507,159.889,206.174,367.274,27.403,80.367,200.869,140.477,65.579,203.800
7/2023,200.801,167.456,87.533,93.433,51.960,39.789,26.598,23.802,62.780,45.421,152.278,35.246,279.981,41.229,107.653,80.860,95.811,17.667,23.800,11.917,31.198,25.345,94.830,32.836,34.670,123.821,73.889,45.657,132.295,16.147,21.378,42.125,38.450,20.631,103.871
8/2023,78.652,85.494,50.251,44.732,42.763,29.667,28.011,24.822,31.897,40.379,61.699,31.021,83.662,30.771,68.634,42.922,55.063,24.094,29.574,18.904,24.327,27.991,51.380,39.505,33.470,55.413,37.181,42.105,47.764,24.634,30.808,38.824,25.621,23.797,51.265
9/2023,63.139,78.374,71.268,71.471,54.866,61.013,42.965,38.291,51.050,52.112,71.820,51.182,66.885,50.363,76.551,52.842,58.817,43.285,43.421,38.887,55.641,59.436,58.199,55.220,64.062,58.975,48.978,47.422,55.960,40.243,60.166,54.445,40.448,38.961,74.833
10/2023,71.929,99.914,128.097,117.137,62.521,64.199,56.742,56.746,57.377,59.991,89.036,64.780,85.108,70.690,107.869,65.914,61.716,56.023,54.811,57.288,58.875,75.930,86.224,116.652,87.168,68.688,62.066,60.296,69.729,52.431,84.793,76.992,53.031,68.178,76.435
11/2023,63.277,76.773,81.769,83.420,59.035,48.431,45.572,48.508,49.322,55.964,68.884,53.157,62.517,59.005,72.609,59.553,48.130,45.141,45.758,44.350,45.000,64.014,66.967,76.048,60.744,55.750,52.438,54.190,56.568,41.615,54.895,52.925,48.140,53.041,60.668
12/2023,53.708,58.453,60.208,59.092,47.592,40.316,37.264,36.592,40.407,44.230,56.603,43.459,52.807,52.550,55.421,51.621,40.418,36.375,37.023,34.578,38.251,45.290,51.582,50.228,45.397,47.199,42.810,51.070,46.640,34.823,40.561,40.645,39.770,39.033,44.810
1/2024,45.895,50.560,50.294,46.962,39.599,34.497,31.955,29.795,33.881,38.397,49.533,37.731,45.458,41.536,47.229,42.947,36.063,31.374,31.545,28.073,32.719,51.819,45.360,41.921,37.546,41.608,36.496,44.946,40.805,29.946,34.116,34.514,35.744,31.937,37.952
2/2024,38.915,44.075,64.299,50.411,34.074,30.690,27.755,26.811,29.982,38.954,42.774,41.968,51.556,36.656,43.188,42.190,38.697,29.363,27.219,27.058,28.836,45.662,39.150,44.250,33.700,41.447,31.193,35.497,36.010,26.867,34.898,35.184,30.913,28.380,35.020
3/2024,47.776,76.304,131.567,65.424,48.306,68.147,40.362,41.146,59.594,76.046,69.222,86.493,60.552,70.364,60.904,53.708,45.592,41.349,32.577,38.159,69.289,57.986,51.092,118.041,41.765,69.055,35.961,54.754,59.587,38.496,44.731,50.411,36.682,52.588,68.285
4/2024,124.563,282.104,277.957,170.360,96.263,151.106,82.575,81.865,165.951,232.514,147.097,129.078,127.369,162.433,148.468,81.842,95.143,84.011,78.222,76.809,174.370,226.739,182.093,178.125,95.678,133.936,101.860,139.419,124.529,69.631,102.961,81.723,94.152,88.571,125.318
5/2024,545.141,510.102,376.979,297.508,166.128,159.574,98.108,166.639,241.421,610.032,233.392,412.433,261.123,460.176,342.874,210.787,172.100,214.315,70.353,191.101,222.554,475.255,243.547,228.804,402.588,330.830,200.680,311.281,112.833,135.964,237.160,153.893,107.644,221.369,394.269
6/2024,504.721,301.378,249.709,147.863,126.601,82.248,72.097,168.848,121.362,437.020,135.151,487.683,132.851,370.880,219.989,213.850,75.041,106.434,29.388,171.052,81.182,294.754,118.917,115.870,385.474,159.143,200.496,369.025,26.813,78.372,194.472,141.022,63.816,201.665,494.927
7/2024,162.711,85.361,92.245,53.618,38.966,26.670,23.693,64.139,44.776,146.422,34.330,282.445,39.849,104.567,78.497,97.941,17.795,23.506,12.050,31.547,25.113,91.666,32.641,36.897,118.894,71.010,45.093,133.492,16.418,22.870,40.961,39.409,21.090,101.049,201.573
8/2024,85.372,50.588,45.582,44.084,30.678,28.706,25.472,32.681,40.640,62.032,31.601,85.411,31.161,69.052,43.175,56.747,25.039,30.272,19.205,24.851,28.411,51.346,40.573,35.115,55.048,37.386,43.140,48.608,25.138,31.061,39.634,26.220,24.167,52.278,79.225
9/2024,77.946,72.628,75.305,55.873,62.163,43.878,38.677,51.702,51.917,71.741,51.745,68.211,51.007,78.146,53.327,60.125,43.809,43.907,39.331,56.150,60.717,58.472,56.132,65.536,59.368,49.544,48.401,56.520,40.799,62.054,54.123,40.948,39.281,75.085,63.473
10/2024,100.039,128.292,115.641,63.335,64.348,57.446,57.953,57.883,59.961,89.363,65.110,86.361,70.786,107.527,66.509,62.846,56.484,55.254,57.368,59.191,76.022,86.402,116.920,88.545,69.064,62.489,61.450,70.139,52.735,84.394,77.475,53.367,69.182,75.144,72.079
11/2024,76.302,80.568,83.058,59.672,48.864,45.992,48.530,49.656,55.989,68.566,53.057,63.401,59.398,72.295,59.677,49.010,45.387,45.974,44.333,45.137,63.321,66.451,74.963,61.727,55.802,52.630,54.740,56.797,41.793,54.936,52.649,48.300,52.951,60.456,63.275
12/2024,58.282,60.027,58.887,48.148,40.691,37.711,36.739,40.701,43.943,56.579,43.486,53.624,52.230,55.511,51.554,41.228,36.645,37.202,34.440,38.368,45.058,51.365,49.957,46.324,47.304,42.905,52.242,46.839,34.968,40.888,40.664,39.906,39.119,44.593,53.694
1/2025,50.552,50.459,47.416,40.084,34.874,32.372,30.063,34.147,38.250,49.561,37.803,46.204,41.423,47.526,43.145,36.828,31.641,31.752,28.089,32.825,52.098,45.129,41.907,38.366,41.848,36.654,45.017,40.988,30.106,34.567,34.583,35.866,32.087,37.928,45.880
2/2025,42.683,62.401,49.079,33.296,30.047,27.228,26.219,29.149,37.729,41.409,40.840,50.129,35.511,42.061,40.920,37.952,28.687,26.531,26.194,27.807,44.043,37.773,42.826,33.172,40.220,30.333,34.834,34.941,26.092,34.249,34.184,29.699,27.668,33.847,37.655
3/2025,76.164,130.880,65.788,47.966,68.606,40.878,41.427,56.769,75.850,68.846,86.616,61.722,70.271,61.247,53.903,45.870,41.706,32.820,38.224,68.096,58.035,51.081,117.223,41.894,69.245,36.179,55.488,57.710,38.741,45.264,50.361,36.826,52.669,68.158,47.201
4/2025,281.175,277.562,170.629,94.688,151.816,83.357,82.221,163.578,232.375,146.781,129.028,122.827,162.378,148.070,82.176,91.153,84.782,78.747,76.943,168.856,225.710,181.382,178.029,95.625,134.398,102.298,140.304,122.062,70.209,103.447,81.661,90.606,89.000,124.892,121.591
5/2025,509.716,377.617,297.597,163.134,160.410,98.961,167.107,241.023,610.108,233.623,412.733,263.596,459.711,342.512,211.054,173.234,214.883,70.825,190.967,223.835,475.088,243.683,229.308,388.252,331.120,200.931,312.161,116.324,136.521,237.948,154.352,107.886,222.225,393.555,528.891
6/2025,300.941,249.451,147.467,130.084,82.425,72.052,168.522,124.719,436.651,134.927,487.235,133.402,370.291,219.564,213.442,79.117,106.397,29.414,170.797,84.489,294.245,118.723,115.507,392.912,158.910,200.128,368.826,27.785,78.339,194.144,140.805,66.219,201.315,494.275,511.364
7/2025,84.583,91.512,52.947,40.681,26.632,23.467,63.433,45.298,145.642,34.063,281.561,41.745,103.714,77.737,97.201,18.343,23.379,11.973,31.338,25.483,90.808,32.151,36.091,124.406,70.300,44.586,132.928,16.417,22.703,40.241,38.716,21.056,100.093,200.714,167.654
8/2025,50.007,45.064,43.646,30.368,28.398,25.115,32.285,40.287,61.453,31.091,84.845,31.185,68.440,42.664,56.264,24.707,29.858,18.962,24.456,28.104,50.754,40.088,34.607,55.848,36.894,42.669,48.195,24.900,30.649,39.229,25.791,24.041,51.707,78.578,85.632
9/2025,72.306,75.024,55.657,61.810,43.699,38.536,51.480,52.024,71.436,51.429,67.906,50.804,77.778,53.032,59.859,43.951,43.670,39.124,55.802,59.562,58.101,55.815,65.208,59.354,49.267,48.131,56.342,40.529,61.813,53.896,40.655,39.327,74.771,63.078,78.491
10/2025,128.092,115.503,63.265,64.920,57.432,57.981,57.800,59.906,89.138,64.967,86.202,71.144,107.311,66.409,62.723,56.688,55.199,57.315,59.008,76.047,86.172,116.716,88.367,69.059,62.392,61.349,70.125,52.713,84.288,77.404,53.235,68.701,75.021,71.866,100.037
11/2025,80.548,83.093,59.764,49.077,46.121,48.701,49.724,55.876,68.528,53.060,63.422,59.449,72.261,59.720,49.053,45.763,46.051,44.416,45.107,64.116,66.404,74.940,61.712,56.090,52.676,54.793,56.939,41.868,54.973,52.747,48.328,53.485,60.484,63.222,76.883
12/2025,60.023,58.929,48.244,40.927,37.844,36.910,40.773,44.150,56.552,43.502,53.655,52.968,55.491,51.602,41.281,36.953,37.288,34.528,38.352,45.374,51.335,49.950,46.330,47.522,42.959,52.312,46.981,35.062,40.934,40.769,39.944,39.424,44.625,53.659,58.547
1/2026,50.455,47.453,40.169,35.053,32.495,30.219,34.211,38.325,49.536,37.818,46.232,41.891,47.508,43.190,36.879,31.903,31.832,28.167,32.810,51.905,45.101,41.902,38.371,41.906,36.704,45.077,41.120,30.164,34.609,34.680,35.900,32.292,37.959,45.849,50.645
