segdesc   = BMDC2L_F
2021-04-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1/2023,25.009,26.062,36.428,28.834,28.947,23.024,17.860,19.679,21.549,22.134,19.519,28.432,20.992,33.589,25.993,29.429,23.130,25.028,19.610,19.666,12.448,20.441,22.865,24.015,24.700,19.034,27.854,22.968,20.388,24.856,12.788,19.500,24.949,22.768,15.973
2/2023,20.913,19.957,30.188,37.603,26.553,18.875,14.626,16.690,18.642,18.891,17.908,23.165,21.170,29.900,21.218,25.331,22.552,25.094,19.137,16.110,15.450,16.938,19.518,19.355,22.643,15.529,23.310,18.839,16.772,20.535,10.649,18.426,23.509,18.709,13.291
3/2023,32.674,20.283,43.593,68.301,31.243,26.926,39.737,26.526,27.064,28.872,30.462,40.972,47.076,39.709,36.840,38.180,30.998,28.366,29.098,19.698,24.741,44.584,22.562,26.616,54.918,15.835,42.554,22.174,29.876,37.427,16.770,20.291,40.873,20.712,22.972
4/2023,39.250,42.663,93.449,119.093,82.030,62.489,100.110,57.273,51.242,71.474,90.160,78.050,58.658,87.346,76.268,56.068,41.133,69.954,54.568,50.533,49.101,89.961,55.388,81.333,76.486,49.051,66.098,53.516,66.455,79.930,38.383,49.643,75.663,45.651,39.657
5/2023,135.382,420.198,368.869,322.331,289.792,139.758,175.012,113.733,158.078,198.145,261.241,213.816,184.206,344.623,298.866,187.984,186.657,218.410,232.715,72.296,146.897,209.110,232.830,205.949,213.471,234.484,266.238,106.469,140.506,119.522,99.293,223.055,182.431,104.647,138.712
6/2023,367.658,683.182,405.649,400.729,276.063,173.953,152.332,174.068,275.084,172.353,414.867,223.644,538.890,314.175,510.416,197.264,335.642,161.079,201.550,53.970,221.516,142.762,287.295,197.281,173.122,479.401,276.123,247.857,424.170,49.018,145.152,333.068,323.070,112.723,288.866
7/2023,217.075,332.567,131.921,168.226,95.680,71.218,65.171,72.190,132.377,68.025,205.255,71.926,500.301,126.719,195.735,98.364,214.166,50.349,59.922,21.518,64.907,53.731,121.238,75.504,63.770,219.963,151.850,75.530,216.580,24.690,51.591,106.394,100.716,43.356,177.801
8/2023,82.920,122.855,60.015,63.835,52.634,40.226,48.588,37.502,55.829,51.294,67.302,41.132,135.378,52.501,81.337,46.251,82.030,39.892,44.652,17.100,37.513,33.621,54.822,51.505,43.920,75.914,55.352,43.636,65.188,23.497,36.258,51.956,42.632,27.974,89.677
9/2023,41.447,68.721,55.660,61.439,40.974,38.654,32.181,30.935,34.610,42.800,55.954,36.662,63.174,40.287,56.128,32.148,44.488,32.960,30.665,18.910,52.796,32.593,35.161,38.145,40.599,44.774,37.952,28.267,38.594,21.274,51.199,46.014,34.481,23.793,73.284
10/2023,34.402,57.600,86.398,67.575,32.229,30.070,30.456,46.773,29.053,28.751,47.795,32.873,56.254,45.222,58.554,37.324,35.686,27.778,26.883,26.241,34.057,31.331,48.812,58.566,37.475,38.794,37.138,28.325,36.831,19.830,48.790,56.948,29.155,23.640,46.253
11/2023,29.332,46.483,51.369,46.439,30.219,23.217,24.412,39.148,26.637,24.095,37.096,29.929,42.695,35.401,41.473,30.637,28.441,24.211,26.688,16.254,24.060,26.223,36.980,39.365,28.403,33.492,34.040,27.897,30.539,16.668,27.831,35.201,27.201,21.962,31.166
12/2023,27.972,40.793,36.452,35.590,27.215,21.197,21.953,27.785,24.300,22.231,31.968,25.804,38.552,31.740,34.302,28.676,26.178,21.709,22.995,13.768,22.305,22.231,27.837,28.369,22.471,30.705,28.649,23.529,27.439,15.522,21.705,27.517,25.630,17.846,27.229
1/2024,27.088,36.523,31.393,29.991,24.179,18.998,19.643,22.028,21.275,20.230,28.571,22.969,33.588,27.185,30.760,24.698,25.367,19.418,20.271,12.433,19.783,23.058,23.970,25.419,19.457,27.653,25.160,20.910,24.802,13.970,18.990,24.209,23.723,15.447,24.282
2/2024,21.481,31.370,41.243,28.353,20.472,16.170,17.230,19.782,18.851,19.235,24.072,23.890,31.130,22.953,27.322,24.714,26.321,19.729,17.171,15.933,17.088,20.413,19.956,24.060,16.418,24.155,21.257,17.818,21.265,12.022,18.558,23.658,20.240,13.337,21.029
3/2024,21.106,44.201,71.598,32.067,28.638,42.048,26.360,27.697,28.500,32.904,41.014,49.983,40.004,39.318,39.373,33.144,28.962,29.366,20.140,25.073,45.325,22.686,26.527,56.834,16.360,42.911,23.948,30.868,38.741,18.422,19.779,42.148,21.414,22.915,31.897
4/2024,44.845,97.071,122.797,91.150,65.197,103.519,57.112,52.344,73.924,93.609,78.223,63.318,89.007,79.158,57.322,43.749,74.064,56.767,51.028,50.653,90.920,57.620,81.294,81.191,51.764,67.833,55.759,68.279,80.564,40.273,49.370,75.081,49.006,40.205,38.424
5/2024,449.590,381.631,327.166,291.129,146.450,181.363,113.839,166.822,200.653,274.666,214.677,194.424,352.902,312.311,190.573,198.493,224.139,238.693,73.072,157.449,211.130,244.307,206.396,216.565,247.784,273.792,109.144,148.638,120.115,104.094,223.111,187.124,108.436,145.325,134.702
6/2024,680.183,398.403,403.632,278.573,174.271,150.289,174.434,275.448,168.801,414.420,224.336,557.332,313.303,513.243,198.881,339.568,155.530,196.957,54.555,214.273,139.860,283.623,197.818,171.383,481.667,276.462,250.751,430.259,47.864,145.374,332.737,321.255,110.827,291.654,367.728
7/2024,322.731,128.935,170.091,92.410,68.617,65.071,72.619,129.221,66.627,198.488,72.358,491.239,122.375,189.729,99.532,209.457,49.714,58.520,21.996,63.186,52.863,116.801,75.959,63.033,211.409,145.848,77.224,209.087,24.642,51.941,106.388,97.605,43.511,172.765,217.194
8/2024,120.729,59.137,65.047,53.142,40.849,48.608,37.665,55.240,51.426,66.896,41.371,131.343,51.905,80.138,47.052,80.453,40.288,44.571,17.529,37.447,33.216,54.299,51.688,43.885,74.402,54.465,44.946,63.992,23.578,36.104,51.948,42.055,28.236,88.048,82.783
9/2024,68.004,56.562,62.433,40.838,39.223,32.761,30.981,34.639,41.434,55.946,36.757,63.039,40.316,56.486,32.737,44.583,32.758,30.391,19.259,53.164,32.856,35.735,38.179,41.115,44.619,37.813,29.244,38.556,21.325,53.106,45.915,34.120,24.163,71.824,41.228
10/2024,57.435,86.096,68.471,32.478,30.169,30.584,46.769,29.126,28.290,47.660,32.916,56.176,45.003,58.219,37.870,35.899,27.756,26.852,26.524,33.455,30.683,48.268,58.563,37.308,38.814,37.021,29.165,36.937,19.699,47.634,56.806,28.829,24.105,44.893,34.155
11/2024,46.376,50.209,47.202,30.462,23.554,24.651,39.139,26.781,23.781,36.924,29.961,42.887,35.320,41.249,31.053,28.730,24.194,26.560,16.496,23.946,25.939,36.478,39.346,28.034,33.429,33.806,28.618,30.491,16.610,27.616,35.079,27.008,22.174,30.793,29.120
12/2024,40.832,36.202,36.278,27.419,21.560,22.241,27.774,24.340,21.939,32.038,25.838,38.757,31.539,34.416,29.120,26.557,21.763,22.838,13.994,22.241,21.956,27.681,28.352,22.551,30.729,28.482,24.282,27.516,15.485,21.847,27.412,25.436,18.063,26.974,27.752
1/2025,36.563,31.290,30.599,24.377,19.338,19.935,22.015,21.380,19.983,28.666,22.996,33.872,27.103,30.910,25.091,25.870,19.479,20.178,12.641,19.728,22.847,23.937,25.400,19.589,27.675,25.060,21.602,24.858,13.946,19.222,24.105,23.350,15.697,24.067,26.870
2/2025,30.399,40.030,27.945,19.954,15.921,16.899,19.026,18.343,18.419,23.360,22.859,30.444,22.132,26.571,24.199,25.788,19.180,16.536,15.610,16.500,19.586,19.292,23.207,15.989,23.392,20.473,17.774,20.588,11.590,18.193,22.785,19.416,13.131,20.161,20.621
3/2025,44.359,71.266,32.725,28.842,42.401,26.769,27.503,28.788,32.640,41.188,49.482,40.531,39.244,39.663,32.859,29.421,29.509,20.144,24.910,45.250,22.620,26.564,55.753,16.542,43.016,23.960,31.068,38.913,18.437,20.067,39.991,21.320,23.169,31.760,20.954
4/2025,97.236,122.327,84.301,65.571,103.816,57.576,51.719,74.237,93.238,78.393,60.961,89.701,79.183,57.737,42.950,74.623,56.992,51.091,49.325,90.762,57.568,81.232,77.341,52.152,68.154,55.802,68.102,80.661,40.430,49.398,74.721,48.951,40.638,38.354,43.380
5/2025,380.385,326.353,292.988,146.442,181.542,114.064,158.736,200.614,273.757,214.431,188.087,352.411,311.667,190.226,190.288,223.843,238.435,72.752,147.317,210.684,243.699,205.877,214.615,247.959,273.377,108.880,142.298,120.051,104.104,222.472,181.027,108.157,145.646,134.020,423.307
6/2025,397.647,402.683,277.459,174.104,150.373,174.299,275.728,168.680,413.560,223.913,543.912,312.684,512.372,198.485,338.140,155.501,196.643,54.237,221.821,139.622,282.923,197.225,173.670,481.148,275.961,249.960,426.179,47.810,145.091,332.583,322.077,110.557,291.277,366.383,685.693
7/2025,128.466,169.421,96.500,68.475,64.954,72.347,132.656,66.410,197.911,72.039,502.151,122.073,189.191,99.180,215.414,49.627,58.159,21.767,64.976,52.541,116.308,75.451,64.100,210.953,145.351,76.726,217.352,24.520,51.611,106.261,100.269,43.120,172.281,216.463,333.135
8/2025,58.975,64.797,53.330,40.795,48.603,37.636,56.020,51.328,66.618,41.237,136.077,51.859,79.916,46.956,82.851,40.310,44.426,17.354,37.591,33.021,54.031,51.482,44.216,74.259,54.304,44.701,65.679,23.483,35.925,51.859,42.282,27.952,87.918,82.459,123.082
9/2025,56.526,62.327,41.582,39.280,32.848,31.058,34.768,41.451,55.792,36.744,63.756,40.391,56.405,32.761,45.173,32.867,30.366,19.148,52.888,32.779,35.605,38.115,40.868,44.610,37.778,29.153,39.000,21.317,53.021,45.931,34.174,24.008,71.852,41.075,68.880
10/2025,86.108,68.421,32.770,30.250,30.688,46.900,29.175,28.330,47.561,32.952,56.779,45.120,58.193,37.947,36.330,27.878,26.869,26.464,34.121,30.648,48.190,58.549,37.698,38.853,37.037,29.119,37.204,19.733,47.611,56.865,28.878,23.999,44.974,34.061,57.741
11/2025,50.226,47.161,30.696,23.640,24.744,39.248,26.756,23.836,36.846,30.000,43.123,35.434,41.232,31.123,28.933,24.308,26.584,16.453,24.112,25.925,36.419,39.339,28.585,33.467,33.826,28.593,30.836,16.656,27.610,35.134,26.980,22.093,30.837,29.047,46.606
12/2025,36.214,36.238,27.678,21.646,22.353,27.879,24.416,21.991,31.958,25.872,38.960,31.640,34.395,29.192,26.707,21.897,22.868,13.955,22.357,21.939,27.624,28.344,22.673,30.761,28.496,24.258,27.765,15.530,21.837,27.455,25.401,17.989,27.034,27.678,40.904
1/2026,31.306,30.568,24.602,19.418,20.040,22.116,21.390,20.031,28.598,23.033,33.959,27.200,30.895,25.162,25.871,19.603,20.206,12.605,19.833,22.832,23.886,25.402,19.643,27.713,25.077,21.582,25.106,13.987,19.212,24.153,23.496,15.628,24.135,26.801,36.623
2/2026,40.050,27.917,20.116,15.989,16.976,19.110,18.272,18.459,23.304,22.893,30.228,22.214,26.558,24.265,25.828,19.289,16.559,15.580,16.437,19.575,19.252,23.213,16.033,23.425,20.487,17.757,20.720,11.625,18.185,22.827,19.273,13.073,20.201,20.567,30.343
3/2026,71.290,32.691,28.297,42.476,26.871,27.602,28.140,32.699,41.099,49.535,40.100,39.373,39.645,32.930,29.160,29.636,20.172,24.877,43.932,22.606,26.517,55.763,16.346,43.061,23.974,31.062,37.674,18.477,20.057,40.040,21.295,23.108,31.837,20.897,43.733
