segdesc   = GBRW4R_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 3/2020       52.075    43.729    36.398   123.883    51.358    35.096    54.217    44.755    36.035    49.566    41.224    51.286    61.441    57.624    60.840    54.092    47.253    44.002    35.586    28.037    38.378    54.145    48.512    39.825    66.597    28.120    49.473    39.055    32.505    67.894    36.972    39.839    76.930    47.472    46.856
 4/2020       61.671    56.614    88.851   206.348    98.796    69.112   109.195    91.670    59.584    65.925    62.448    91.193    60.620   113.030    89.178    84.418    64.294    79.795    45.584    57.729    62.472   107.369    72.261   100.439    68.847    32.523    78.642    53.521    56.419   130.839    43.480    70.878    82.468    58.622    57.103
 5/2020      155.109   167.282   234.754   325.605   278.397   114.284   139.798    93.661    96.738   152.320   184.464   193.082    60.843   155.033   338.220   167.227   174.541   170.867   100.475    55.146    71.190   101.728   137.478   243.212   171.545   107.206   137.863    29.446   144.053   179.222    67.225   189.455   189.532   110.807   213.041
 6/2020      560.057   387.830   205.666   870.309   195.963   131.331   251.060   268.147   374.164    59.700   349.484   154.949   414.242   584.086   711.296   312.640   535.041   220.577   120.993   192.208   215.431   246.580   363.202   275.214    66.268   272.975   451.068   208.959   396.325   209.946    95.680   442.352   300.138   176.205   448.712
 7/2020      399.804   242.067    83.318   303.964    86.181    26.698   150.594   160.429   174.650    33.989   227.575    31.546   414.574   288.056   316.126   354.221   325.704    67.779    33.348    77.338    76.529   170.791   261.074    76.928    13.639   195.999   351.276   173.107   606.571    75.470    38.394   282.935   136.160    68.125   452.828
 8/2020      161.516    88.417    43.732   109.169    60.478    24.853    59.697    55.463    75.293    21.817   179.004    28.114   145.771    91.949   152.224   116.233   113.581    38.935    21.849    34.496    35.622    67.946    85.053    46.139    28.754    62.597   109.787    59.478   177.961    39.525    24.292    97.975    53.648    33.109   171.093
 9/2020       84.118    65.275    44.253    65.974    40.115    22.561    45.715    43.549    59.873    25.034    69.047    26.543    62.685    55.346    95.769    56.747    78.424    43.109    20.350    35.288    35.309    54.574    47.764    37.888    27.063    46.572    52.978    38.984    78.487    31.016    30.250    67.910    41.272    24.076    99.324
10/2020       81.587    70.058    47.861    69.855    33.871    23.954    41.743    46.923    40.698    23.849    53.101    37.793    54.384    52.351    82.688    54.680    51.622    40.213    22.849    35.859    28.786    49.418    46.945    53.802    43.881    40.314    52.324    33.356    67.100    32.344    34.551   114.345    39.274    32.289   103.906
11/2020       62.424    46.790    44.949    58.285    34.074    26.750    36.728    41.427    40.986    25.707    44.258    34.489    48.309    50.424    57.029    44.350    45.468    35.840    31.962    30.964    29.950    48.802    42.030    40.786    36.434    41.759    48.487    34.298    56.118    38.681    29.748    59.868    38.111    35.832    61.498
12/2020       47.715    38.480    32.122    47.254    30.176    23.154    31.391    33.085    35.303    22.076    37.419    27.799    46.594    46.312    46.614    39.322    39.604    29.606    24.405    25.625    25.606    35.061    36.747    35.687    26.841    33.152    39.135    28.828    46.101    32.521    23.550    45.949    35.476    31.936    48.279
