segdesc   = LEMC2H_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 3/2020        1.114     1.055     1.816     3.270     1.276     1.380     2.957     1.303     0.880     1.302     1.197     1.808     2.328     1.413     2.119     1.711     1.731     1.271     1.096     0.873     0.806     2.832     1.463     1.288     3.535     0.804     1.914     0.528     1.272     1.999     0.658     1.141     2.214     0.862     0.744
 4/2020        2.110     3.380     9.091     9.845    11.836     4.306    13.821     4.844     3.330    10.885     5.686     5.688     5.187     2.922     5.990     4.149     3.291     6.472     6.549     2.225     2.383    10.049     8.162     5.502     6.714     3.501     3.517     2.926     3.367     7.282     1.922     4.066     2.716     4.385     2.464
 5/2020       18.367    31.181    31.384    26.014    33.529    12.566    19.676    15.675    15.337    27.257    29.932    24.788    17.719    13.649    28.813    23.496    18.863    16.311    32.730     3.738    13.241    26.435    31.531    15.732    21.308    21.479    25.114    10.922    13.393    16.376     7.747    16.387    12.061    11.930    17.007
 6/2020       40.728    28.805    45.566    36.766    39.471    21.678    12.433    19.925    25.663    16.583    35.767    18.554    39.584     4.628    36.781    18.302    28.931     6.039    15.729     1.352     8.934    14.000    37.322     5.331    12.664    30.812    10.235    16.934    22.921     5.702     5.786    16.227    20.399    13.741    24.894
 7/2020       18.695     7.562     9.022    12.609     8.247     6.022     3.803     8.759     8.489     5.915     8.802     3.980    20.452     1.823     7.258     6.574    13.753     2.085     3.675     0.737     2.451     3.366    11.170     3.684     3.777     7.852     2.906     3.641     4.941     2.408     1.699     3.620     5.769     5.787     7.552
 8/2020        7.272     5.917     3.124     5.108     4.617     9.749     4.719     6.499     4.277     4.475     3.895     3.485     6.334     1.772     5.212     3.187    12.612     1.979     5.202     0.580     2.002     1.849     4.367     3.434     5.789     3.097     1.646     3.282     2.425     1.348     2.024     3.113     2.351     3.278     7.036
 9/2020        2.583     4.061     3.826     4.541     2.531     6.369     1.858     4.291     8.430     3.218     3.582     3.417     3.208     2.186     7.549     2.602     6.492     1.381     1.944     1.737     3.522     1.803     4.473     3.485     2.782     3.428     1.695     1.896     1.803     1.007     5.681     2.921     1.904     1.589     7.040
10/2020        3.409     3.216     4.112     5.198     1.961     4.320     2.225     4.256     2.445     1.768     1.957     1.794     2.010     2.297     5.733     1.894     2.253     1.518     1.409     1.104     1.377     2.492     5.942     7.941     1.776     2.239     1.585     2.420     3.099     0.864     2.543     3.658     1.182     4.328     3.909
11/2020        1.722     1.685     2.219     2.320     2.178     2.130     1.315     2.518     1.618     1.349     1.401     1.484     1.402     1.143     2.296     1.903     1.445     1.275     1.116     0.675     0.975     1.946     3.046     2.508     1.087     1.527     1.183     1.406     1.605     0.705     1.256     1.897     1.105     1.791     1.923
12/2020        1.285     1.283     1.401     1.489     1.364     1.297     0.997     1.458     1.218     1.074     1.166     1.067     1.198     0.890     1.455     1.423     1.205     0.842     0.975     0.482     0.818     1.226     1.602     1.324     1.026     1.134     0.856     0.920     1.044     0.616     0.861     1.139     0.926     1.052     1.327
 1/2021        1.065     1.039     1.173     1.136     1.046     1.010     0.819     1.043     0.968     0.883     0.984     0.857     1.018     0.678     1.149     1.037     1.027     0.669     0.827     0.387     0.638     1.250     1.206     0.990     0.794     0.932     0.701     0.744     0.866     0.530     0.679     0.897     0.815     0.785     1.060
 2/2021        0.820     0.817     1.198     1.066     0.801     0.771     0.632     0.857     0.772     0.679     0.771     0.827     1.095     0.507     0.880     0.910     0.863     0.513     0.648     0.378     0.484     0.966     0.929     0.848     0.599     0.766     0.538     0.579     0.647     0.430     0.658     1.029     0.703     0.590     0.818
 3/2021        1.067     1.850     3.131     1.289     1.387     3.039     1.287     0.903     1.331     1.221     1.799     2.369     1.422     2.237     1.692     1.766     1.297     1.146     0.853     0.879     2.809     1.465     1.285     3.568     0.817     1.927     0.569     1.308     2.032     0.705     1.149     2.220     0.892     0.769     1.132
 4/2021        3.385     9.103     9.522    11.807     4.293    13.875     4.854     3.322    10.886     5.714     5.658     5.242     2.926     6.113     3.948     3.314     6.466     6.611     2.221     2.459     9.983     8.160     5.394     6.741     3.508     3.520     2.962     3.403     7.276     1.971     4.085     2.703     4.409     2.492     2.122
 5/2021       31.118    31.383    25.826    33.500    12.514    19.656    15.315    15.322    27.220    29.896    23.842    17.709    13.582    28.939    22.728    18.819    16.254    32.763     3.731    13.358    26.348    31.521    15.603    21.340    21.416    25.045    10.471    13.363    16.358     7.791    15.534    12.059    11.898    17.026    18.319
 6/2021       28.792    45.563    36.705    39.457    21.658    12.401    20.072    25.612    16.580    35.747    19.277    39.564     4.619    36.778    18.988    28.902     6.036    15.735     1.388     8.982    13.987    37.311     5.475    12.660    30.797    10.230    17.349    22.918     5.707     5.806    16.970    20.391    13.738    24.910    40.687
 7/2021        7.561     9.022    13.101     8.245     6.020     3.802     8.827     8.472     5.920     8.801     4.085    20.453     1.823     7.257     6.714    13.754     2.088     3.680     0.748     2.474     3.363    11.166     3.684     3.784     7.852     2.906     3.641     4.945     2.414     1.715     3.699     5.770     5.793     7.557    18.624
 8/2021        5.917     3.124     5.099     4.617     9.749     4.723     6.504     4.277     4.477     3.896     3.500     6.336     1.772     5.216     3.236    12.616     1.982     5.208     0.586     2.022     1.847     4.367     3.438     5.799     3.098     1.647     3.372     2.429     1.353     2.040     3.147     2.352     3.285     7.040     7.264
 9/2021        4.062     3.827     4.672     2.531     6.370     1.861     4.250     8.432     3.220     3.582     3.434     3.210     2.187     7.553     2.624     6.493     1.384     1.947     1.721     3.543     1.801     4.473     3.425     2.789     3.429     1.696     1.971     1.806     1.012     5.698     2.870     1.905     1.593     7.043     2.581
10/2021        3.216     4.112     5.213     1.961     4.321     2.229     4.306     2.446     1.770     1.958     1.806     2.011     2.298     5.736     1.863     2.255     1.521     1.412     1.124     1.391     2.490     5.942     7.987     1.782     2.239     1.586     2.435     3.104     0.868     2.554     3.714     1.183     4.337     3.910     3.408
11/2021        1.685     2.219     2.404     2.178     2.130     1.317     2.592     1.619     1.351     1.401     1.506     1.403     1.144     2.298     1.919     1.447     1.278     1.118     0.686     0.986     1.944     3.046     2.600     1.092     1.528     1.184     1.444     1.608     0.708     1.264     1.966     1.106     1.794     1.925     1.721
12/2021        1.283     1.402     1.508     1.364     1.298     0.999     1.484     1.219     1.075     1.166     1.077     1.199     0.891     1.457     1.452     1.206     0.845     0.977     0.490     0.827     1.225     1.602     1.347     1.031     1.135     0.857     0.934     1.046     0.620     0.867     1.158     0.927     1.055     1.329     1.285
 1/2022        1.039     1.174     1.145     1.046     1.010     0.821     1.052     0.969     0.884     0.984     0.862     1.020     0.679     1.151     1.044     1.028     0.671     0.829     0.388     0.647     1.249     1.206     1.000     0.798     0.932     0.702     0.756     0.868     0.533     0.684     0.903     0.816     0.788     1.061     1.064
 2/2022        0.817     1.198     1.071     0.801     0.772     0.634     0.859     0.773     0.680     0.771     0.817     1.097     0.508     0.881     0.906     0.864     0.514     0.650     0.380     0.490     0.965     0.929     0.851     0.602     0.766     0.538     0.586     0.649     0.432     0.663     1.037     0.704     0.592     0.819     0.820
 3/2022        1.851     3.131     1.305     1.387     3.040     1.289     0.909     1.332     1.223     1.799     2.380     1.423     2.239     1.695     1.735     1.299     1.149     0.855     0.858     2.822     1.464     1.285     3.557     0.821     1.927     0.569     1.255     2.035     0.708     1.155     2.110     0.894     0.771     1.133     1.067
 4/2022        9.104     9.522    10.850     4.293    13.876     4.857     3.326    10.889     5.717     5.658     4.961     2.927     6.115     3.951     3.093     6.467     6.616     2.222     2.416     9.997     8.159     5.393     6.284     3.516     3.521     2.964     3.393     7.279     1.975     4.090     2.642     4.410     2.496     2.123     3.385
 5/2022       31.383    25.826    33.998    12.514    19.656    15.314    14.864    27.220    29.897    23.842    17.438    13.583    28.939    22.730    18.283    16.254    32.764     3.732    12.531    26.355    31.520    15.603    21.319    21.422    25.046    10.471    12.928    16.359     7.793    15.539    11.673    11.898    17.030    18.322    31.117
 6/2022       45.563    36.705    39.286    21.658    12.401    20.072    25.730    16.580    35.747    19.277    39.061     4.619    36.778    18.988    29.163     6.037    15.736     1.389     9.754    13.988    37.311     5.475    13.011    30.799    10.230    17.349    23.219     5.707     5.808    16.972    20.719    13.738    24.911    40.687    28.792
 7/2022        9.022    13.101     8.798     6.020     3.802     8.827     8.784     5.921     8.801     4.085    21.367     1.823     7.257     6.715    14.059     2.088     3.680     0.749     2.517     3.364    11.166     3.684     3.789     7.853     2.907     3.642     5.116     2.415     1.716     3.700     5.896     5.794     7.557    18.624     7.561
 8/2022        3.124     5.099     4.632     9.749     4.724     6.505     4.361     4.477     3.896     3.500     6.401     1.773     5.216     3.236    12.693     1.983     5.208     0.587     1.965     1.848     4.367     3.438     5.824     3.098     1.647     3.373     2.452     1.354     2.041     3.148     2.376     3.285     7.041     7.264     5.917
 9/2022        3.827     4.672     2.584     6.370     1.861     4.251     8.429     3.220     3.582     3.434     3.264     2.187     7.554     2.624     6.664     1.384     1.948     1.722     3.610     1.802     4.473     3.425     2.849     3.429     1.696     1.971     1.822     1.012     5.700     2.871     1.928     1.594     7.043     2.581     4.062
10/2022        4.112     5.213     1.957     4.321     2.229     4.306     2.520     1.770     1.958     1.806     2.075     2.298     5.736     1.863     2.309     1.522     1.412     1.125     1.435     2.491     5.942     7.987     1.817     2.240     1.586     2.436     3.085     0.868     2.555     3.715     1.192     4.337     3.911     3.408     3.216
11/2022        2.219     2.404     2.201     2.130     1.317     2.592     1.631     1.351     1.401     1.506     1.413     1.144     2.299     1.920     1.462     1.278     1.118     0.687     0.993     1.945     3.046     2.600     1.101     1.528     1.184     1.444     1.662     0.709     1.265     1.966     1.112     1.794     1.925     1.721     1.685
12/2022        1.402     1.508     1.379     1.298     1.000     1.484     1.232     1.075     1.166     1.077     1.205     0.891     1.457     1.452     1.215     0.845     0.977     0.491     0.833     1.225     1.602     1.347     1.034     1.135     0.857     0.935     1.057     0.620     0.868     1.159     0.928     1.055     1.329     1.285     1.283
 1/2023        1.174     1.145     1.053     1.010     0.821     1.052     0.976     0.884     0.984     0.862     1.025     0.679     1.151     1.044     1.034     0.671     0.829     0.389     0.651     1.249     1.206     1.000     0.803     0.933     0.702     0.756     0.874     0.533     0.685     0.904     0.825     0.788     1.062     1.064     1.039
 2/2023        1.198     1.071     0.800     0.772     0.634     0.859     0.778     0.680     0.771     0.817     1.088     0.508     0.881     0.906     0.866     0.515     0.650     0.381     0.492     0.966     0.929     0.851     0.605     0.766     0.538     0.586     0.651     0.433     0.664     1.038     0.694     0.592     0.819     0.820     0.817
 3/2023        3.131     1.305     1.379     3.040     1.289     0.910     1.294     1.223     1.799     2.380     1.419     2.239     1.695     1.736     1.256     1.149     0.855     0.859     2.741     1.464     1.285     3.557     0.781     1.928     0.569     1.255     1.920     0.708     1.155     2.110     0.895     0.772     1.133     1.067     1.851
 4/2023        9.522    10.850     4.136    13.876     4.857     3.326    10.188     5.717     5.658     4.961     2.930     6.115     3.951     3.093     6.171     6.617     2.222     2.416     9.827     8.160     5.393     6.284     3.331     3.521     2.964     3.393     7.292     1.975     4.091     2.642     4.079     2.496     2.124     3.385     9.104
 5/2023       25.826    33.998    12.223    19.656    15.314    14.864    27.664    29.898    23.842    17.438    13.364    28.939    22.730    18.283    16.191    32.764     3.732    12.531    26.412    31.520    15.603    21.319    20.479    25.046    10.471    12.928    16.270     7.793    15.539    11.673    11.827    17.030    18.322    31.117    31.383
