segdesc   = GRNU1L_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 3/2020      118.799    83.994    72.738   209.817    86.957    77.669   107.143    76.952    61.786   122.275    93.383   111.473   112.891   103.155   115.702   102.586    87.846    80.817    67.271    55.503    68.757   101.885    91.277    76.547   104.366    52.013    83.547    68.810    66.262   117.308    65.630    71.512   110.995    79.031    84.438
 4/2020      173.387   153.636   144.997   341.876   154.816   122.777   158.663   134.176    86.116   120.721   162.436   143.378    97.751   160.092   139.792   166.493   118.271   117.625   101.913    88.390    95.845   156.608   129.979   142.591   102.928    56.025   125.320    90.240   202.590   198.017    69.579    96.297   112.509    94.354   100.759
 5/2020      405.841   387.132   353.755   532.289   395.425   172.076   172.751   111.004   138.664   203.012   321.817   251.751   164.779   253.214   478.159   270.573   360.420   207.285   172.660    67.415    91.936   136.514   276.370   313.933   220.195   140.890   203.893    69.414   354.252   240.769    95.965   221.451   250.319   157.013   312.053
 6/2020     1015.867   589.254   285.146  1119.967   279.874   178.697   282.214   311.585   485.769    84.193   497.447   206.239   615.521   711.155   876.387   488.464   772.152   258.651   165.771   210.698   272.458   268.781   482.164   340.612    85.589   347.742   565.234   301.800   695.069   231.399   113.094   513.922   371.714   229.922   589.253
 7/2020      579.905   311.770   106.432   360.263   104.638    32.575   164.816   192.029   214.321    45.774   279.876    42.036   592.273   327.522   359.335   454.723   406.135    78.674    44.616    89.970   107.647   192.863   324.123    88.174    15.059   246.262   413.179   220.001   824.117    88.050    44.149   305.744   162.379    84.702   550.038
 8/2020      205.168   114.517    54.398   129.285    73.714    30.140    69.496    63.868    93.461    28.996   209.363    37.382   185.748   104.380   175.079   146.358   137.605    44.288    26.948    38.808    43.932    76.046   101.627    52.176    32.400    73.464   128.769    71.537   218.052    45.581    26.330   111.181    61.463    39.213   228.786
 9/2020      113.240    80.831    53.310    79.712    48.367    25.954    50.361    44.092    73.449    29.595    81.952    31.276    76.491    63.796   109.792    68.430    97.687    52.475    22.789    36.723    40.994    60.035    56.845    42.565    29.585    57.655    58.702    45.694    94.575    34.587    30.429    77.083    43.373    26.527   126.934
10/2020      109.404    88.342    60.059    89.470    42.541    28.318    48.795    54.449    49.245    28.321    69.010    59.992    68.513    62.111   100.781    70.074    66.002    52.309    27.220    41.377    33.358    61.146    55.851    64.894    58.862    48.627    61.302    39.853    87.373    39.226    53.334   130.004    47.253    42.524   167.896
11/2020       90.523    65.865    61.141    79.084    47.111    37.046    47.404    52.648    58.905    35.018    62.364    49.572    65.623    68.162    74.500    62.639    62.880    46.816    40.393    37.625    38.265    81.352    55.455    54.297    47.080    53.379    62.794    46.361    76.822    52.782    40.621    72.686    50.478    49.955    87.169
12/2020       72.731    55.921    44.933    65.622    43.615    32.284    41.684    41.758    49.443    30.334    52.886    38.767    64.609    64.299    61.762    56.144    56.471    37.638    32.251    31.223    33.107    48.230    49.749    46.408    33.905    44.080    51.206    40.342    66.098    42.997    30.935    57.204    47.350    43.660    69.660
