segdesc   = VCRC2H_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 3/2020        6.916     6.343    14.107    15.550    12.063     6.124    11.135     5.675     4.969     6.237     6.614     7.686    13.160     6.904    12.539     8.290     7.243     6.493     5.752     4.771     3.523    11.026    11.071     6.671    17.154     5.072     7.469     3.552     5.599     7.873     3.637     8.516    11.684     4.787     4.034
 4/2020       15.556    17.540    36.352    38.255    40.336    15.133    42.266    17.296    16.847    33.091    27.234    23.628    21.707    11.596    24.850    19.961    12.568    22.831    24.250     8.912     8.343    37.756    33.797    23.113    26.249    20.689    14.050    12.520    15.399    25.581     7.163    19.093    15.180    13.796     9.634
 5/2020       61.205    96.754   102.032    84.026   103.205    43.452    69.313    57.385    59.700    84.444    90.646    77.138    59.803    57.297    93.574    71.654    63.530    58.601   111.432    17.382    46.649    89.437   108.652    57.591    76.595    80.184    89.515    37.326    47.830    55.300    20.607    59.022    47.713    42.557    56.527
 6/2020      128.464   109.404   153.863   131.467   126.168    78.335    53.084    67.196    92.984    54.456   122.061    63.352   133.520    28.663   136.811    59.455   111.363    29.773    60.025     8.849    38.143    47.762   128.708    29.810    49.606   103.777    48.021    59.902    91.648    29.358    28.660    70.193    87.389    47.696    90.683
 7/2020       66.781    38.563    42.070    57.304    36.187    27.459    19.677    32.237    34.586    23.809    38.041    18.587    79.882    11.645    35.269    26.980    61.339    11.369    18.246     4.767    13.075    16.401    43.435    16.735    19.344    31.566    16.278    17.171    27.345    12.641    10.076    19.773    29.246    25.664    36.955
 8/2020       25.576    27.702    17.069    23.711    20.793    33.308    17.874    23.348    18.191    19.136    19.783    13.371    27.050     9.255    26.702    15.136    50.907    10.044    23.691     3.728    10.301    10.145    22.750    13.440    26.587    15.131     9.688    13.878    13.179     7.796    10.193    14.841    13.219    15.388    32.297
 9/2020       12.892    20.406    19.568    24.089    12.699    22.596    10.050    18.131    32.992    15.225    17.633    14.940    16.602     8.912    33.554    12.617    32.577     7.831    11.148     7.647    14.283    14.230    17.016    13.000    16.833    15.372     8.792     9.837    10.147     6.124    24.111    15.236    10.565     8.348    32.177
10/2020       17.168    15.207    21.883    25.670    10.667    17.108    11.384    18.302    12.578     9.273    11.371     9.557    11.705     9.656    23.083     9.934    13.460     7.884     8.371     5.489     8.585    13.433    23.020    37.281    13.181    10.759     8.316    10.893    12.286     5.316    13.887    19.268     7.557    16.373    18.339
11/2020        8.976     9.587    12.256    14.718    10.026    10.040     6.953    11.247     8.292     7.351     8.403     7.453     8.469     6.014    11.212     8.853     8.962     6.331     6.924     3.504     5.754     9.461    12.912    13.542     7.618     8.324     6.447     7.226     7.801     4.436     6.741     9.977     6.650     7.880    10.245
12/2020        7.516     7.906     8.614    10.240     7.567     7.101     5.734     7.593     6.902     6.146     7.107     5.961     7.405     4.999     8.345     7.188     7.656     4.832     6.033     2.804     4.822     6.650     8.495     7.835     6.439     6.736     5.198     5.349     6.257     4.013     5.025     6.831     5.825     5.523     7.780
