segdesc   = MPSC2L_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 3/2020       35.664    21.219    47.663    76.589    33.157    29.898    44.732    29.236    29.370    31.665    34.428    44.700    51.798    42.953    41.911    43.559    34.841    31.410    30.550    21.706    26.781    51.808    25.127    28.602    63.717    17.788    49.096    24.152    32.541    43.456    17.985    22.753    47.983    22.520    24.296
 4/2020       44.226    48.354   108.132   133.518   105.906    71.033   114.289    65.279    58.019    83.288   102.451    87.526    67.349    99.283    90.070    68.777    49.252    84.119    63.632    57.596    56.040   106.085    66.913    94.431    95.471    62.002    82.295    63.679    76.898    91.932    44.075    57.904    84.392    54.349    44.621
 5/2020      163.006   502.695   416.271   351.280   323.301   155.384   193.387   129.575   182.848   215.310   294.401   236.473   213.556   376.116   337.137   218.436   227.927   243.995   261.170    79.653   167.002   230.050   264.942   227.499   241.625   283.459   293.449   125.566   172.355   131.960   109.965   258.339   206.264   115.285   160.761
 6/2020      396.218   729.523   426.803   421.589   303.763   185.618   158.170   187.202   295.063   182.363   433.574   231.548   581.517   327.394   543.017   212.493   371.261   167.072   211.871    55.920   224.920   151.839   302.636   207.709   192.141   519.004   293.524   264.976   459.867    53.926   152.065   349.950   348.056   120.392   312.591
 7/2020      220.971   337.136   135.802   169.925    98.862    72.194    67.867    75.433   136.114    71.242   205.154    73.731   510.654   127.355   197.985   102.772   221.671    53.091    62.223    23.429    66.168    57.133   122.756    78.765    68.688   222.319   152.828    78.393   217.594    27.227    53.791   109.502   104.281    47.070   182.280
 8/2020       84.753   127.965    62.646    66.113    56.357    42.955    50.476    39.806    58.007    55.285    69.993    43.134   136.408    54.507    84.137    49.205    85.894    43.001    47.111    18.611    39.453    36.054    57.330    54.465    47.901    79.088    57.684    46.450    67.388    25.935    37.558    55.021    45.029    29.881    94.737
 9/2020       43.273    72.641    61.797    66.663    43.346    41.753    34.461    33.624    36.513    44.452    58.730    39.421    65.805    42.652    60.605    34.645    47.800    34.940    32.116    20.601    57.504    36.810    37.746    40.615    45.161    47.925    40.234    30.127    40.951    23.030    55.094    49.331    36.309    25.378    77.384
10/2020       36.390    61.863    91.725    71.081    34.681    31.916    32.394    50.016    30.784    30.286    49.751    34.916    59.043    49.576    63.765    41.003    38.069    29.975    28.321    28.685    35.621    34.439    51.733    63.173    41.343    41.857    39.493    30.480    39.600    21.257    50.184    61.108    30.845    25.996    47.753
11/2020       30.999    50.431    53.277    48.755    32.567    24.720    25.919    41.493    28.311    25.433    38.711    31.634    44.914    37.952    44.483    33.665    30.617    26.086    27.887    17.511    25.386    29.915    38.780    41.737    30.767    36.201    36.288    29.680    32.711    17.967    29.391    36.908    28.840    24.073    32.588
12/2020       29.708    43.870    38.620    37.523    29.311    22.590    23.305    29.454    25.790    23.480    33.692    27.205    40.826    33.639    36.561    31.268    28.246    23.336    24.016    14.851    23.573    24.494    29.398    30.080    24.450    33.190    30.425    25.270    29.388    16.762    22.910    29.244    27.195    19.410    28.624
 1/2021       28.456    39.242    33.409    31.767    26.072    20.269    20.870    23.488    22.645    21.381    30.168    24.280    35.613    28.936    32.773    26.997    27.455    20.880    21.238    13.494    20.882    25.165    25.425    27.024    21.215    29.980    26.754    22.353    26.684    15.108    20.043    25.830    24.875    16.758    25.615
 2/2021       21.979    32.647    42.882    29.192    21.423    16.681    17.773    20.498    19.494    19.598    24.599    24.696    32.055    23.592    28.160    26.207    27.310    20.506    17.406    16.482    17.427    21.501    20.523    24.886    17.325    25.642    21.899    18.416    22.143    12.552    19.256    25.246    21.203    14.006    21.503
 3/2021       22.512    48.518    78.980    34.566    31.466    46.411    28.913    30.020    31.876    35.390    44.640    54.885    43.540    45.113    43.768    37.759    32.155    32.214    21.554    27.715    50.517    25.766    28.859    64.647    18.239    49.655    25.959    33.960    43.740    20.232    22.153    47.869    23.557    24.985    34.717
 4/2021       49.813   109.416   136.642   107.828    73.193   116.368    64.627    58.823    83.652   103.756    86.415    70.526   100.051    94.149    68.102    52.231    85.082    65.909    57.055    57.063   104.475    67.629    92.767    96.530    62.558    83.106    65.423    78.709    92.271    46.629    55.570    84.382    55.707    45.318    42.094
