segdesc   = RBPC2H_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 3/2020        1.684     1.560     2.624     6.289     3.465     1.765     2.827     1.938     1.161     1.651     1.855     3.725     5.529     2.200     2.980     2.743     3.027     1.736     1.658     1.537     1.264     3.692     1.773     2.206     7.664     1.640     3.156     1.385     2.589     3.716     1.628     2.719     3.402     1.386     1.220
 4/2020        4.122     4.643    14.263    17.164    15.948     7.790    14.261     9.146     6.684    11.401     7.348    12.951     9.330     8.212     8.860     6.862     8.592     8.468     9.296     5.521     4.388    10.023     9.905    11.805    11.492     9.008     9.044     8.878     9.400    12.404     4.504     8.207     5.320     7.973     4.986
 5/2020       21.855    29.760    37.549    27.309    26.048    13.473    16.448    13.304    22.654    27.340    33.844    27.118    26.122    15.248    28.853    23.043    24.200    13.311    31.471     6.394    12.776    20.469    36.756    16.275    18.301    28.724    29.243    18.379    16.237    13.623     9.499    13.089    13.453    11.888    22.540
 6/2020       33.418    23.905    34.658    29.088    19.536    15.492    10.620    11.605    27.416    16.155    29.614    18.450    36.130     5.496    25.943    15.537    21.014     4.077    14.185     2.505     7.801    10.518    32.181     6.269    11.804    26.677    14.512    17.183    17.367     6.342     7.155    10.825    17.181     8.794    25.309
 7/2020       14.493     7.474    11.487    11.744     5.767     5.853     3.652     5.068    10.620     5.351     8.539     3.812    19.441     2.857     7.365     6.737     8.328     1.502     3.026     1.189     1.970     2.851     9.887     2.918     3.339     6.508     4.374     4.649     5.085     2.064     3.187     2.804     4.323     4.528    11.748
 8/2020        4.632     6.049     5.584     4.321     3.889     3.318     2.116     3.976     5.066     5.089     7.024     3.242     7.085     1.875     6.582     2.440     6.175     1.191     2.378     0.993     1.489     1.584     3.530     3.720     2.259     2.390     1.704     3.580     2.680     1.272     2.530     1.529     1.871     2.880     7.047
 9/2020        1.980     3.241     5.026     6.137     2.161     2.551     1.806     2.720     3.166     3.329     6.767     4.676     4.074     1.962     5.138     1.666     3.022     1.097     1.408     0.930     2.882     2.216     1.970     3.642     2.829     2.204     2.098     2.546     2.435     1.549     3.992     1.106     1.531     3.042     6.506
10/2020        2.202     3.333     7.170     9.605     1.612     1.798     3.248     3.414     1.592     1.629     2.414     2.127     2.547     1.967     4.960     1.974     1.692     1.767     1.262     1.399     1.244     2.082     3.990     6.987     3.252     1.929     1.881     1.667     4.046     1.148     2.786     1.747     1.257     3.581     2.830
11/2020        1.431     1.738     2.885     3.502     1.936     1.203     1.431     2.218     1.334     1.310     1.567     1.831     1.598     1.436     2.578     1.986     1.247     1.252     1.225     0.998     1.087     1.771     2.074     3.228     1.294     1.637     1.620     1.447     1.747     0.975     1.432     1.117     1.527     1.850     1.698
12/2020        1.325     1.463     1.726     1.831     1.360     1.162     1.113     1.305     1.251     1.226     1.388     1.387     1.475     1.244     1.488     1.641     1.182     0.974     1.110     0.842     1.026     1.176     1.429     1.565     1.650     1.346     1.222     1.277     1.223     0.950     1.066     1.005     1.210     1.151     1.392
 1/2021        1.237     1.420     1.562     1.503     1.221     1.043     1.011     1.074     1.153     1.143     1.337     1.252     1.321     1.133     1.285     1.264     1.108     0.909     1.037     0.790     0.918     1.235     1.289     1.246     1.091     1.232     1.098     1.154     1.148     0.902     0.927     0.947     1.137     0.977     1.282
 2/2021        1.080     1.155     1.659     1.573     1.059     0.915     0.867     0.994     1.041     0.982     1.156     1.497     1.636     0.986     1.106     1.175     1.039     0.822     0.931     0.720     0.812     1.053     1.145     1.190     0.901     1.203     0.931     1.059     0.966     0.844     0.975     1.178     1.048     0.822     1.110
 3/2021        1.618     2.732     6.022     3.544     1.822     2.964     1.897     1.176     1.651     1.903     3.693     5.691     2.209     3.218     2.651     3.091     1.765     1.696     1.444     1.354     3.576     1.738     2.187     7.876     1.623     3.158     1.390     2.634     3.736     1.646     2.648     3.349     1.385     1.224     1.662
 4/2021        4.742    14.443    16.851    16.029     7.836    14.456     8.917     6.691    11.372     7.415    12.718     9.457     8.163     9.199     6.553     8.670     8.469     9.495     5.449     4.553     9.842     9.837    11.497    11.638     8.948     9.036     8.789     9.453    12.445     4.550     8.173     5.282     7.979     4.957     4.066
 5/2021       29.793    37.622    27.218    26.034    13.504    16.538    13.381    22.709    27.325    33.922    26.702    26.182    15.253    29.176    22.588    24.272    13.328    31.609     6.391    13.022    20.341    36.704    16.343    18.387    28.709    29.257    18.177    16.287    13.635     9.536    12.688    13.426    11.892    22.604    21.810
 6/2021       23.915    34.664    29.163    19.524    15.518    10.657    11.622    27.420    16.153    29.628    18.920    36.162     5.501    26.023    15.966    21.023     4.089    14.191     2.610     7.877    10.486    32.157     6.415    11.844    26.678    14.517    17.561    17.384     6.346     7.169    11.185    17.163     8.790    25.332    33.400
 7/2021        7.492    11.492    12.278     5.771     5.881     3.680     5.140    10.619     5.350     8.547     3.980    19.462     2.862     7.406     6.970     8.347     1.514     3.027     1.192     2.005     2.834     9.878     2.932     3.380     6.505     4.375     4.628     5.096     2.067     3.198     2.850     4.312     4.525    11.748    14.476
 8/2021        6.073     5.591     4.208     3.895     3.345     2.144     3.963     5.067     5.088     7.033     3.247     7.095     1.879     6.628     2.478     6.197     1.203     2.380     0.989     1.520     1.569     3.527     3.696     2.299     2.386     1.705     3.754     2.691     1.275     2.538     1.556     1.861     2.876     7.046     4.623
 9/2021        3.259     5.031     6.231     2.167     2.576     1.831     2.691     3.167     3.329     6.776     4.690     4.083     1.966     5.181     1.688     3.039     1.107     1.409     0.921     2.926     2.199     1.969     3.592     2.869     2.200     2.099     2.644     2.445     1.552     4.002     1.105     1.522     3.039     6.504     1.974
10/2021        3.349     7.175     9.566     1.617     1.821     3.277     3.456     1.593     1.629     2.418     2.126     2.555     1.971     4.997     1.928     1.707     1.777     1.263     1.400     1.271     2.067     3.987     7.005     3.291     1.925     1.882     1.703     4.063     1.151     2.794     1.743     1.249     3.578     2.828     2.196
11/2021        1.755     2.889     3.675     1.942     1.224     1.453     2.281     1.335     1.310     1.570     1.868     1.604     1.440     2.606     2.004     1.262     1.262     1.225     0.998     1.112     1.757     2.072     3.363     1.327     1.634     1.621     1.486     1.755     0.977     1.438     1.124     1.518     1.847     1.696     1.426
12/2021        1.480     1.730     1.855     1.365     1.184     1.133     1.317     1.251     1.226     1.392     1.392     1.481     1.247     1.515     1.654     1.196     0.983     1.110     0.841     1.049     1.164     1.428     1.596     1.695     1.343     1.223     1.299     1.231     0.953     1.071     1.003     1.201     1.148     1.390     1.320
 1/2022        1.436     1.566     1.500     1.226     1.063     1.030     1.074     1.153     1.143     1.341     1.261     1.327     1.137     1.310     1.264     1.121     0.917     1.038     0.787     0.939     1.221     1.287     1.252     1.120     1.229     1.099     1.178     1.156     0.904     0.932     0.941     1.130     0.973     1.280     1.232
