segdesc   = NVRN5L_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 3/2020       79.946    76.956   189.815   144.884   117.494    57.070    89.186    40.533    63.894    92.069   171.861    74.260   210.497    43.550   145.927    73.611    53.408    45.380    68.587    26.681    40.211    95.399   144.620    41.571   127.467   113.289    73.598    54.156    56.007    66.798    35.829    55.173    64.845    29.435    76.442
 4/2020      138.965   136.061   307.131   312.971   242.404    94.990   204.356   117.105   115.500   229.849   284.349   176.032   182.678    78.581   190.906   135.968   111.836   118.985   180.842    44.524    53.644   193.845   262.548   140.893   138.311   266.691   118.230   186.422   119.074   140.376    49.287   100.271    56.457    69.975   117.680
 5/2020      284.459   384.690   470.891   323.730   349.191   144.035   230.424   204.180   228.398   307.499   435.690   294.957   319.645   182.580   379.937   279.343   272.934   164.802   416.953    51.627   143.422   273.744   497.555   205.466   270.545   356.367   355.241   181.689   179.705   186.999    90.273   181.317   160.586   137.388   272.047
 6/2020      395.192   310.045   481.967   418.753   321.789   199.259   137.862   176.104   312.028   153.870   375.972   195.744   438.189    51.796   382.485   186.460   315.874    43.235   177.858    24.164    87.114   117.765   398.239    59.442   141.826   338.186   160.804   203.633   240.879    58.807    76.180   163.958   208.086   110.140   278.060
 7/2020      179.846    75.214   113.256   149.287    64.094    39.064    21.681    57.129    92.227    43.979    87.077    23.951   245.525     8.185    73.976    60.695   137.713     0.000    22.264    17.544     3.393    16.056   103.026    28.964    20.939    71.853    25.712    29.344    43.828    10.589    31.253    17.093    36.158    37.827    94.522
 8/2020       53.406    64.183    41.436    34.898    36.138    56.361    26.288    35.589    38.457    53.841    76.091    20.295    71.905     3.622    61.981    25.727   121.679     1.838    40.136    16.051    21.458     5.044    34.780    35.632    37.837    29.631     6.101    36.830    14.380    18.073    30.745    11.611     8.376    25.807    64.514
 9/2020       20.965    42.760    74.749    57.460    18.251    36.426    17.943    30.984    69.379    38.480    76.458    41.998    39.664    27.491    91.092    15.186    75.026     8.302    11.343    24.310    41.937    36.983    28.632    37.116    29.450    35.217    10.983    40.624    14.787    19.699    77.561    18.842    10.219    26.142    83.093
10/2020       50.762    69.948   110.529    88.959    20.603    32.553    34.306    48.648    22.189    20.127    33.182    31.593    31.135    29.387    80.329    48.427    25.933    31.824    14.822    22.370    18.621    43.827    75.624   126.622    37.792    28.702    23.080    31.395    56.512    15.460    42.182    39.155    13.362    63.681    45.740
11/2020       30.631    40.825    53.787    71.830    48.151    28.159    22.039    39.417    38.094    26.791    33.010    45.384    27.740    30.953    42.375    62.694    23.226    26.480    21.051    24.961    22.472    40.892    39.427    45.572    21.724    31.340    23.942    24.701    31.487    15.565    28.158    24.106    21.306    30.141    38.544
12/2020       26.075    43.796    35.948    38.727    26.907    21.730    18.107    23.621    24.562    22.801    28.921    31.103    25.193    28.658    29.570    38.471    21.498    17.904    20.587    14.262    20.754    26.751    27.466    26.065    45.908    26.682    19.404    28.346    22.933    14.954    19.658    19.991    21.268    17.959    28.714
 1/2021       22.161    40.127    32.646    29.949    20.875    19.003    16.843    17.810    20.122    26.844    25.182    24.074    23.318    23.314    26.871    25.413    22.637    16.715    18.624    12.404    16.620    53.618    24.159    22.423    31.607    25.646    18.503    21.360    23.399    19.825    16.028    21.295    17.447    15.060    25.874
 2/2021       23.729    40.420    62.551    45.467    23.655    23.932    15.987    25.214    29.380    32.345    29.983    53.360    33.481    25.405    27.245    29.919    21.749    20.493    16.620    15.583    20.004    86.066    21.003    41.655    24.262    35.893    16.188    25.082    25.466    18.752    22.378    29.412    15.611    16.573    29.047
 3/2021       80.077   194.077   143.633   119.767    59.136    93.082    40.610    64.765    92.111   174.115    75.271   219.295    43.929   154.893    71.804    55.100    46.353    70.452    26.097    43.478    92.661   144.299    41.356   132.915   112.152    74.346    55.013    57.356    69.008    37.092    55.097    64.254    29.991    76.423    79.027
 4/2021      139.350   310.129   311.853   245.015    96.943   208.458   114.967   116.693   230.608   287.315   173.434   187.322    78.816   198.297   132.388   114.713   119.730   184.298    44.472    57.299   191.376   262.893   139.429   142.059   266.248   118.808   194.460   120.659   141.614    50.757   100.996    56.252    70.752   118.062   138.249
 5/2021      386.628   473.737   322.185   350.295   145.111   232.258   203.017   229.924   307.882   436.379   290.972   322.886   183.016   385.343   274.003   275.415   165.344   419.754    51.208   147.221   272.445   498.012   205.952   273.963   356.661   355.723   181.599   181.168   188.185    90.954   174.771   160.839   138.103   273.499   284.061
 6/2021      310.555   482.433   417.965   322.215   199.301   138.897   178.327   312.127   153.840   377.421   202.345   439.267    51.878   384.122   192.580   316.707    43.523   178.305    24.765    88.965   117.132   398.100    61.640   142.977   338.104   161.134   210.534   241.439    59.400    76.556   172.332   207.944   110.307   278.453   394.770
 7/2021       75.547   113.303   157.775    64.415    39.897    22.043    58.100    92.097    43.812    87.052    25.542   246.033     8.181    74.551    62.380   138.491     0.000    22.312    17.515     3.571    15.434   102.780    27.388    21.915    71.627    25.667    30.816    43.957    11.167    31.493    17.724    35.839    37.794    94.447   178.955
